Date,GD,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2789680804547442,-0.4594993441189331,-0.11084390030607782,-0.49029842588543937,-0.3932280279842588,0.0
2018-09-25,1.0,-0.2785190856392869,-0.4604888986109592,-0.10981078420649679,-0.4911407634255715,-0.39440008749863287,0.0
2018-09-26,1.0,-0.2791861514480269,-0.461344928487434,-0.11127519348046051,-0.49079771378565373,-0.39212951568353976,0.0
2018-09-27,1.0,-0.2793196795274945,-0.46085696316753716,-0.11145443110661453,-0.4906893440157502,-0.39205928194471035,0.0
2018-09-28,1.0,-0.2788472055124139,-0.4611998250027343,-0.11175216012249808,-0.4905118670020781,-0.3920485617412228,0.0
2018-10-01,1.0,-0.2781798245614035,-0.465734649122807,-0.11222587719298245,-0.4911732456140351,-0.3939144736842105,0.0
2018-10-02,1.0,-0.27912395153774466,-0.45745847267145445,-0.11526232114467408,-0.4930650731867771,-0.39619538402499865,0.0
2018-10-03,1.0,-0.27887223607419787,-0.45387292106200505,-0.11485875551415184,-0.4940954051017891,-0.3982519111159821,0.0
2018-10-04,1.0,-0.2796099485044374,-0.45231182206639636,-0.11518023446915743,-0.49476826996822615,-0.3972827873342829,0.0
2018-10-05,1.0,-0.2676633777024627,-0.4455954300707902,-0.10334271735862466,-0.5065460409435045,-0.4100363517096236,0.0
2018-10-08,1.0,-0.2663117663117663,-0.4431340431340431,-0.09980889980889981,-0.5105651105651106,-0.4101556101556102,0.0
2018-10-09,1.0,-0.2646255530671328,-0.4439558638772054,-0.09515485879718141,-0.5134647948872015,-0.4139946468563937,0.0
2018-10-10,1.0,-0.26396605994252087,-0.447351854386205,-0.0928424798138771,-0.5145750650061585,-0.41839332147256053,0.0
2018-10-11,1.0,-0.24175234209325425,-0.441467801250906,-0.0655517676428744,-0.5115024293345503,-0.4241000724773844,0.0
2018-10-12,1.0,-0.24205027054402004,-0.43708185622517787,-0.06261161606738279,-0.5070767918543594,-0.41661113628488416,0.0
2018-10-15,1.0,-0.22651167750879808,-0.46680708115602,-0.03908499520102378,-0.5103444598485656,-0.42332302442145675,0.0
2018-10-16,1.0,-0.22467113162739813,-0.4762120767404008,-0.03241988419563999,-0.5112468980974998,-0.42372655228540174,0.0
2018-10-17,1.0,-0.2149897222368629,-0.4530648816739577,-0.02298002424497971,-0.5120170768987508,-0.43227217625046116,0.0
2018-10-18,1.0,-0.21507444986164184,-0.4532876531822374,-0.022769798392410067,-0.5119778626960073,-0.43230992225589665,0.0
2018-10-19,1.0,-0.20866853593983387,-0.44697465999318675,-0.016849663268782265,-0.5154215036293598,-0.4325882445428579,0.0
2018-10-22,1.0,-0.2092547950948538,-0.44565559165705904,-0.01600985221674877,-0.5160360549208679,-0.4332879153128603,0.0
2018-10-23,1.0,-0.21011132940406027,-0.4452390307793059,-0.018179436804191224,-0.5139489194499018,-0.43203667321545514,0.0
2018-10-24,1.0,-0.20944246489205615,-0.44621148606162225,-0.01763257178788514,-0.5147505763990777,-0.43198490882414586,0.0
2018-10-25,1.0,-0.2225770954668671,-0.47349633645562145,-0.011728709841917389,-0.524356531307872,-0.45172978340803566,0.0
2018-10-26,1.0,-0.20623193061355605,-0.4710622122282899,-0.0,-0.5471410215226469,-0.45251097547917335,0.0
2018-10-29,1.0,-0.19047111205908232,-0.4776708347775082,-0.0,-0.540779054576479,-0.45722131868717836,0.0
2018-10-30,1.0,-0.1976076682775746,-0.4785998451392412,-0.0,-0.5414252529837397,-0.45238031666355166,0.0
