Date,IWF,IWM,MTUM,SBGI,SPY,VLUE,VXX
2018-09-24,-0.5618564176939812,-1.3385061638868745,-0.0,1.0,-0.9875271936185642,-0.9465313028764805,0.0
2018-09-25,-0.5642574161754759,-1.3366508841433955,-0.0,1.0,-0.9862305536766838,-0.9441975070055078,0.0
2018-09-26,-0.5662574908177074,-1.3387299439396867,-0.0,1.0,-0.9865165281268123,-0.9412816547457955,0.0
2018-09-27,-0.5678285217727141,-1.3333494255093175,-0.0,1.0,-0.9858549773100319,-0.940571594090953,0.0
2018-09-28,-0.5673118694791717,-1.3335907708645076,-0.0,1.0,-0.9856156779456486,-0.9404353912245982,0.0
2018-10-01,-0.5675453446191052,-1.3389117291414754,-0.0,1.0,-0.9871825876662637,-0.9431197097944377,0.0
2018-10-02,-0.5683884697233508,-1.337347649448636,-0.0,1.0,-0.9873283033468756,-0.9434610176049526,0.0
2018-10-03,-0.571081054782524,-1.321299990269534,-0.0,1.0,-1.0050598423664494,-0.9677435049138854,0.0
2018-10-04,-0.5713659818907604,-1.3228994255671307,-0.0,1.0,-1.0046733521565574,-0.9691364034660696,0.0
2018-10-05,-0.547518760590656,-1.3108690389736142,-0.0,1.0,-1.0077947228274027,-0.9752602275478093,0.0
2018-10-08,-0.5423024917906123,-1.3044717017577747,-0.0,1.0,-1.0097546841800271,-0.9725226965423992,0.0
2018-10-09,-0.5335119337554798,-1.3158792011690208,-0.0,1.0,-1.0269361909400876,-0.9945445689235265,0.0
2018-10-10,-0.534397974584936,-1.3147670285797752,-0.0,1.0,-1.0274599542334097,-0.9921125663372122,0.0
2018-10-11,-0.4245459651750609,-1.285199400861262,-0.0,1.0,-0.9803407601572739,-0.9906852649316608,0.0
2018-10-12,-0.4318517152342309,-1.2744374769457765,-0.0,1.0,-0.9492807082257471,-0.9552286978974548,0.0
2018-10-15,-0.4054401764381547,-1.293925748943209,-0.0,1.0,-0.9421062304723397,-0.9533174048888072,0.0
2018-10-16,-0.3947599463980408,-1.3254470680652466,-0.0,1.0,-0.9449193660182063,-0.955685966452567,0.0
2018-10-17,-0.3665657341709224,-1.270303249423781,-0.0,1.0,-0.9284584444344015,-0.9540832467121616,0.0
2018-10-18,-0.36635632287806197,-1.2705866401518575,-0.0,1.0,-0.9284552110639067,-0.9541263671698453,0.0
2018-10-19,-0.33784269662921346,-1.2564943820224719,-0.0,1.0,-0.9393707865168539,-0.9607191011235955,0.0
2018-10-22,-0.3381540534471143,-1.2496743768246126,-0.0,1.0,-0.941163260723108,-0.9623624522793622,0.0
2018-10-23,-0.3424952842899488,-1.2500224557621487,-0.0,1.0,-0.9379771849456571,-0.9606575047157101,0.0
2018-10-24,-0.33939067617893837,-1.2486651411136536,-0.0,1.0,-0.9378561493247184,-0.9610535289630725,0.0
2018-10-25,-0.3118466898954704,-1.1988240418118468,-0.0,1.0,-0.9207317073170732,-0.9239982578397213,0.0
2018-10-26,-0.2840527268027914,-1.180192986990609,-0.0,1.0,-0.9317222365813733,-0.9117773757215473,0.0
