Date,IWF,IWM,MHN,MTUM,SPY,VLUE,VXX
2018-09-24,-0.08493298096247884,-0.22536437150860092,1.0,-0.0,-0.14293174660948554,-0.12927473849124085,0.0
2018-09-25,-0.08468807876782802,-0.22558688047108733,1.0,-0.0,-0.1430991087964795,-0.12956484574106028,0.0
2018-09-26,-0.0844994617868676,-0.2254479832837333,1.0,-0.0,-0.1431172038244792,-0.1299151522826569,0.0
2018-09-27,-0.08583813200025311,-0.22278997658672406,1.0,-0.0,-0.14335885591343417,-0.12999114092260963,0.0
2018-09-28,-0.08605792055705017,-0.2228358917550245,1.0,-0.0,-0.1435037189428707,-0.13013134989713562,0.0
2018-10-01,-0.08589977040614362,-0.223561079882828,1.0,-0.0,-0.1435357453883303,-0.1304093104267279,0.0
2018-10-02,-0.08517895672039599,-0.2296293945932225,1.0,-0.0,-0.14246731818758726,-0.12923594364767102,0.0
2018-10-03,-0.0849167327517843,-0.22702616970658207,1.0,-0.0,-0.14329896907216497,-0.1308009516256939,0.0
2018-10-04,-0.08639665070252783,-0.22476133083827585,1.0,-0.0,-0.14524723270639728,-0.1294363918931777,0.0
2018-10-05,-0.08404767542821061,-0.22281158733917436,1.0,-0.0,-0.14375246665088012,-0.12804483384639673,0.0
2018-10-08,-0.0834949619187284,-0.22206979201160573,1.0,-0.0,-0.1436838702556097,-0.12759985492848921,0.0
2018-10-09,-0.0849553613678665,-0.2224833590965015,1.0,-0.0,-0.14330105050632513,-0.12661282690305686,0.0
2018-10-10,-0.08606389353180485,-0.22182976442019617,1.0,-0.0,-0.14391813049922736,-0.12504336308303637,0.0
2018-10-11,-0.06449487442729962,-0.2130981750203031,1.0,-0.0,-0.13177855074240358,-0.12295245246012167,0.0
2018-10-12,-0.0678541776737867,-0.20795531738244397,1.0,-0.0,-0.12174503736131029,-0.11197826251037814,0.0
2018-10-15,-0.06236361721019127,-0.21168113891856913,1.0,-0.0,-0.11974597059398938,-0.11112281599422114,0.0
2018-10-16,-0.061669500835201875,-0.2127582730131977,1.0,-0.0,-0.11953168500097816,-0.11090878993544115,0.0
2018-10-17,-0.05640155405707141,-0.20219116092826628,1.0,-0.0,-0.11758138704059305,-0.11240119680257223,0.0
2018-10-18,-0.05583438826420434,-0.20114677191153477,1.0,-0.0,-0.11945788964181994,-0.11287512100677638,0.0
2018-10-19,-0.04973744763702873,-0.194716502448522,1.0,-0.0,-0.1190778217003953,-0.11148150333352999,0.0
2018-10-22,-0.04989080391925393,-0.1946346358163145,1.0,-0.0,-0.11933360878290639,-0.1117636642663204,0.0
2018-10-23,-0.05022352715522965,-0.1946087905926789,1.0,-0.0,-0.11902267730941175,-0.11157177213509009,0.0
2018-10-24,-0.049741039677738255,-0.19149783830842101,1.0,-0.0,-0.12021366071033332,-0.11410485310826163,0.0
2018-10-25,-0.04124812377323635,-0.17789516222145246,1.0,-0.0,-0.11981872762960395,-0.10430377554554901,0.0
2018-10-26,-0.038597550457133,-0.17556494738657927,1.0,-0.0,-0.1205508596400437,-0.10279742395491921,0.0
2018-10-29,-0.03406409541378867,-0.17619803509374063,1.0,-0.0,-0.11710784103422142,-0.10270710884207816,0.0
2018-10-30,-0.03839983958291558,-0.17673092898679424,1.0,-0.0,-0.11747686842934486,-0.09970208255750666,0.0
