Date,FSLY,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-01-16,1.0,-1.7911988409996378,-2.0679101774719304,-5.837196667873959,-5.304237595074248,-2.1090184715682723,0.0
2020-01-17,1.0,-1.7631012203876524,-2.0007178750897343,-5.799712849964107,-5.274048815506102,-2.109475951184494,0.0
2020-01-21,1.0,-1.762374461979914,-2.014167862266858,-5.784074605451937,-5.26542324246772,-2.107962697274032,0.0
2020-01-22,1.0,-1.7616998386229157,-1.9980276134122288,-5.8050923435538815,-5.258561950869643,-2.107405415097723,0.0
2020-01-23,1.0,-1.7642101488255335,-1.9989241527703066,-5.803478572709342,-5.257127487896719,-2.1072261072261074,0.0
2020-01-24,1.0,-1.7669537136706135,-1.9976677430929317,-5.807499102978113,-5.259598134194475,-2.1088984571223537,0.0
2020-01-27,1.0,-1.703749777856762,-1.9244712990936554,-5.822640838812866,-5.192109472187666,-2.1284876488359696,0.0
2020-01-28,1.0,-1.5432742440041711,-2.0441432047271464,-5.869482099409106,-5.0036496350364965,-1.9186652763295098,0.0
2020-01-29,1.0,-1.4767321613236815,-2.051878662530162,-5.856773526370217,-4.950361944157186,-1.8996897621509823,0.0
2020-01-30,1.0,-1.5714038727524204,-2.0551521438450897,-5.830912863070539,-5.025933609958506,-1.80567081604426,0.0
2020-01-31,1.0,-1.6116521739130434,-2.084695652173913,-5.814260869565217,-5.052869565217391,-1.8278260869565217,0.0
2020-02-03,1.0,-1.6208995603652352,-1.962292864389584,-5.6550557997970925,-4.880960432871154,-1.7896516739939128,0.0
2020-02-04,1.0,-1.5496957403651115,-1.8946923597025016,-5.657707910750507,-4.922920892494929,-1.8784651791751186,0.0
2020-02-05,1.0,-1.3586264656616416,-1.9221105527638191,-5.740871021775543,-4.921273031825796,-1.807537688442211,0.0
2020-02-06,1.0,-1.532523108524478,-1.923142759328997,-6.084731256419035,-4.946080109551523,-1.6309483053748717,0.0
2020-02-07,1.0,-1.5271171941830626,-1.9271171941830625,-6.08109495295124,-4.943541488451667,-1.6297690333618475,0.0
2020-02-10,1.0,-1.549069807134323,-1.853899982932241,-6.085338795016215,-4.951698242020822,-1.6277521761392728,0.0
2020-02-11,1.0,-1.5017872340425533,-1.8558297872340428,-6.048510638297873,-4.94468085106383,-1.6704680851063831,0.0
2020-02-12,1.0,-1.5148059904697073,-1.84785568413887,-6.046289993192648,-4.9499659632403,-1.6592920353982301,0.0
2020-02-13,1.0,-1.4873492952963152,-1.8461538461538463,-6.063678043810494,-4.93768042112413,-1.6459500764136528,0.0
2020-02-14,1.0,-1.4943972835314092,-1.8397283531409168,-6.051103565365025,-4.940747028862479,-1.6521222410865872,0.0
2020-02-18,1.0,-1.4966887417218544,-1.8400407539480388,-6.051791475632535,-4.940567159110206,-1.651723552385804,0.0
2020-02-19,1.0,-1.5068702290076337,-1.8468193384223917,-6.048006785411365,-4.932824427480916,-1.6291772688719253,0.0
2020-02-20,1.0,-1.5005945303210464,-1.8471207745880756,-6.06115169016477,-4.949719721420078,-1.6278240190249702,0.0
2020-02-21,1.0,-1.4504765146358067,-1.9118447923757658,-6.082368958475153,-4.944349897889721,-1.6293396868618109,0.0
2020-02-24,1.0,-1.2909670920080591,-1.8987575554063127,-6.072867696440564,-4.914204163868368,-1.6128274009402284,0.0
2020-02-25,1.0,-1.271933853927423,-1.9514622569284947,-5.574490889603429,-4.075026795284029,-1.438677078548461,0.0
2020-02-26,1.0,-1.3072002380243974,-1.7770008925914906,-5.518149360309431,-4.041356739065754,-1.232668848556977,0.0
2020-02-27,1.0,-1.399345822182575,-1.7274754683318465,-5.473386856972941,-4.076419863217365,-1.1910496580434136,0.0
2020-02-28,1.0,-1.2390237251158986,-2.0203163348786473,-4.884237796563948,-3.4211889828197437,-1.0704935914916824,0.0
2020-03-02,1.0,-1.363760217983651,-1.8837874659400544,-4.822615803814713,-3.4697547683923706,-1.0839237057220708,0.0
2020-03-03,1.0,-1.207757296466974,-2.212877624167947,-4.236431131592423,-3.172555043522786,-0.9711981566820278,0.0
2020-03-04,1.0,-0.9890234670704012,-2.422911935402473,-4.425056775170326,-3.0169063840524855,-0.7626797880393641,0.0
2020-03-05,1.0,-0.9075171923168129,-2.6921982451980084,-3.9392933364951386,-2.715556082523121,-0.6022053592601375,0.0
2020-03-06,1.0,-0.8719526627218934,-2.7272189349112423,-4.063550295857988,-2.6089940828402365,-0.5624852071005917,0.0
2020-03-09,1.0,-0.8897868353244319,-2.679433122511127,-4.009369875849146,-2.5698055750761304,-0.5638322792223004,0.0
