Date,IWF,IWM,MTUM,NLTX,SPY,VLUE,VXX
2018-09-24,-2.0426422350412854,-2.1497568148399506,-1.976586359009162,0.8010406062662595,-2.0736342042755345,-2.06831806356747,0.19895939373374058
2018-09-25,-2.0430995475113125,-2.1500000000000004,-1.9771493212669684,0.801131221719457,-2.0737556561085975,-2.068325791855204,0.19886877828054297
2018-09-26,-2.0433306935173663,-2.1502432401855414,-1.9773730059961534,0.8012218576762077,-2.0739902703925788,-2.0685597918316554,0.1987781423237923
2018-09-27,-2.0424016282225237,-2.1481230212573497,-1.97636815920398,0.8009950248756218,-2.0728177295341474,-2.067277250113071,0.19900497512437812
2018-09-28,-2.0414829885837005,-2.1475076297049847,-1.9756979767152705,0.800949474398101,-2.072001808522663,-2.066576240533514,0.19905052560189895
2018-10-01,-2.040329868956168,-2.1460686850429282,-1.9745820153637597,0.8007230004518753,-2.0708314505196563,-2.0652959783099867,0.1992769995481247
2018-10-02,-2.047025495750708,-2.154107648725212,-1.9807365439093483,0.8021529745042493,-2.0776203966005666,-2.072067988668555,0.19784702549575067
2018-10-03,-2.052482108372146,-2.1597182778598207,-1.9859138929910258,0.8037032829717141,-2.0834942633193227,-2.0780415767352043,0.19629671702828583
2018-10-04,-2.052709303646484,-2.159377484948313,-1.9860274906281952,0.8040440758832216,-2.0838350562308303,-2.077927979098035,0.1959559241167784
2018-10-05,-2.0877395520664974,-2.197413992149619,-2.019395058877857,0.8165550681135996,-2.122835372893096,-2.1174093742784574,0.18344493188640038
2018-10-08,-2.0907514450867053,-2.2006936416184972,-2.021849710982659,0.8182658959537572,-2.126705202312139,-2.1208092485549135,0.1817341040462428
2018-10-09,-2.09112987163178,-2.201572799814965,-2.0217416445009833,0.8185497860529664,-2.1279056320111023,-2.1222389267954207,0.18145021394703367
2018-10-10,-2.1010452961672472,-2.212078977932636,-2.0311265969802554,0.8210220673635307,-2.138095238095238,-2.1321718931475027,0.1789779326364692
2018-10-11,-2.3457522237978603,-2.486399381204074,-2.2602810364831765,0.9089854325125694,-2.3992522882557688,-2.3998968673456234,0.09101456748743071
