Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WOW
2018-09-24,-1.4994389472610425,-2.849331837192696,-0.5035193308170968,-2.2072834846475566,-2.14138529021728,0.0,1.0
2018-09-25,-1.4994392904475482,-2.8464675298195536,-0.5049444387807116,-2.205117749006015,-2.1386481802426345,0.0,1.0
2018-09-26,-1.5025510204081631,-2.8507142857142855,-0.5089795918367347,-2.2062244897959182,-2.1356122448979593,0.0,1.0
2018-09-27,-1.5078523353049154,-2.8354068937385275,-0.5133591678564144,-2.2064042423006325,-2.134815419131144,0.0,1.0
2018-09-28,-1.504998979800041,-2.8395225464190985,-0.5148949194042033,-2.2068965517241383,-2.1357886145684555,0.0,1.0
2018-10-01,-1.508168266285481,-2.8393914641617317,-0.5158260159281193,-2.2096181335511536,-2.1373289769246475,0.0,1.0
2018-10-02,-1.5099540581929558,-2.8253190403266975,-0.5215926493108729,-2.212149055640633,-2.1402756508422667,0.0,1.0
2018-10-03,-1.5283252502321742,-2.8255082034877725,-0.5247136518419152,-2.2523991332163864,-2.187803116293468,0.0,1.0
2018-10-04,-1.5285390480115393,-2.8159901092107975,-0.5248300020605811,-2.252009066556769,-2.181537193488564,0.0,1.0
2018-10-05,-1.509704203425013,-2.830928905033731,-0.4873897249610794,-2.307420861442657,-2.2433834976647637,0.0,1.0
2018-10-08,-1.4993288590604026,-2.8155911202891066,-0.47878162106350025,-2.299225606608157,-2.2324212700051627,0.0,1.0
2018-10-09,-1.5056924032291452,-2.8228110122127923,-0.48509625336369283,-2.30262885530946,-2.233595528876009,0.0,1.0
2018-10-10,-1.5130146220056,-2.825469252307373,-0.4906149538525355,-2.309862076117391,-2.2312558332469146,0.0,1.0
2018-10-11,-1.3345816497486942,-2.789494431851779,-0.2498275352320883,-2.2433231496994184,-2.237804277126244,0.0,1.0
2018-10-12,-1.3378522320131694,-2.7656628256027886,-0.2185533068654982,-2.1884380749491625,-2.172847874503728,0.0,1.0
2018-10-15,-1.2947988034352986,-2.831515970278877,-0.15236900511434912,-2.187879957541252,-2.1831515970278876,0.0,1.0
2018-10-16,-1.291860015467904,-2.858468677494199,-0.1369876256767208,-2.1926720804331015,-2.1874516627996905,0.0,1.0
2018-10-17,-1.2396662874478572,-2.7611869548729615,-0.07262040197193781,-2.1900834281380357,-2.2168183541903677,0.0,1.0
2018-10-18,-1.2425709674356784,-2.7674926421722206,-0.07139466438811355,-2.1922529193961835,-2.220260134814393,0.0,1.0
2018-10-19,-1.2031118192895305,-2.734745524416534,-0.026244259068328803,-2.19336395163558,-2.215577842346987,0.0,1.0
2018-10-22,-1.2059374414684398,-2.721015171380408,-0.01629518636448773,-2.2002247611912344,-2.221577074358494,0.0,1.0
