Date,COKE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.781428073031748,-1.627282242121177,-0.0,-1.2509594138853355,-1.1549598790557043,0.0
2018-09-25,1.0,-0.7814735128220038,-1.6273187183811129,-0.0,-1.25103215677153,-1.1550851892771994,0.0
2018-09-26,1.0,-0.7812281926029309,-1.6273551988834611,-0.0,-1.251163061177018,-1.1555594324261456,0.0
2018-09-27,1.0,-0.7913124490508908,-1.6159310585769184,-0.0,-1.2562012344241293,-1.1593105857691859,0.0
2018-09-28,1.0,-0.7917200419238384,-1.615581693257249,-0.0,-1.2560847793175731,-1.1593688133224642,0.0
2018-10-01,1.0,-0.7919701649088048,-1.617912709049589,-0.0,-1.2566866732707882,-1.160596701823903,0.0
2018-10-02,1.0,-0.7937038339781921,-1.649314104818853,-0.0,-1.2580021104467112,-1.161331926368859,0.0
2018-10-03,1.0,-0.7934954585408731,-1.6467623791385877,-0.0,-1.2578962789334895,-1.1617931438617053,0.0
2018-10-04,1.0,-0.8080772400800659,-1.641057341339927,-0.0,-1.2776992817614505,-1.1603673613564112,0.0
2018-10-05,1.0,-0.7774006670957927,-1.6246708408918018,-0.0,-1.281877230967289,-1.1677102229504361,0.0
2018-10-08,1.0,-0.7711054104477612,-1.6160797574626864,-0.0,-1.2803754664179103,-1.1626049440298507,0.0
2018-10-09,1.0,-0.7648333626193405,-1.6230890880337376,-0.0,-1.2916300591577345,-1.1775903473320448,0.0
2018-10-10,1.0,-0.768144806982602,-1.621990510222014,-0.0,-1.2940659598148907,-1.1736863686954484,0.0
2018-10-11,1.0,-0.6177795518047557,-1.6219421793921425,-0.0,-1.2589382448537378,-1.2035695957119235,0.0
2018-10-12,1.0,-0.6095848425745333,-1.5929228197269434,-0.0,-1.2151016996377821,-1.1549735302312623,0.0
2018-10-15,1.0,-0.5633277685030607,-1.637952142459655,-0.0,-1.2070116861435727,-1.1564830272676683,0.0
2018-10-16,1.0,-0.558368573336301,-1.6457823280658803,-0.0,-1.2052081014912086,-1.1547963498775875,0.0
2018-10-17,1.0,-0.5124674761491761,-1.5648308759757155,-0.0,-1.185385949696444,-1.1579032957502167,0.0
2018-10-18,1.0,-0.5120602742696081,-1.56474605669684,-0.0,-1.1856469185321699,-1.1578947368421053,0.0
