Date,ALC,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-12-06,1.0,-0.0,-0.007262924199175388,-1.0435458293688549,-0.8159213447510306,-0.3048842372343799,0.0
2019-12-09,1.0,-0.0,-0.00608422853883449,-1.045061317615743,-0.8130367271920652,-0.30468675729632094,0.0
2019-12-10,1.0,-0.0,-0.0034834378364684273,-1.0457913737412121,-0.8144277661663184,-0.30305909177275314,0.0
2019-12-11,1.0,-0.0,-0.0028197573107752744,-1.0466685676266514,-0.8151316414789468,-0.3036149922377467,0.0
2019-12-12,1.0,-0.0,-0.0,-1.0491506588347357,-0.8186378790284172,-0.3073503730750913,0.0
2019-12-13,1.0,-0.0,-0.0,-1.0493411652643276,-0.8189236386728052,-0.30684235592951264,0.0
2019-12-16,1.0,-0.0,-0.0016226535157492842,-1.0456570155902003,-0.8179446388800508,-0.31644925230671334,0.0
2019-12-17,1.0,-0.0,-0.002478551000953289,-1.0446456943120432,-0.8164918970448046,-0.31401334604385134,0.0
2019-12-18,1.0,-0.0,-0.0074059947236260765,-1.0426559867772798,-0.8166618988589046,-0.3118146276342138,0.0
2019-12-19,1.0,-0.0,-0.0099470764522094,-1.0457501753491043,-0.8177006950200855,-0.314799464388191,0.0
2019-12-20,1.0,-0.0,-0.00958843017329256,-1.0423674821610602,-0.8182020897043835,-0.3153988277268094,0.0
2019-12-23,1.0,-0.0,-0.021269821053301916,-1.0343564923899893,-0.8277717633573202,-0.300675030248997,0.0
2019-12-24,1.0,-0.0,-0.0230617315410588,-1.0289545773077657,-0.8338217493788622,-0.2994839778301587,0.0
2019-12-26,1.0,-0.0,-0.022428239192073658,-1.028545031699003,-0.8345917359584567,-0.3002962821370544,0.0
2019-12-27,1.0,-0.0,-0.026656899901270743,-1.0297461702601993,-0.8278607598968121,-0.3005509729609223,0.0
2019-12-30,1.0,-0.0,-0.021932481111925785,-1.0338550798559085,-0.8310115081768625,-0.3010615575887022,0.0
2019-12-31,1.0,-0.0,-0.016681608606557378,-1.040375256147541,-0.8402920081967213,-0.30449538934426235,0.0
2020-01-02,1.0,-0.0,-0.016146600884218622,-1.0410713141539054,-0.8408726853335042,-0.3056000512590505,0.0
2020-01-03,1.0,-0.0,-0.02935997182467262,-1.0512598853776456,-0.8179169468190697,-0.3032049434892582,0.0
2020-01-06,1.0,-0.0,-0.04769885264922006,-1.0903377594430836,-0.8029844011860255,-0.28187443599329637,0.0
2020-01-07,1.0,-0.0,-0.04750547892226376,-1.0914657728503288,-0.7992780714193631,-0.2846783550341627,0.0
2020-01-08,1.0,-0.0,-0.043596027344253836,-1.0929317683477364,-0.7944989036501999,-0.2934992905971882,0.0
2020-01-09,1.0,-0.0,-0.04461722102138917,-1.0931380456173176,-0.7891086234151692,-0.29925476659031514,0.0
2020-01-10,1.0,-0.0,-0.05016754736435108,-1.0866413197577007,-0.7804485114061089,-0.30480732053099624,0.0
2020-01-13,1.0,-0.0,-0.05015148585057694,-1.0909559724102367,-0.7784761168052602,-0.30348739766647326,0.0
2020-01-14,1.0,-0.0,-0.05121006776379477,-1.0931913520490482,-0.7797999354630526,-0.3026460148434979,0.0
