Date,IWF,IWM,MTUM,NVRO,SPY,VLUE,VXX
2018-09-24,-1.9529248875043268,-2.8982346832814128,-1.1931464174454829,1.0,-2.324679820006923,-2.1690319603092187,0.0
2018-09-25,-1.954220479704797,-2.894488007380074,-1.1963791512915127,1.0,-2.3217250922509223,-2.1646678966789668,0.0
2018-09-26,-1.9547918348518052,-2.895167800715027,-1.197439741667628,1.0,-2.321646868873256,-2.1635336178064812,0.0
2018-09-27,-1.954294266635966,-2.8833755468570113,-1.1977895463965,1.0,-2.317982961086806,-2.1594519917107986,0.0
2018-09-28,-1.9518654997696916,-2.886573007830493,-1.1987563334868723,1.0,-2.318171349608475,-2.160064486411792,0.0
2018-10-01,-1.9530116319244502,-2.88540826903144,-1.199124726477024,1.0,-2.319014165610964,-2.16031325578717,0.0
2018-10-02,-1.9529073114565345,-2.88175014392631,-1.2005757052389177,1.0,-2.3187104202648245,-2.160276338514681,0.0
2018-10-03,-1.9503219871205153,-2.8689052437902487,-1.1981370745170195,1.0,-2.318997240110396,-2.1631784728610857,0.0
2018-10-04,-1.9618531750605046,-2.8637778033882677,-1.2028350812492798,1.0,-2.3335254120087585,-2.1627290538204447,0.0
2018-10-05,-1.9290691033695033,-2.8394060536836094,-1.1671045117075958,1.0,-2.3275842375785265,-2.1589948600799542,0.0
2018-10-08,-1.9358650757228084,-2.8494722349701695,-1.1620009178522257,1.0,-2.3519963285910968,-2.173818265259293,0.0
2018-10-09,-1.933356274374857,-2.8497361780224826,-1.156457903188805,1.0,-2.3539802707042905,-2.176990135352145,0.0
2018-10-10,-1.9332721852786057,-2.847970648933731,-1.1565008025682182,1.0,-2.3534739738592068,-2.173927998165558,0.0
2018-10-11,-1.7758261060489624,-2.8149083324184874,-0.9404984081677461,1.0,-2.2849928642002415,-2.1620375452848832,0.0
2018-10-12,-1.813922797756516,-2.840316727152755,-0.9319256570988672,1.0,-2.2731771692510723,-2.1381282305069838,0.0
2018-10-15,-1.775414485165794,-2.867473821989529,-0.8792539267015708,1.0,-2.257526178010471,-2.1277268760907506,0.0
2018-10-16,-1.7714129841789417,-2.8849972722313146,-0.8673213311511185,1.0,-2.25848336061102,-2.1287506819421713,0.0
2018-10-17,-1.7040729741196436,-2.773016546457361,-0.7992151039456936,1.0,-2.21902842596521,-2.1112643190496394,0.0
2018-10-18,-1.7029062367416206,-2.770683071701315,-0.8003818413237166,1.0,-2.2211497666525246,-2.111688587187102,0.0
2018-10-19,-1.668659534298301,-2.7405076568072166,-0.7610656597440739,1.0,-2.2170127963079507,-2.101531361443256,0.0
2018-10-22,-1.6720656289440472,-2.751998317206563,-0.7688262515776189,1.0,-2.219709718132099,-2.1048590660496425,0.0
2018-10-23,-1.6722415062585465,-2.7523929735984014,-0.7685915641106552,1.0,-2.2201535710529083,-2.1051856526769748,0.0
2018-10-24,-1.677021903959562,-2.751790227464195,-0.7545282224094356,1.0,-2.2300968828980623,-2.1173125526537486,0.0
2018-10-25,-1.5639815186822017,-2.6044596223382883,-0.6844114102049017,1.0,-2.1883286460425877,-2.0030132583366815,0.0
2018-10-26,-1.5221343873517788,-2.5650197628458495,-0.633201581027668,1.0,-2.1865612648221346,-1.974505928853755,0.0
2018-10-29,-1.4867891169826148,-2.586386406050486,-0.5948335134073274,1.0,-2.1703172576367744,-1.983891562714861,0.0
2018-10-30,-1.4753825029423304,-2.5847391133777955,-0.586504511573166,1.0,-2.1693801490780698,-1.9916633974107494,0.0
2018-10-31,-1.4638227897078737,-2.5289224221319406,-0.5761269104275488,1.0,-2.1438382665892823,-1.9603404913909848,0.0
2018-11-01,-1.4384593107442802,-2.559320397721788,-0.545033304373009,1.0,-2.145960034752389,-1.9645718698716093,0.0
2018-11-02,-1.4448807585480317,-2.498707020400345,-0.5279187817258884,1.0,-2.1558279858251126,-1.9503878938798964,0.0
2018-11-05,-1.4425303856828404,-2.5006220690975214,-0.5270360800076562,1.0,-2.1540817303091204,-1.9460235429227677,0.0
2018-11-06,-1.4615532487504808,-2.523548635140331,-0.5225874663590927,1.0,-2.158881199538639,-1.9451172625913111,0.0
