Date,IWF,IWM,MTUM,SITC,SPY,VLUE,VXX
2018-09-24,-0.5233544737744258,-1.1370843332190606,-0.0,1.0,-0.8795851902639698,-0.7452005485087418,0.0
2018-09-25,-0.5226502043300583,-1.160333884010086,-0.0,1.0,-0.897921919833058,-0.7664985653421441,0.0
2018-09-26,-0.5230622092770508,-1.160761639786115,-0.0,1.0,-0.897839412250576,-0.7655957918532365,0.0
2018-09-27,-0.5246015546966605,-1.1557736570113344,-0.0,1.0,-0.8973379076736006,-0.7650149824119512,0.0
2018-09-28,-0.522607826955653,-1.1580593319723755,-0.0,1.0,-0.8974069408852018,-0.7654085045389393,0.0
2018-10-01,-0.5230956946139097,-1.1654174655743421,-0.0,1.0,-0.8998605542966708,-0.7692609377723549,0.0
2018-10-02,-0.5237037037037037,-1.1641830065359475,-0.0,1.0,-0.8998692810457516,-0.7695860566448801,0.0
2018-10-03,-0.5231874591770085,-1.159547136947529,-0.0,1.0,-0.9004136729806227,-0.7713477030263445,0.0
2018-10-04,-0.5316875299864788,-1.1513063200593185,-0.0,1.0,-0.9117198063418677,-0.7669123740567889,0.0
2018-10-05,-0.5202312138728324,-1.147159807032031,-0.0,1.0,-0.9122082663305663,-0.7665261419444566,0.0
2018-10-08,-0.5157240900008687,-1.1428633481018156,-0.0,1.0,-0.9188602206585006,-0.766223612197029,0.0
2018-10-09,-0.5068799298860649,-1.1534618755477652,-0.0,1.0,-0.9348816827344435,-0.786897458369851,0.0
2018-10-10,-0.5096607603953344,-1.1795476805271126,-0.0,1.0,-0.9495147359985754,-0.8132401389012555,0.0
2018-10-11,-0.3975934791046707,-1.1685858455168845,-0.0,1.0,-0.917453745633329,-0.8291715185233104,0.0
2018-10-12,-0.3958006362672323,-1.1541039236479322,-0.0,1.0,-0.8923011664899257,-0.7995758218451751,0.0
2018-10-15,-0.3528512589698951,-1.2013078000934143,-0.0,1.0,-0.8877754660099358,-0.8041272132818139,0.0
2018-10-16,-0.34482171730065525,-1.219087737213854,-0.0,1.0,-0.8873712875499957,-0.8036337332992937,0.0
2018-10-17,-0.31672701544096227,-1.1653556415699007,-0.0,1.0,-0.8741832105547925,-0.8056769467682191,0.0
2018-10-18,-0.3160785619174434,-1.1643641810918774,-0.0,1.0,-0.8750416111850865,-0.8056341544607191,0.0
2018-10-19,-0.2911648242864214,-1.1489028213166146,-0.0,1.0,-0.8795165814222076,-0.8051889127206732,0.0
2018-10-22,-0.29123371268349,-1.1389988454560447,-0.0,1.0,-0.8838446313706086,-0.8092528451261751,0.0
2018-10-23,-0.29025205230807316,-1.1395156965471722,-0.0,1.0,-0.8852357576007591,-0.8102388515325276,0.0
2018-10-24,-0.28712667353244076,-1.1359835221421215,-0.0,1.0,-0.8853553038105046,-0.8109577754891865,0.0
2018-10-25,-0.2368514922119615,-1.0700328960405852,-0.0,1.0,-0.8916016012048671,-0.7648923942768816,0.0
2018-10-26,-0.2464420968706398,-1.0754235598963524,-0.0,1.0,-0.8935618895754434,-0.7710185369742873,0.0
2018-10-29,-0.2374040641030739,-1.0775440410386923,-0.0,1.0,-0.8911997454964806,-0.7704696385254701,0.0
2018-10-30,-0.209939674803244,-1.0852542846869881,-0.0,1.0,-0.8993248372018697,-0.8005672965522753,0.0
2018-10-31,-0.21347113328581613,-1.0610200364298725,-0.0,1.0,-0.8932842322008395,-0.7919933475885008,0.0
2018-11-01,-0.18749752563442734,-1.083376222336593,-0.0,1.0,-0.8939783839423573,-0.7941327843540916,0.0
2018-11-02,-0.20198780391225155,-1.0377365961827831,-0.0,1.0,-0.9245268076344342,-0.7954779440880654,0.0
2018-11-05,-0.2069280578397489,-1.0306280538672388,-0.0,1.0,-0.9274222381122631,-0.8075318793945894,0.0
2018-11-06,-0.20711164084227257,-1.0301549463647202,-0.0,1.0,-0.9276122367898292,-0.8081048867699643,0.0
2018-11-07,-0.2060261557419406,-1.0328338037126843,-0.0,1.0,-0.9269785745518145,-0.8091982350836745,0.0
2018-11-08,-0.17041787990871177,-1.033878964350358,-0.0,1.0,-0.9148107342409696,-0.8157708349728497,0.0
2018-11-09,-0.16978830565829858,-1.0337609191784056,-0.0,1.0,-0.9157550956165893,-0.8155347446289447,0.0
2018-11-12,-0.16886068014417802,-1.0111659614480488,-0.0,1.0,-0.9257953298855979,-0.8120592383638928,0.0
2018-11-13,-0.13225643614336194,-1.0082320506348776,-0.0,1.0,-0.9332116646604279,-0.8093426008620356,0.0
2018-11-14,-0.13313402702282964,-1.007454573691567,-0.0,1.0,-0.9332194440130455,-0.808821245535021,0.0
2018-11-15,-0.13186002252689635,-1.0082339690060977,-0.0,1.0,-0.9339728900454423,-0.8098807628073175,0.0
2018-11-16,-0.1239257544245183,-1.0034140407330376,-0.0,1.0,-0.9527135737550524,-0.8441313817054507,0.0
2018-11-19,-0.12283112192824054,-1.0042396168642536,-0.0,1.0,-0.9537960273219752,-0.8447436602025594,0.0
2018-11-20,-0.07048458149779735,-0.9943861837745117,-0.0,1.0,-0.9615219679544657,-0.8720907566956454,0.0
2018-11-21,-0.07756457279641712,-0.9869503107988109,-0.0,1.0,-0.9602331956295123,-0.8360681054785528,0.0
2018-11-23,-0.07807251245221823,-0.9871037491795049,-0.0,1.0,-0.9599212324800185,-0.8360168346268195,0.0
