Date,HRC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.29921366228010915,-0.6369605750263464,-0.10427756910854703,-0.3720377225930229,-0.28972897019482796,0.0
2018-09-25,1.0,-0.300521353899349,-0.6356465598746589,-0.1064858586131446,-0.3708636105783516,-0.28782517085820797,0.0
2018-09-26,1.0,-0.30135098621994055,-0.6367198054579843,-0.1082139962172386,-0.37049446095649824,-0.2851661713050527,0.0
2018-09-27,1.0,-0.3033346834075874,-0.6314837316052383,-0.10970703388686377,-0.37056838126096936,-0.2850546780072904,0.0
2018-09-28,1.0,-0.3082861554297478,-0.6310371915377739,-0.10916379987539616,-0.3731072405666766,-0.2871576780345098,0.0
2018-10-01,1.0,-0.3076213723894765,-0.6335503119066992,-0.10957417954976945,-0.373284513154326,-0.2882017900732302,0.0
2018-10-02,1.0,-0.30968022151039687,-0.6185732124436722,-0.11496281014170151,-0.37797926054617514,-0.29339269232857373,0.0
2018-10-03,1.0,-0.31006193632511136,-0.6212376399000326,-0.11542431815712267,-0.37748560252091706,-0.2922688253830273,0.0
2018-10-04,1.0,-0.3148279049535099,-0.6150834647381872,-0.11592626828339948,-0.3841552933500082,-0.28875536947419933,0.0
2018-10-05,1.0,-0.3190108781591646,-0.6223452111562474,-0.11573379863136946,-0.3836800348973527,-0.285640284631533,0.0
2018-10-08,1.0,-0.3184071471373318,-0.6214523070218445,-0.1146973906411723,-0.38413139401863045,-0.28506836629078824,0.0
2018-10-09,1.0,-0.32284582821248126,-0.6235149528881606,-0.12229960398743685,-0.3819472893622832,-0.280540761982794,0.0
2018-10-10,1.0,-0.3243029194090177,-0.6223885080700221,-0.1239315072234208,-0.382773028920993,-0.27757598929458993,0.0
2018-10-11,1.0,-0.2964436375287019,-0.6250600736903936,-0.08511774443317136,-0.37632829604314627,-0.2870187429914028,0.0
2018-10-12,1.0,-0.3089514742826921,-0.6239323019965622,-0.08430516990612191,-0.36054475737141345,-0.26669311119925954,0.0
2018-10-15,1.0,-0.30449132627465475,-0.6313732738362422,-0.07765426557177936,-0.36015103107754864,-0.2667335568874924,0.0
2018-10-16,1.0,-0.30609656193018153,-0.6270711661953965,-0.08134034512829998,-0.36064057503765756,-0.2674876456753257,0.0
2018-10-17,1.0,-0.3011220637583893,-0.6150639681208054,-0.07757445469798659,-0.3587982382550336,-0.2690593540268456,0.0
2018-10-18,1.0,-0.2994246380999921,-0.6132201875837427,-0.0791582376586186,-0.36434332553923754,-0.2710506265927541,0.0
2018-10-19,1.0,-0.29862295081967216,-0.6149508196721312,-0.0759344262295082,-0.3644065573770492,-0.26900983606557377,0.0
2018-10-22,1.0,-0.2978550237601407,-0.6180524560896847,-0.0793667463047074,-0.36246685394733386,-0.2676888340465751,0.0
2018-10-23,1.0,-0.29676978114478114,-0.6201862373737373,-0.07494212962962964,-0.3674768518518518,-0.27109638047138046,0.0
2018-10-24,1.0,-0.2970955447496386,-0.6197134971743987,-0.07259823892758575,-0.36785385727428044,-0.27120515179392823,0.0
2018-10-25,1.0,-0.2800760573513541,-0.5953029446528598,-0.0704044401048358,-0.37167891464104014,-0.2520427565650855,0.0
2018-10-26,1.0,-0.2746304475478057,-0.5896755086930991,-0.06385151522887998,-0.3756797467384922,-0.2492021751895632,0.0
2018-10-29,1.0,-0.27121536267318663,-0.5928331295843521,-0.06008048084759576,-0.37367563162184186,-0.2490576609616952,0.0
2018-10-30,1.0,-0.26305998674889153,-0.5948218745221956,-0.05410019876662759,-0.3765608276846237,-0.25972172672136995,0.0
2018-10-31,1.0,-0.2697151272025593,-0.5766008226273295,-0.0543848067841365,-0.3795511095313056,-0.25872137307672777,0.0
2018-11-01,1.0,-0.26928154353896927,-0.5771007870017771,-0.05397308961665398,-0.3795887281035796,-0.25879664889565884,0.0
2018-11-02,1.0,-0.2679030902096655,-0.5848215423024992,-0.0546964563218098,-0.37892645148141546,-0.261228441138257,0.0
2018-11-05,1.0,-0.2599811626811784,-0.6559573020773376,-0.04303804091884255,-0.41020878028360636,-0.24710899481973733,0.0
2018-11-06,1.0,-0.24749190509050373,-0.6558999946918626,-0.046472742714581454,-0.4314188651202293,-0.27278517968045013,0.0
2018-11-07,1.0,-0.24822732704820077,-0.6563802947815695,-0.04530606825122825,-0.43242597264639493,-0.2733767096003187,0.0
