Date,CRDF,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-07-08,1.0,-1.2736738589691676,-0.6025915427778099,-1.40938277318216,-1.4990455255394226,-0.0,0.0
2020-07-09,1.0,-1.2679481241315422,-0.6055465493283927,-1.4094488188976377,-1.5067739694302915,-0.0,0.0
2020-07-10,1.0,-1.2681797128300138,-0.6051412691060676,-1.4097383047707273,-1.506658175081056,-0.0,0.0
2020-07-13,1.0,-1.2814673157162726,-0.5963143254520168,-1.413421418636996,-1.5038827074640706,-0.0,0.0
2020-07-14,1.0,-1.2740162037037037,-0.5932291666666667,-1.407986111111111,-1.5118055555555556,-0.0,0.0
2020-07-15,1.0,-1.2802499855332445,-0.5874660031248192,-1.4069208957814943,-1.512007406978763,-0.0,0.0
2020-07-16,1.0,-1.2776233495482976,-0.5971160528144545,-1.404389622422979,-1.5119295807273567,-0.0,0.0
2020-07-17,1.0,-1.2762853172765167,-0.5976146364057434,-1.4039485873089392,-1.511868920796665,-0.0,0.0
2020-07-20,1.0,-1.28500900272986,-0.5984201661148865,-1.4048905151884767,-1.5199512110123714,-0.0,0.0
2020-07-21,1.0,-1.2576715586750973,-0.6244561749521435,-1.3859272579615987,-1.532745518881606,-0.0,0.0
2020-07-22,1.0,-1.2547120570666357,-0.6279649712926985,-1.3833439656672273,-1.5333758626689094,-0.0,0.0
2020-07-23,1.0,-1.2609327750639683,-0.6251453826471273,-1.386950453593859,-1.542277273784601,-0.0,0.0
2020-07-24,1.0,-1.2505660377358492,-0.631988388969521,-1.3811320754716983,-1.5417706821480406,-0.0,0.0
2020-07-27,1.0,-1.250609543712992,-0.6314872866597004,-1.3809357947288983,-1.542087542087542,-0.0,0.0
2020-07-28,1.0,-1.2460699576541563,-0.6315911595800221,-1.3750797610070191,-1.5480596322292477,-0.0,0.0
2020-07-29,1.0,-1.2445062909491504,-0.6314721400823331,-1.3739780831448947,-1.548211283121702,-0.0,0.0
2020-07-30,1.0,-1.249709707385044,-0.617045982350209,-1.3815025545750115,-1.5575940548072458,-0.0,0.0
2020-07-31,1.0,-1.2591020123298824,-0.6155635686867512,-1.384552750959637,-1.556822147260672,-0.0,0.0
2020-08-03,1.0,-1.2617953342253767,-0.6138227936471,-1.3841410204200362,-1.5579149456047472,-0.0,0.0
2020-08-04,1.0,-1.2842346848702408,-0.6266109574530689,-1.406343788618843,-1.5675866533278409,-0.0,0.0
2020-08-05,1.0,-1.2940198349070609,-0.6338262367123938,-1.4219965556149414,-1.588811687154819,-0.0,0.0
2020-08-06,1.0,-1.307109174476213,-0.611353190473348,-1.4449949262818598,-1.6055631827135437,-0.0,0.0
2020-08-07,1.0,-1.3024089903759937,-0.6183274553171141,-1.4526869508039932,-1.60416043995457,-0.0,0.0
2020-08-10,1.0,-1.2853973013493252,-0.6474362818590704,-1.4462368815592204,-1.617991004497751,-0.0,0.0
2020-08-11,1.0,-1.2799206921413122,-0.6599975967315549,-1.4381759192501802,-1.63013698630137,-0.0,0.0
2020-08-12,1.0,-1.282757790879557,-0.6558175911442666,-1.444110215377211,-1.63343761280231,-0.0,0.0
2020-08-13,1.0,-1.2864507520621058,-0.6965065502183406,-1.4133309073265405,-1.6687287724405628,-0.0,0.0
2020-08-14,1.0,-1.2895199951453364,-0.695794647733479,-1.41622671278597,-1.6667880332544454,-0.0,0.0
2020-08-17,1.0,-1.288731112324777,-0.6962801140845926,-1.41622671278597,-1.6670914497238911,-0.0,0.0
2020-08-18,1.0,-1.2923123670616834,-0.6997265268915224,-1.3987845639623215,-1.6862959586751747,-0.0,0.0
2020-08-19,1.0,-1.289620807000486,-0.7040593096742829,-1.3975449684005832,-1.6855858045697618,-0.0,0.0
2020-08-20,1.0,-1.3226127527216174,-0.7261586314152411,-1.4317262830482114,-1.7403421461897357,-0.0,0.0
2020-08-21,1.0,-1.323130521338808,-0.7259549583177803,-1.432126415329103,-1.7398905064078636,-0.0,0.0
2020-08-24,1.0,-1.341229554427524,-0.7118505984834242,-1.4485805602556872,-1.7651814250799023,-0.0,0.0
2020-08-25,1.0,-1.3418149912258712,-0.7099523690147906,-1.4560040110303334,-1.759526197041865,-0.0,0.0
2020-08-26,1.0,-1.3400012541543864,-0.7126732300746222,-1.4556969963002446,-1.7624004514955793,-0.0,0.0
2020-08-27,1.0,-1.3246070019415042,-0.7298803782802029,-1.4476733262353603,-1.760756560405837,-0.0,0.0
2020-08-28,1.0,-1.3294036495892645,-0.7279739135887627,-1.451495579105788,-1.7619614974603375,-0.0,0.0
2020-08-31,1.0,-1.330135440180587,-0.7269877100576875,-1.452407825432656,-1.7608477552044144,-0.0,0.0
2020-09-01,1.0,-1.3331659553100679,-0.7213155912628672,-1.4642229475269897,-1.7579713783580218,-0.0,0.0
2020-09-02,1.0,-1.326954551177137,-0.720760417978094,-1.4724915019514038,-1.77464434092912,-0.0,0.0
2020-09-03,1.0,-1.3317362249401083,-0.7254444584541672,-1.483923843147144,-1.7632707098726514,-0.0,0.0
2020-09-04,1.0,-1.266235381935805,-0.7467031599900473,-1.4265986563821846,-1.7809156506593682,-0.0,0.0
2020-09-08,1.0,-1.2953104400778457,-0.7456211940485907,-1.4462301462740914,-1.7906962144516292,-0.0,0.0
2020-09-09,1.0,-1.2664176781823842,-0.7665732959850607,-1.4056022408963587,-1.786118892001245,-0.0,0.0
2020-09-10,1.0,-1.252681837911577,-0.7740435294847151,-1.3863086748930364,-1.7877472561542755,-0.0,0.0
2020-09-11,1.0,-1.2425521350546176,-0.7864945382323734,-1.3879716981132073,-1.7895357497517375,-0.0,0.0
2020-09-14,1.0,-1.2477936606587945,-0.790366687383468,-1.390677439403356,-1.786202610316967,-0.0,0.0
2020-09-15,1.0,-1.2573808191932376,-0.7722046118466033,-1.3774007085586426,-1.8083783951768289,-0.0,0.0
2020-09-16,1.0,-1.2571553011448482,-0.7794922847187655,-1.365729218516675,-1.8196864111498257,-0.0,0.0
2020-09-17,1.0,-1.2492537313432837,-0.7851990049751244,-1.3601990049751245,-1.8171019900497514,-0.007151741293532338,0.0
2020-09-18,1.0,-1.3827547748501323,-0.8306845113620521,-1.534643803150704,-2.0436358566847903,-0.17879548306148055,0.0
2020-09-21,1.0,-1.3775802952907423,-0.8477363375551045,-1.5560142747183543,-2.040375061227346,-0.17563501504443355,0.0
2020-09-22,1.0,-1.606145251396648,-0.7479239015551865,-1.7861241129397554,-2.235316321908501,-0.17393930243092257,0.0
2020-09-23,1.0,-1.5936910421854955,-0.7460569013659347,-1.790959172892612,-2.2303222398309566,-0.1854954343068448,0.0
2020-09-24,1.0,-1.5748817656332108,-0.7247954357780947,-1.773965918474589,-2.2288116507769686,-0.20456422190526238,0.0
2020-09-25,1.0,-1.5793674698795181,-0.7296686746987951,-1.7822289156626505,-2.2365210843373493,-0.20240963855421687,0.0
2020-09-28,1.0,-1.5699804775491817,-0.7247334434599789,-1.7688091305000753,-2.2325424237873555,-0.21256945487310408,0.0
2020-09-29,1.0,-1.567371103117506,-0.7182254196642686,-1.7691097122302157,-2.2305905275779376,-0.2087080335731415,0.0
2020-09-30,1.0,-1.5934984049825307,-0.7258848549293635,-1.8064712137323409,-2.2682667476834273,-0.20120006076257024,0.0
2020-10-01,1.0,-1.5934391373680614,-0.7289088009719796,-1.8037816083225757,-2.2661553648720476,-0.20123016174348848,0.0
2020-10-02,1.0,-1.5935547767789122,-0.7103458784092641,-1.8042053938747526,-2.289654121590736,-0.22078317842450101,0.0
2020-10-05,1.0,-1.57820698045776,-0.7203254505360809,-1.7880769523230173,-2.28735457379667,-0.23002053075811726,0.0
2020-10-06,1.0,-1.580069823922283,-0.6999089253187614,-1.7779295689131756,-2.292653309046752,-0.23891924711596846,0.0
2020-10-07,1.0,-1.573539440781996,-0.7044025157232704,-1.773509130863075,-2.286959157384254,-0.23899371069182387,0.0
2020-10-08,1.0,-1.5702947845804989,-0.6986394557823129,-1.7698412698412698,-2.2845049130763417,-0.23537414965986395,0.0
2020-10-09,1.0,-1.6128577028616229,-0.7125833006664053,-1.8209329674637398,-2.4062720501764017,-0.28741669933359465,0.0
2020-10-12,1.0,-1.6011606022584692,-0.7104767879548306,-1.8182245922208282,-2.4019761606022585,-0.3101474278544542,0.0
2020-10-13,1.0,-1.5817466561762392,-0.7318646734854446,-1.8229740361919748,-2.4051140833988987,-0.3261998426435877,0.0
2020-10-14,1.0,-1.58295893434224,-0.7322456057381571,-1.8221013636005357,-2.4162528572554582,-0.3284464412390636,0.0
2020-10-15,1.0,-1.5796439262643769,-0.7283756105246574,-1.821175358437057,-2.41421143847487,-0.33433118008507956,0.0
2020-10-16,1.0,-1.5895310279488395,-0.7207484604452866,-1.8308068845728724,-2.423969682614875,-0.3300963208589926,0.0
2020-10-19,1.0,-1.5873667587840503,-0.7198578760363205,-1.8308724832214764,-2.4249506514015,-0.332727990525069,0.0
2020-10-20,1.0,-1.5862940154744987,-0.7178272540660036,-1.8312805937154586,-2.432180641086373,-0.32741196905100267,0.0
2020-10-21,1.0,-1.5867298578199054,-0.7186413902053713,-1.8360189573459718,-2.430805687203792,-0.32677725118483414,0.0
2020-10-22,1.0,-1.593665661216066,-0.7276551833624384,-1.8502143197332908,-2.4418955389744403,-0.32441657405937446,0.0
2020-10-23,1.0,-1.5892486840006381,-0.7418248524485564,-1.8506141330355719,-2.460759291753071,-0.33322698995055033,0.0
2020-10-26,1.0,-1.592846878492735,-0.7465272233753791,-1.8519080312949066,-2.4667092447708763,-0.32548299536963116,0.0
2020-10-27,1.0,-1.5886620953595918,-0.7418274597352894,-1.866847392760325,-2.4656354648381438,-0.3102376016584277,0.0
2020-10-28,1.0,-1.6023471179945712,-0.7423758582149129,-1.872026185534089,-2.4711799457129167,-0.29546543190164454,0.0
