Date,GBDC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.14883442916915718,-0.28602279081426063,-0.0,-0.25808379769778067,-0.2352158571621387,0.0
2018-09-25,1.0,-0.14857958380744826,-0.28624327399664423,-0.0,-0.2582592428304179,-0.2355017260997859,0.0
2018-09-26,1.0,-0.1481038540179777,-0.28594575826549906,-0.0,-0.25838123529184837,-0.23650707920219127,0.0
2018-09-27,1.0,-0.15038463763086357,-0.281894075230879,-0.0,-0.258931497869551,-0.23679796402336747,0.0
2018-09-28,1.0,-0.1493288590604027,-0.283190619455373,-0.0,-0.25904497415721667,-0.23700146571009797,0.0
2018-10-01,1.0,-0.14936830938374,-0.283325296557045,-0.0,-0.2590606615874241,-0.2370720416626483,0.0
2018-10-02,1.0,-0.15039929015084294,-0.27961884186566877,-0.0,-0.26042590949423244,-0.23849388526677212,0.0
2018-10-03,1.0,-0.14990831000868643,-0.2725219573400251,-0.0,-0.2637969307981855,-0.24408840845478236,0.0
2018-10-04,1.0,-0.15170989655704803,-0.26974293654469667,-0.0,-0.2660761154855643,-0.24235757295044003,0.0
2018-10-05,1.0,-0.14522510755992624,-0.26484711124769517,-0.0,-0.2668062384757222,-0.2438537185003073,0.0
2018-10-08,1.0,-0.14421896578180143,-0.2634647844100046,-0.0,-0.2671282798833819,-0.24326760779499768,0.0
2018-10-09,1.0,-0.15390859020195188,-0.26937868393081454,-0.0,-0.2683544303797469,-0.24089283988791188,0.0
2018-10-10,1.0,-0.1559725311925718,-0.268555953186962,-0.0019344230583228552,-0.27000677048070415,-0.23793403617371117,0.0
2018-10-11,1.0,-0.13014500415376484,-0.2595914205875689,-0.0,-0.25930820934974697,-0.23901140397250964,0.0
2018-10-12,1.0,-0.13214592434935216,-0.25417273440125465,-0.0,-0.25109219222583173,-0.22958440685560658,0.0
2018-10-15,1.0,-0.11106753324368743,-0.27650156880322724,-0.0,-0.24841252054385174,-0.23164126699536827,0.0
2018-10-16,1.0,-0.10854986643752453,-0.28074271944408125,-0.0,-0.24775372200325035,-0.2309603422188183,0.0
2018-10-17,1.0,-0.10038032641606971,-0.26521305664278855,-0.0,-0.2460305738128646,-0.2346207813307732,0.0
2018-10-18,1.0,-0.10052812349964915,-0.2657606086346345,-0.0,-0.24565129076337852,-0.2346271743546183,0.0
2018-10-19,1.0,-0.09397683114597845,-0.25943984163061806,-0.0,-0.24585746755627244,-0.23370481706870003,0.0
2018-10-22,1.0,-0.09452937182286983,-0.2623919546347103,-0.0,-0.245123047842763,-0.23312106586408765,0.0
2018-10-23,1.0,-0.09313986591973551,-0.26279731839471027,-0.0,-0.24667095233722106,-0.23408944806685647,0.0
2018-10-24,1.0,-0.0925395601571392,-0.2628409883614201,-0.0,-0.2465763483496714,-0.233781253442009,0.0
2018-10-25,1.0,-0.07823312179556129,-0.24283819153131836,-0.0,-0.25077982144777883,-0.22082392169517048,0.0
2018-10-26,1.0,-0.07549292756108016,-0.24023074724960708,-0.0,-0.2512680382911845,-0.218995570795828,0.0
2018-10-29,1.0,-0.06628154994667614,-0.24338784216139353,-0.0,-0.24658727337362246,-0.2212051190899396,0.0
2018-10-30,1.0,-0.05624054799395071,-0.24455119651276572,-0.0,-0.24802063873320876,-0.23040654746019038,0.0
2018-10-31,1.0,-0.056640971901531036,-0.24231821249689178,-0.0,-0.24750452914638912,-0.22967212532414483,0.0
2018-11-01,1.0,-0.0518676248780055,-0.24581669771981188,-0.0,-0.2471652914559489,-0.22961582823174517,0.0
2018-11-02,1.0,-0.05282818447375409,-0.2408958130477118,-0.0,-0.2481543772683013,-0.22848543861202092,0.0
2018-11-05,1.0,-0.056409891731408555,-0.23403082721470603,-0.0,-0.24953332503688955,-0.237817561201088,0.0
2018-11-06,1.0,-0.053956321920980446,-0.2327656845630411,-0.0,-0.2526452670205565,-0.24193950621682284,0.0
2018-11-07,1.0,-0.0541749857387336,-0.2329934398174558,-0.0,-0.2532444381061038,-0.2422632629777524,0.0
2018-11-08,1.0,-0.051444829732373076,-0.23243531608428913,-0.0,-0.2520494354049969,-0.2423046145638837,0.0
2018-11-09,1.0,-0.05130165730137279,-0.2324311828721815,-0.0,-0.2522761220570453,-0.24222917703961877,0.0
