Date,EVOP,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-01-22,1.0,-0.0,-0.8862565682188801,-0.0,-1.5610617865555352,-1.0824877695234643,0.0
2019-01-23,1.0,-0.0,-0.8765230783168002,-0.0,-1.5873986501789192,-1.065724509670698,0.0
2019-01-24,1.0,-0.0,-0.8764777823073787,-0.0,-1.5873986501789192,-1.0657698056801197,0.0
2019-01-25,1.0,-0.0,-0.8728721477725462,-0.0,-1.5998279608837378,-1.05464505613908,0.0
2019-01-28,1.0,-0.0,-0.860902934537246,-0.0,-1.6054627539503386,-1.0483069977426636,0.0
2019-01-29,1.0,-0.0,-0.860171402796572,-0.0,-1.6017591339648172,-1.0486693730266126,0.0
2019-01-30,1.0,-0.0,-0.8593404610456985,-0.0,-1.6005774349257906,-1.0512924617674921,0.0
2019-01-31,1.0,-0.0,-0.8610236574615453,-0.0,-1.549338850409283,-1.0872537555095798,0.0
2019-02-01,1.0,-0.0,-0.8570722945666817,-0.0,-1.5427929950606196,-1.0904804669959587,0.0
2019-02-04,1.0,-0.0,-0.8567444789277201,-0.0,-1.5403679215580444,-1.100706157513606,0.0
2019-02-05,1.0,-0.0,-0.8444773973218299,-0.0,-1.53689224409095,-1.1122494832389682,0.0
2019-02-06,1.0,-0.0,-0.8446950972902529,-0.0,-1.5367366197816024,-1.1123444030018423,0.0
2019-02-07,1.0,-0.0,-0.8478036059529698,-0.0,-1.5439053999370533,-1.1044917045096894,0.0
2019-02-08,1.0,-0.0,-0.8512307761287718,-0.0,-1.5454423171770613,-1.0870286508541451,0.0
2019-02-11,1.0,-0.0,-0.8543301789478405,-0.0,-1.5501636991523524,-1.080414405525407,0.0
2019-02-12,1.0,-0.0,-0.8598285996320725,-0.0,-1.5470453627675325,-1.0800466639745143,0.0
2019-02-13,1.0,-0.0,-0.8628268963351725,-0.0,-1.551294128201678,-1.0715919795451487,0.0
2019-02-14,1.0,-0.0,-0.866400574042515,-0.0,-1.5565970042156247,-1.0617544174365412,0.0
