Date,IWF,IWM,MTUM,SCHN,SPY,VLUE,VXX
2018-09-24,-0.5036151410613865,-1.3100987665989319,-0.04357071972024007,1.0,-0.8988705637729786,-0.9695193988941923,0.0
2018-09-25,-0.5037096545531875,-1.3099569963612305,-0.04375974670384197,1.0,-0.8988233070270781,-0.9694721421482917,0.0
2018-09-26,-0.5055085346824909,-1.3123551940990117,-0.0470944252683342,1.0,-0.8984821977398458,-0.9648683152867747,0.0
2018-09-27,-0.5068027210884354,-1.3068783068783068,-0.048563869992441416,1.0,-0.8978174603174602,-0.9640495086923658,0.0
2018-09-28,-0.5071101242500119,-1.306420371332735,-0.049180327868852465,1.0,-0.897670902820428,-0.9639060802192091,0.0
2018-10-01,-0.5078187745074881,-1.3053810176217697,-0.04941654462134455,1.0,-0.8979543629234185,-0.9637643501677139,0.0
2018-10-02,-0.5093287988285863,-1.2921449152142082,-0.05450852581361296,1.0,-0.9007132398091728,-0.9667941996126777,0.0
2018-10-03,-0.5170470824181072,-1.2757138764205902,-0.049278960939738325,1.0,-0.9295196256326999,-1.0034858179734505,0.0
2018-10-04,-0.522272618763428,-1.2671759369777988,-0.050513248985438054,1.0,-0.9361184053473383,-0.998328956791597,0.0
2018-10-05,-0.5059203956441105,-1.260687621855533,-0.032003423843264066,1.0,-0.9455989348043178,-1.0111274906082077,0.0
2018-10-08,-0.5037975885312826,-1.2576663818475269,-0.0289566125510301,1.0,-0.946596411278838,-1.009968669894617,0.0
2018-10-09,-0.5025397578922383,-1.258295751246143,-0.025682411583194873,1.0,-0.9483028720626632,-1.0123902207453122,0.0
2018-10-10,-0.5033929673041332,-1.2570113415270727,-0.026621743463199357,1.0,-0.9487495847767285,-1.0096806339866178,0.0
2018-10-11,-0.4017461197339246,-1.2548965262379896,-0.0,1.0,-0.9240576496674057,-1.0386178861788617,0.0
2018-10-12,-0.4148950761212453,-1.2516344351483564,-0.0,1.0,-0.8967677044758378,-1.0085036346180223,0.0
2018-10-15,-0.3932153930330111,-1.2677822360021886,-0.0,1.0,-0.8909356191865767,-1.007614444647091,0.0
2018-10-16,-0.3932430584051429,-1.267724433502029,-0.0,1.0,-0.8908494050061552,-1.0075229106825332,0.0
2018-10-17,-0.35871914970275626,-1.2124842370744011,-0.0,1.0,-0.8956494325346784,-1.0368402089713566,0.0
