Date,IWF,IWM,MTUM,SPY,TAL,VLUE,VXX
2018-09-24,-1.0469550194360462,-1.4374035910409084,-0.5033627444931202,-1.2351453075831431,1.0,-0.9473684210526316,0.0
2018-09-25,-1.046515937731653,-1.4407585866073636,-0.5011119347664937,-1.2380158141833457,1.0,-0.9510130961205832,0.0
2018-09-26,-1.0490911339186348,-1.444355137875603,-0.5054408309632744,-1.2380363546432547,1.0,-0.9458390008655868,0.0
2018-09-27,-1.0523065522139197,-1.4328413512011364,-0.5084295683319954,-1.2372630148829742,1.0,-0.9447292039770272,0.0
2018-09-28,-1.0492782478845197,-1.4568815331010452,-0.5105774016923842,-1.2486311597809856,1.0,-0.9566326530612245,0.0
2018-10-01,-1.0493996142599389,-1.4562931624463384,-0.510918932371057,-1.248491258632489,1.0,-0.9566353512101039,0.0
2018-10-02,-1.04957392548361,-1.4507681781426884,-0.5132176401069851,-1.2488648379672824,1.0,-0.9576413509983207,0.0
2018-10-03,-1.0494433733441135,-1.4498414080477642,-0.5134647677094347,-1.2487094968592574,1.0,-0.9578953915044468,0.0
2018-10-04,-1.053763440860215,-1.4404872894524208,-0.514575175585804,-1.2541487973149354,1.0,-0.9524519858288271,0.0
2018-10-05,-1.041759465478842,-1.4318856718634,-0.4992576095025983,-1.25909428359317,1.0,-0.9546523137837168,0.0
2018-10-08,-1.0383784784352441,-1.4256185598815327,-0.49472450175849947,-1.2600111063120873,1.0,-0.9513790337508484,0.0
2018-10-09,-1.0425084955205437,-1.428174235403151,-0.5007723200494285,-1.2590670373802904,1.0,-0.9480383070744517,0.0
2018-10-10,-1.0508894811876277,-1.4299262381454163,-0.5070972540754974,-1.2672162647988596,1.0,-0.9432839521477717,0.0
2018-10-11,-0.9690339550454327,-1.4142754662840746,-0.3962816834050693,-1.2419894787183166,1.0,-0.9564203730272596,0.0
2018-10-12,-0.9840447453635561,-1.3971739770385634,-0.3905210479835149,-1.2066529290550485,1.0,-0.9091551368854872,0.0
2018-10-15,-0.9899705014749263,-1.3966961651917404,-0.391386430678466,-1.2116224188790559,1.0,-0.9099705014749261,0.0
2018-10-16,-0.9863305521036747,-1.426415764246405,-0.3729214746434701,-1.2172317888632462,1.0,-0.914610331972306,0.0
2018-10-17,-0.957674714839905,-1.358809565167043,-0.35058769034798215,-1.204504660992415,1.0,-0.9184181576052343,0.0
2018-10-18,-0.9598307442615348,-1.3633201947600277,-0.3487131926733132,-1.2046139578019939,1.0,-0.9199513099930442,0.0
2018-10-19,-0.9441093687173302,-1.3440749037853985,-0.331093112757769,-1.2095467861450975,1.0,-0.9152737090010915,0.0
2018-10-22,-0.957300514242792,-1.332928872710464,-0.30253654590628065,-1.2411740914081009,1.0,-0.9440110937770844,0.0
2018-10-23,-0.970294151842809,-1.3428671084757586,-0.31903267061969537,-1.235960934775026,1.0,-0.9451226601557958,0.0
