Date,CDNS,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,1.0,-0.0,-0.3999341981575484,-0.0,-0.0,-0.0,-1.1891332957322804,-0.0,-0.24783793946230492,-0.5966817070877984,-0.0,-0.0,-0.0,-0.0,-0.4481105470953186,-0.0,-0.8183869148336154,-0.0,-0.0
2019-01-03,1.0,-0.0,-0.40402904661513234,-0.0,-0.0,-0.0,-1.1598969313656593,-0.0,-0.2511595221363317,-0.6057156242679784,-0.0,-0.0,-0.0,-0.0,-0.45322089482314365,-0.0,-0.8109159053642538,-0.0,-0.0
2019-01-04,1.0,-0.0,-0.4029480580252691,-0.0,-0.0,-0.0,-1.1654656059897053,-0.0,-0.24473561066916238,-0.6063172671970051,-0.0,-0.0,-0.0,-0.0,-0.4503977538605522,-0.0,-0.8095460926532522,-0.0,-0.0
2019-01-07,1.0,-0.0,-0.3366354386122193,-0.0,-0.0,-0.0,-1.2821731139898696,-0.0,-0.1594872024743377,-0.5179075709354969,-0.0,-0.0,-0.0,-0.0,-0.4154825406786498,-0.0,-0.7197543592272176,-0.0,-0.05101080281500739
2019-01-08,1.0,-0.0,-0.3220438087527549,-0.0,-0.0,-0.0,-1.3018036252417577,-0.0,-0.17181666891557593,-0.5316871317411055,-0.0,-0.0,-0.0,-0.0,-0.42104079521432103,-0.0,-0.7260828498178383,-0.0,-0.023343678316016733
2019-01-09,1.0,-0.0,-0.2715889849389537,-0.0,-0.0,-0.0,-1.3526423669904641,-0.0,-0.17712325104714374,-0.49447464575349787,-0.0,-0.0,-0.0,-0.0,-0.42482844666250774,-0.0,-0.6778361999821763,-0.0,-0.05739238927011853
2019-01-10,1.0,-0.0,-0.28256611165524,-0.0,-0.0,-0.0,-1.3568693793963138,-0.0,-0.17442792271391686,-0.48900365060991896,-0.0,-0.0,-0.0,-0.0,-0.41229632267830113,-0.0,-0.6781230522660494,-0.0,-0.058676876502537625
2019-01-11,1.0,-0.0,-0.26538002914808106,-0.0,-0.0,-0.0,-1.3365278452501879,-0.0,-0.16163935874221613,-0.48434394735679903,-0.0,-0.0,-0.0,-0.0,-0.41920240250850155,-0.0,-0.6569800821445921,-0.0,-0.09225809300887691
2019-01-14,1.0,-0.0,-0.2686481473303008,-0.0,-0.0,-0.0,-1.3379410855452016,-0.0,-0.1586362231153116,-0.4790442962504968,-0.0,-0.0,-0.0,-0.0,-0.42542949255840656,-0.0,-0.6519012498343859,-0.0,-0.09477542728437045
2019-01-15,1.0,-0.0,-0.23898408812729502,-0.0,-0.0,-0.0,-1.3609022556390977,-0.0,-0.15260535058576674,-0.4830389928309145,-0.0,-0.0,-0.0,-0.0,-0.4735530687183074,-0.0,-0.5687620213324008,-0.0,-0.09359153698198985
