Date,CNI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2923116748640953,-0.39974113383380794,-0.0953404090085426,-0.4247217188713435,-0.3765467253429977,0.0
2018-09-25,1.0,-0.2910474998696491,-0.4089368580217947,-0.08874289587569739,-0.43247823139892594,-0.38581260753949637,0.0
2018-09-26,1.0,-0.29389931517591095,-0.41348214752470075,-0.09289560353390142,-0.43303361388467776,-0.38052172094725284,0.0
2018-09-27,1.0,-0.3013874681983896,-0.40443779998426316,-0.09630970178613582,-0.4370918246911637,-0.3835864348099772,0.0
2018-09-28,1.0,-0.3003724492472329,-0.40531395897812517,-0.09665320253894981,-0.4369459161726905,-0.3835964958296176,0.0
2018-10-01,1.0,-0.3003882069037876,-0.40533522190745985,-0.0967894239848914,-0.4368901479383066,-0.3835903892561116,0.0
2018-10-02,1.0,-0.3041625006577909,-0.3851760248381834,-0.10448350260485187,-0.4450876177445667,-0.39222754301952323,0.0
2018-10-03,1.0,-0.30596344813015003,-0.39594337629410525,-0.10564124234100994,-0.4443798859074583,-0.38910310585252483,0.0
2018-10-04,1.0,-0.30881149164268173,-0.39132845713078607,-0.10609701354598505,-0.4481529402445143,-0.38617939848432836,0.0
2018-10-05,1.0,-0.2980196976878917,-0.3841575815031337,-0.0949860430821088,-0.4584189182071944,-0.39779849370622,0.0
2018-10-08,1.0,-0.2967718172011892,-0.381830619063906,-0.09113630982135809,-0.46302191586203273,-0.3981951643031914,0.0
2018-10-09,1.0,-0.29672208776175946,-0.38180048405766603,-0.09089234978427864,-0.4631169104493318,-0.3982163527307166,0.0
2018-10-10,1.0,-0.2994417232843524,-0.380760520356033,-0.093379680834255,-0.4653183757307631,-0.3945067677884868,0.0
2018-10-11,1.0,-0.30712406664363723,-0.38625674275237154,-0.09473068849148354,-0.4739191666888104,-0.3952116493503043,0.0
2018-10-12,1.0,-0.31006425110596164,-0.3795818411628397,-0.09287444701917001,-0.46611017484727196,-0.38458500105329685,0.0
2018-10-15,1.0,-0.30013933068692655,-0.3959094613423066,-0.07844580562054733,-0.46696811167486,-0.3873918872735876,0.0
2018-10-16,1.0,-0.299156084864737,-0.39995267765596654,-0.0754528485422089,-0.4671241159923233,-0.3873333859137156,0.0
2018-10-17,1.0,-0.2917609130853027,-0.3814055065907495,-0.06936536411616358,-0.4657982996646127,-0.39157112029742863,0.0
2018-10-18,1.0,-0.29489252921535897,-0.38775563439065114,-0.06656928213689484,-0.4655154424040067,-0.393807387312187,0.0
2018-10-19,1.0,-0.2922265249369753,-0.3838656859942303,-0.06247888348883748,-0.4671102216908803,-0.393273903890636,0.0
2018-10-22,1.0,-0.2984085572658492,-0.3755804852595878,-0.04711714062092356,-0.48181581007044094,-0.4060005217845031,0.0
2018-10-23,1.0,-0.2995826812728221,-0.3751173708920188,-0.04997391757955138,-0.4791340636411059,-0.40440792905581635,0.0
