Date,IWF,IWM,MTUM,PSTG,SPY,VLUE,VXX
2018-09-24,-0.6698953000322864,-1.1757760250910936,-0.36409759697430927,1.0,-0.7840505511738388,-0.618513906185139,0.0
2018-09-25,-0.6694508537148132,-1.176972773419474,-0.3629903091832026,1.0,-0.7851868943239502,-0.620073834794647,0.0
2018-09-26,-0.6710526315789475,-1.1790397045244692,-0.3659741458910434,1.0,-0.7848568790397046,-0.615881809787627,0.0
2018-09-27,-0.6703739746976227,-1.1914824597988785,-0.3639186245887205,1.0,-0.7885444181843458,-0.6198155614254599,0.0
2018-09-28,-0.6674392731318376,-1.1944186908956054,-0.364592990914148,1.0,-0.7887539402929724,-0.6204802521787502,0.0
2018-10-01,-0.6682119512308191,-1.1932687404385518,-0.3646098929117797,1.0,-0.7892077326039589,-0.6205553752723564,0.0
2018-10-02,-0.6680426716141001,-1.1986085343228199,-0.36340445269016697,1.0,-0.7883116883116883,-0.6198515769944342,0.0
2018-10-03,-0.6681054488072031,-1.1847210619140442,-0.3609950802933259,1.0,-0.7957857606980414,-0.631625359695535,0.0
2018-10-04,-0.6736759040059416,-1.1761593092884,-0.36188088938402263,1.0,-0.8032771665970385,-0.6268393445666806,0.0
2018-10-05,-0.6599001202256543,-1.1696568944788681,-0.347637103486544,1.0,-0.811569407195043,-0.6352538610931286,0.0
2018-10-08,-0.6593030779184769,-1.169146871245032,-0.34670487106017195,1.0,-0.8117201220075793,-0.6345780571217302,0.0
2018-10-09,-0.6755709148648018,-1.1832531639658153,-0.36697333395600806,1.0,-0.8140382010927941,-0.6302246298977257,0.0
2018-10-10,-0.6758334111495004,-1.1829302455878232,-0.36721449248295823,1.0,-0.8140816135960406,-0.6289569520963675,0.0
2018-10-11,-0.6306175307856591,-1.1758531376380243,-0.3124005998091517,1.0,-0.7949743263507066,-0.6301631299132094,0.0
2018-10-12,-0.643726150392817,-1.1696969696969697,-0.3102581369248036,1.0,-0.769023569023569,-0.5966329966329966,0.0
2018-10-15,-0.6569636248758913,-1.1618828414116797,-0.32078707464572614,1.0,-0.7753407347233505,-0.5980684177272317,0.0
2018-10-16,-0.661960997239944,-1.1527532690828468,-0.3301208090131668,1.0,-0.7782905750871001,-0.6015564906565314,0.0
2018-10-17,-0.6458138395045226,-1.1147796640377847,-0.3178719422537094,1.0,-0.7718665062603038,-0.6054003475471194,0.0
2018-10-18,-0.6439876945026529,-1.1120870301841368,-0.3196308350795845,1.0,-0.7762272058495698,-0.6065361808373089,0.0
2018-10-19,-0.6411066138860472,-1.11292976915892,-0.31352577503002266,1.0,-0.7770315349375083,-0.6031668371658587,0.0
2018-10-22,-0.6414976876556385,-1.1105478477410173,-0.3127001067235859,1.0,-0.7778370686588403,-0.6042778370686589,0.0
2018-10-23,-0.6460901686768437,-1.110908362632961,-0.32142062397080423,1.0,-0.7711958698651474,-0.6009168187280253,0.0
2018-10-24,-0.6466088503446742,-1.1100289081609962,-0.31745608183233265,1.0,-0.7720702690682678,-0.6012452746275295,0.0
2018-10-25,-0.6174052276267958,-1.063571057642375,-0.3155184351739657,1.0,-0.7668772719404535,-0.564176908429981,0.0
2018-10-26,-0.6018363581756554,-1.0529883725919251,-0.29029905178701676,1.0,-0.7854292701763419,-0.5600034324451881,0.0
2018-10-29,-0.6224032054353034,-1.06227951744262,-0.29293149253081313,1.0,-0.8117677801489482,-0.5658290144157485,0.0
2018-10-30,-0.6286349566203079,-1.062737062388281,-0.2965514234642717,1.0,-0.8116580197933471,-0.5601865980729825,0.0
2018-10-31,-0.6300983919205929,-1.0455550257899526,-0.29868666291014695,1.0,-0.8067704044037969,-0.5533353560747258,0.0
2018-11-01,-0.6377302745915884,-1.039581160931526,-0.3051790059089329,1.0,-0.8080900243309002,-0.5542231491136601,0.0
2018-11-02,-0.642992997319962,-1.0159505489755338,-0.3015907322555546,1.0,-0.8132186392322988,-0.5488890810063112,0.0
2018-11-05,-0.6406412029035603,-1.0218199101278949,-0.30163325267888,1.0,-0.8132129277566539,-0.5434669892844798,0.0
2018-11-06,-0.6506117860694367,-1.0300488564140258,-0.29655410955942757,1.0,-0.8097626356522116,-0.5365990747546371,0.0
