Date,CARA,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.771164699846075,-2.2661877886095434,-1.2184710107747563,-2.0524371472550027,-1.9535146228835303,0.0
2018-09-25,1.0,-1.777492291880781,-2.267831449126413,-1.225282631038027,-2.053956834532374,-1.952929085303186,0.0
2018-09-26,1.0,-1.7778120501747894,-2.268455685790664,-1.2247583796010693,-2.0553156487764754,-1.955377339091096,0.0
2018-09-27,1.0,-1.7776750872869176,-2.260423084822346,-1.225200246457178,-2.052988293284042,-1.9528650646950094,0.0
2018-09-28,1.0,-1.7796732093310041,-2.2622546500873497,-1.2250539512896927,-2.0549789333059296,-1.9545781522967838,0.0
2018-10-01,1.0,-1.7800842667762822,-2.261432535196794,-1.2252594800123318,-2.0551844620285684,-1.9544753879354642,0.0
2018-10-02,1.0,-1.780645824763472,-2.2690250925545046,-1.2250102838338133,-2.0549156725627316,-1.9543397778691896,0.0
2018-10-03,1.0,-1.7802796627596134,-2.267735965453424,-1.224964013983138,-2.0544931112482008,-1.954143532798684,0.0
2018-10-04,1.0,-1.7844730077120823,-2.2611825192802057,-1.226529562982005,-2.059537275064267,-1.9509511568123394,0.0
2018-10-05,1.0,-1.7775269368907134,-2.262698819907645,-1.2090302719343253,-2.0613648024628017,-1.950846587993843,0.0
2018-10-08,1.0,-1.7758284600389862,-2.260080024622961,-1.2026264491638454,-2.068533907869088,-1.952498204575767,0.0
2018-10-09,1.0,-1.7766830870279147,-2.2610837438423643,-1.2030993431855501,-2.0691707717569785,-1.952791461412151,0.0
2018-10-10,1.0,-1.7766033863519755,-2.2609543355566957,-1.202668034889687,-2.0691636736788097,-1.952283222165213,0.0
2018-10-11,1.0,-1.6541908795429923,-2.22032896680784,-1.0337831182901607,-2.0098493056239537,-1.9312518467448045,0.0
2018-10-12,1.0,-1.6722276741903825,-2.2230618253189403,-1.0233562315996074,-1.990873405299313,-1.9040235525024534,0.0
2018-10-15,1.0,-1.6415168100078186,-2.262607505863956,-0.9763487099296326,-1.9863174354964819,-1.9064698983580923,0.0
2018-10-16,1.0,-1.6379984362783426,-2.274921813917123,-0.9672595777951526,-1.9863174354964819,-1.9066653635652857,0.0
2018-10-17,1.0,-1.5820654241156331,-2.1902814758463296,-0.9084252567516166,-1.9476987447698744,-1.8807531380753137,0.0
2018-10-18,1.0,-1.5820654241156331,-2.1903765690376567,-0.9082350703689616,-1.947793837961202,-1.8808482312666412,0.0
2018-10-19,1.0,-1.557146895317064,-2.1674361631960806,-0.8780740601149533,-1.945255818336003,-1.8744935456515595,0.0
2018-10-22,1.0,-1.5569882352941176,-2.1592470588235297,-0.8732235294117647,-1.9466352941176472,-1.8756705882352942,0.0
2018-10-23,1.0,-1.5571038508615007,-2.160248564165333,-0.872610865266924,-1.9482157988889934,-1.877036060634592,0.0
2018-10-24,1.0,-1.5549915397631136,-2.1566083850347813,-0.8647302124459485,-1.9474525286708027,-1.8764805414551606,0.0
2018-10-25,1.0,-1.4678030303030303,-2.045815295815296,-0.802579365079365,-1.9116161616161615,-1.7908549783549783,0.0
2018-10-26,1.0,-1.4304043889921245,-2.0058401911335277,-0.7623219184142996,-1.8928413414742058,-1.7573666047252456,0.0
2018-10-29,1.0,-1.403783545974483,-2.0190937087549496,-0.7329520457545095,-1.8800703915530137,-1.7630444346678398,0.0
2018-10-30,1.0,-1.4002989273782311,-2.0178477228767364,-0.7304378406892914,-1.8790223316335501,-1.7643748901002287,0.0
2018-10-31,1.0,-1.399423782084861,-1.9827134625458354,-0.7242884581805483,-1.8720970839881264,-1.751964379256155,0.0
2018-11-01,1.0,-1.3815903949886896,-1.9959979119540632,-0.702888463546198,-1.8693231251087523,-1.7503045066991474,0.0
2018-11-02,1.0,-1.3762606671838633,-1.9586242565296095,-0.6871821394707353,-1.864149642272218,-1.7337298508749246,0.0
2018-11-05,1.0,-1.3718026009818276,-1.9674446645422443,-0.6860735509430711,-1.8624580139522866,-1.7247437774524157,0.0
2018-11-06,1.0,-1.3780477298182132,-1.9732919789782026,-0.683897647971052,-1.8601705867149132,-1.7200827087102608,0.0
2018-11-07,1.0,-1.3747094774898856,-1.9722820005164845,-0.6861496083326161,-1.857105965395541,-1.7178273220280622,0.0
2018-11-08,1.0,-1.3409032479218441,-1.9921158625417774,-0.6375867683606136,-1.8583426171908475,-1.7408518296340731,0.0
2018-11-09,1.0,-1.3430807602993033,-2.000860067085233,-0.6399759181216135,-1.868495742667928,-1.7482583641524039,0.0
2018-11-12,1.0,-1.3355544165385274,-1.9742012643089015,-0.6333504185887578,-1.8639159405433112,-1.7357765248590467,0.0
2018-11-13,1.0,-1.3027925419724964,-1.9615287269045814,-0.5908208892263562,-1.8586855648359066,-1.7228549734244496,0.0
2018-11-14,1.0,-1.3031632222690845,-1.9606073386756642,-0.5909742724588781,-1.8583719949388444,-1.7222269084774355,0.0
2018-11-15,1.0,-1.3008588750421015,-1.9587403166049173,-0.5869821488716739,-1.857106769956214,-1.7165712361064331,0.0
2018-11-16,1.0,-1.2931020031849803,-1.9438437683345904,-0.5788282625094292,-1.8506411868242394,-1.7151118933869751,0.0
2018-11-19,1.0,-1.2929242119382964,-1.9456740442655938,-0.5761234071093226,-1.852448021462106,-1.716381623071764,0.0
2018-11-20,1.0,-1.251698988894414,-1.9290568539698325,-0.5273495773247141,-1.8504060997845184,-1.7293220619923753,0.0
2018-11-21,1.0,-1.2505956782515817,-1.9132363815627311,-0.5266617369156191,-1.8387971407443924,-1.6869608084791718,0.0
2018-11-23,1.0,-1.2487488719337108,-1.9051603905160392,-0.5256378702108458,-1.8391992780375748,-1.685290015587825,0.0
2018-11-26,1.0,-1.2487892965607814,-1.9140605762127556,-0.5233522120988262,-1.838135106295658,-1.6838217187884756,0.0
2018-11-27,1.0,-1.2381730533540323,-1.9227061034398236,-0.49587384590244304,-1.8349538360977204,-1.678895334586159,0.0
