Date,IWF,IWM,MCRB,MTUM,SPY,VLUE,VXX
2018-09-24,-0.8562874251497005,-2.2220951355715535,1.0,-0.05617977528089887,-1.2733633855883737,-1.3201237973491218,0.0
2018-09-25,-0.8917180013689254,-2.2469541409993155,1.0,-0.08275154004106776,-1.2939082819986312,-1.3292950034223134,0.0
2018-09-26,-0.8920068610634648,-2.2502915951972557,1.0,-0.07684391080617496,-1.3000343053173242,-1.3418867924528304,0.0
2018-09-27,-0.8919920400741096,-2.25087490564743,1.0,-0.07685445687229808,-1.3002127221574145,-1.3420709531325055,0.0
2018-09-28,-0.8960708888583598,-2.249828273114439,1.0,-0.07755186151943949,-1.3021019370792692,-1.3435224618766317,0.0
2018-10-01,-0.896551724137931,-2.248660530292623,1.0,-0.07817007830745983,-1.3022393185877181,-1.3433850803681826,0.0
2018-10-02,-0.8981321938107383,-2.277345096147219,1.0,-0.07292025639258393,-1.301881590736784,-1.3420635467640776,0.0
2018-10-03,-0.9081483543246816,-2.2592721452926035,1.0,-0.06826247303597523,-1.3366501983160533,-1.3861944193166793,0.0
2018-10-04,-0.9216657366071429,-2.247419084821429,1.0,-0.07080078125,-1.3551199776785716,-1.3805106026785716,0.0
2018-10-05,-0.8954684459271616,-2.23999165971643,1.0,-0.03892132332499305,-1.3726716708368085,-1.4031832082290796,0.0
2018-10-08,-0.8927902296856568,-2.2378044549302616,1.0,-0.0347651099854278,-1.3725626257719798,-1.401290680729998,0.0
2018-10-09,-0.9016850020888456,-2.245578610221418,1.0,-0.04630274335050828,-1.3723019078122825,-1.3969502854755604,0.0
2018-10-10,-0.9013162476495579,-2.247579915035866,1.0,-0.0444320635141723,-1.372867191308587,-1.398077860575249,0.0
2018-10-11,-0.7481072232453448,-2.271809562785622,1.0,-0.0,-1.3455425960030012,-1.4552895436873339,0.0
2018-10-12,-0.7500503389489227,-2.2594133834485532,1.0,-0.0,-1.2978723404255317,-1.4045909121417544,0.0
2018-10-15,-0.7031459170013387,-2.301539491298527,1.0,-0.0,-1.2856091030789825,-1.4032128514056224,0.0
2018-10-16,-0.7108369098712446,-2.296070278969957,1.0,-0.0,-1.290906652360515,-1.4081947424892705,0.0
2018-10-17,-0.6813273637081908,-2.23874111140374,1.0,-0.0,-1.2668554121675009,-1.3972214906505138,0.0
2018-10-18,-0.6806517580315323,-2.2368889768454383,1.0,-0.0,-1.2772610330496734,-1.4019394419156936,0.0
2018-10-19,-0.6445983922619436,-2.2183517417162277,1.0,-0.0,-1.2748839945101627,-1.3976864257238089,0.0
2018-10-22,-0.6448958265299458,-2.2069100646593953,1.0,-0.0,-1.2785578995493436,-1.4008229377571682,0.0
2018-10-23,-0.6543992678781541,-2.2093084063276245,1.0,-0.0,-1.2740227480716433,-1.399071774088116,0.0
