Date,IWF,IWM,MTUM,SPY,TTGT,VLUE,VXX
2018-09-24,-0.8047225094794899,-1.7186027806503505,-0.28846374813282777,-1.0593473514879927,1.0,-0.8740664138802712,0.0
2018-09-25,-0.8048023897058824,-1.7180606617647058,-0.28889016544117646,-1.0589958639705883,1.0,-0.8736787683823529,0.0
2018-09-26,-0.8067593976319118,-1.7206000689734453,-0.29227497413495807,-1.0588573399241292,1.0,-0.869295321301299,0.0
2018-09-27,-0.8068038156533731,-1.719285139639122,-0.29278243880013793,-1.058499023100793,1.0,-0.8690955062636478,0.0
2018-09-28,-0.8032003683877281,-1.7264145513152591,-0.29407701605940256,-1.0606112933862892,1.0,-0.8717550221608243,0.0
2018-10-01,-0.8034994819845747,-1.7255093818349256,-0.2944054334062392,-1.060607804765742,1.0,-0.8717048463220904,0.0
2018-10-02,-0.8058258016233952,-1.7068677681192792,-0.3013067756605837,-1.0654539174486213,1.0,-0.877209141672903,0.0
2018-10-03,-0.8114725630933087,-1.7274253299374853,-0.3045265107663811,-1.0683607316508452,1.0,-0.8765918036582542,0.0
2018-10-04,-0.8124819249233618,-1.7228295447972701,-0.305454335126381,-1.069061252819712,1.0,-0.8741974665972584,0.0
2018-10-05,-0.790819558831999,-1.7150837988826815,-0.28180613949202327,-1.082647008005529,1.0,-0.8889592812302021,0.0
2018-10-08,-0.78831654676259,-1.7114820143884895,-0.2734388489208633,-1.092201438848921,1.0,-0.8899568345323741,0.0
2018-10-09,-0.7855455017001902,-1.715290185003746,-0.263212494957063,-1.0997637023802662,1.0,-0.8996023283960579,0.0
2018-10-10,-0.8022707423580785,-1.7273362445414846,-0.27213973799126634,-1.1198835516739447,1.0,-0.9007860262008732,0.0
2018-10-11,-0.712241921005386,-1.7301952423698383,-0.15108842010771992,-1.0955453321364452,1.0,-0.9212859066427288,0.0
2018-10-12,-0.7277651871096126,-1.7233430987783982,-0.1429992814106462,-1.0589796031175724,1.0,-0.8745232436017909,0.0
2018-10-15,-0.7054511381800143,-1.7597420492752025,-0.11051094085873338,-1.0583145014606183,1.0,-0.8777489941024086,0.0
2018-10-16,-0.704067012013667,-1.7642455637606083,-0.10696572247327234,-1.0581395348837208,1.0,-0.877438553951284,0.0
2018-10-17,-0.6734957946948458,-1.6956545180073324,-0.07919991373733017,-1.0515419452232047,1.0,-0.8915246926892387,0.0
2018-10-18,-0.6721293800539083,-1.6935849056603773,-0.08016172506738545,-1.053423180592992,1.0,-0.8915363881401618,0.0
2018-10-19,-0.6525939368061486,-1.6791204099060633,-0.06031169940222032,-1.0574829205807004,1.0,-0.8878095644748077,0.0
2018-10-22,-0.7053706717548685,-1.7171558448846735,-0.0,-1.183511981592682,1.0,-1.0058925865649027,0.0
2018-10-23,-0.7034103039496601,-1.7189729760098882,-0.0,-1.1872577111073657,1.0,-1.0086521714703072,0.0
2018-10-24,-0.7019349758128024,-1.7248846889413882,-0.0,-1.189222634717066,1.0,-1.008831139610755,0.0
2018-10-25,-0.6314882618996338,-1.6289575705362913,-0.0,-1.187486538875727,1.0,-0.9365173379280638,0.0
2018-10-26,-0.5960567571876494,-1.6023808258489665,-0.0,-1.1967369931444969,1.0,-0.9191688366902269,0.0
2018-10-29,-0.571157194870983,-1.6077251860060155,-0.0,-1.1815735317397498,1.0,-0.9162577172708563,0.0
2018-10-30,-0.5371383063445713,-1.6202282983806744,-0.0,-1.1945845500398196,1.0,-0.9573135120785772,0.0
