Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WBA
2018-09-24,-0.285438499724214,-0.7473455598455598,-0.0,-0.6453736900165471,-0.7692015995587423,0.0,1.0
2018-09-25,-0.2851280990310679,-0.747732836798731,-0.0,-0.6456329092100273,-0.7696286334953968,0.0,1.0
2018-09-26,-0.28588669356229096,-0.7484224681907521,-0.0,-0.6455984276404262,-0.7682148891417537,0.0,1.0
2018-09-27,-0.29354092588117514,-0.7390133600303794,-0.0,-0.6490834397762972,-0.7705665067145373,0.0,1.0
2018-09-28,-0.2963090959358584,-0.7383881669892175,-0.0,-0.6500207354160907,-0.7711501244124965,0.0,1.0
2018-10-01,-0.2992245915258931,-0.7377111603433951,-0.0,-0.652658543339795,-0.7720852949321516,0.0,1.0
2018-10-02,-0.2995533704947547,-0.7387736730949002,-0.0,-0.6523560571962747,-0.7715611259218226,0.0,1.0
2018-10-03,-0.2995073549819595,-0.7255065223424924,-0.0,-0.6604565639744657,-0.7838953649736331,0.0,1.0
2018-10-04,-0.30145631067961165,-0.7219833564493758,-0.0,-0.6624133148404993,-0.7815533980582524,0.0,1.0
2018-10-05,-0.28496944166292604,-0.7129588066710404,-0.0,-0.6658955146576431,-0.7890956803977764,0.0,1.0
2018-10-08,-0.28272485951666837,-0.7103113041679595,-0.0,-0.6662874478574138,-0.7881201089392216,0.0,1.0
2018-10-09,-0.2744316606598281,-0.7148253396174107,-0.0,-0.6753534793457167,-0.8008386470751317,0.0,1.0
2018-10-10,-0.2741259225891403,-0.7147510308742506,-0.0,-0.6754218787899788,-0.8008246994005336,0.0,1.0
2018-10-11,-0.20164387253250687,-0.6998585191672843,-0.0,-0.6521929529070942,-0.8148959105302161,0.0,1.0
2018-10-12,-0.2017368736274706,-0.6905237239635323,-0.0,-0.6354229054368803,-0.7996606109003793,0.0,1.0
2018-10-15,-0.216088644884842,-0.6829137653990359,-0.0,-0.6437466523835029,-0.8048674343867167,0.0,1.0
2018-10-16,-0.20724292001209393,-0.7036987267779756,-0.0,-0.643867369906272,-0.80461584976652,0.0,1.0
2018-10-17,-0.18943153993779369,-0.6710012573621865,-0.0,-0.6382767520349414,-0.8101383098405136,0.0,1.0
2018-10-18,-0.1884293141702818,-0.6691393184753451,-0.0,-0.6425141570354671,-0.8115375699572804,0.0,1.0
2018-10-19,-0.17037085744345082,-0.6561678064176749,-0.0,-0.6459429247764336,-0.8152288269331931,0.0,1.0
2018-10-22,-0.1704997861349653,-0.6455762840127661,-0.0,-0.6529134998190373,-0.8212417332938505,0.0,1.0
2018-10-23,-0.1744981901941428,-0.646067785455742,-0.0,-0.6501480750246792,-0.8198749588680486,0.0,1.0
2018-10-24,-0.17213949972060613,-0.6429346218321664,-0.0,-0.6502646024389442,-0.8216480951911382,0.0,1.0
2018-10-25,-0.14619695756605283,-0.6069175340272218,-0.0,-0.6492233787029623,-0.8002241793434748,0.0,1.0
2018-10-26,-0.13490350431691214,-0.5964321990858305,-0.0,-0.6507427628237684,-0.7921216353478924,0.0,1.0
2018-10-29,-0.10891997974170678,-0.6102810838186883,-0.0,-0.6418397062547481,-0.8043175487465182,0.0,1.0
2018-10-30,-0.09600405294154898,-0.6113609017794946,-0.0,-0.643246152871889,-0.8157811411563548,0.0,1.0
2018-10-31,-0.09732030264817151,-0.601986128625473,-0.0,-0.6407629255989912,-0.8125157629255991,0.0,1.0
2018-11-01,-0.09212308273755157,-0.6053667601020439,-0.0,-0.6399798431545463,-0.8120689112153948,0.0,1.0
2018-11-02,-0.0986776134369516,-0.576209576334921,-0.0,-0.650695663073452,-0.808003258962146,0.0,1.0
2018-11-05,-0.09748457225198132,-0.5791748895780472,-0.0,-0.6506907245559628,-0.8051874823794756,0.0,1.0
2018-11-06,-0.0983241973375098,-0.5794205168363352,-0.0,-0.650211433046202,-0.8043852779953015,0.0,1.0
2018-11-07,-0.09795880032559014,-0.5792686744724814,-0.0,-0.64939577985098,-0.8040510926053472,0.0,1.0
