Date,AXNX,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-07-01,1.0,-0.0,-0.7308954524144399,-1.8676980778246604,-3.347773089545242,-2.4300984528832634,0.0
2019-07-02,1.0,-0.0,-0.7371321812237271,-1.8476412891172347,-3.332835123773937,-2.423727230266231,0.0
2019-07-03,1.0,-0.0,-0.7781954887218046,-1.828853383458647,-3.3402255639097747,-2.4513157894736843,0.0
2019-07-05,1.0,-0.0,-0.7806778706224768,-1.8125058679936157,-3.3359308985071827,-2.459675147873439,0.0
2019-07-08,1.0,-0.0,-0.7814494930529478,-1.812617348854675,-3.3345850544498687,-2.459256477656778,0.0
2019-07-09,1.0,-0.0,-0.766348135656736,-1.8087877084504402,-3.332677534195241,-2.4607457373056025,0.0
2019-07-10,1.0,-0.0,-0.7666073268996533,-1.8077391548767918,-3.3321465379930664,-2.462850182704019,0.0
2019-07-11,1.0,-0.0,-0.7760802324491518,-1.805323835411004,-3.327397131877402,-2.464242197019402,0.0
2019-07-12,1.0,-0.0,-0.7892418704901134,-1.804985474650923,-3.321900477930841,-2.455158841720551,0.0
2019-07-15,1.0,-0.0,-0.7863031665729812,-1.8219973768034474,-3.3394228967584785,-2.4208356754731124,0.0
2019-07-16,1.0,-0.0,-0.7888326775341952,-1.8218100056211355,-3.337830241708825,-2.4200861907438633,0.0
2019-07-17,1.0,-0.0,-0.7830702743329574,-1.830890642615558,-3.352593010146561,-2.428410372040586,0.0
2019-07-18,1.0,-0.0,-0.7812763564801799,-1.8389091931402866,-3.3420485427794957,-2.408958860462937,0.0
2019-07-19,1.0,-0.0,-0.7870326993347699,-1.8325681626534245,-3.351166494893657,-2.39857584559168,0.0
2019-07-22,1.0,-0.0,-0.7825070159027129,-1.821889616463985,-3.344527595884004,-2.4055191768007482,0.0
2019-07-23,1.0,-0.0,-0.7872041904405574,-1.8179777382845383,-3.341969881208493,-2.406510148723225,0.0
2019-07-24,1.0,-0.0,-0.7892129369975697,-1.8466068424004487,-3.3305290708543653,-2.3810992708917555,0.0
