Date,IWF,IWM,MTUM,SPY,TEL,VLUE,VXX
2018-09-24,-0.2760786600233224,-0.39443973285275097,-0.11822855931304993,-0.4246528145870879,1.0,-0.4368440580939256,0.0
2018-09-25,-0.2743598625136554,-0.40206762409741287,-0.11198742372971678,-0.4311635714476033,1.0,-0.4448855612693507,0.0
2018-09-26,-0.2737586759209824,-0.4022957821676455,-0.10835557928457021,-0.4336358782701549,1.0,-0.4514682327816337,0.0
2018-09-27,-0.2745610758311543,-0.39980788729387906,-0.10907732536421368,-0.43350765782592454,1.0,-0.4512514008218154,0.0
2018-09-28,-0.27148849760867827,-0.4043070510593957,-0.10965345873300024,-0.4342586902503541,1.0,-0.45218692387848347,0.0
2018-10-01,-0.27186982311761876,-0.4038636242184578,-0.10968310799978626,-0.43443060973654685,1.0,-0.4520921284668412,0.0
2018-10-02,-0.27159997857410684,-0.41850125877122507,-0.10560287106968771,-0.4326959130108737,1.0,-0.4498366275644116,0.0
2018-10-03,-0.2713253012048193,-0.41282463186077645,-0.10479250334672022,-0.43485943775100405,1.0,-0.45360107095046853,0.0
2018-10-04,-0.27328444492024406,-0.4092977197302216,-0.10520822181779252,-0.437346108553688,1.0,-0.45126324804624773,0.0
2018-10-05,-0.2664212155167814,-0.40430073101755515,-0.09839389573662026,-0.44178539032068725,1.0,-0.4570460487700763,0.0
2018-10-08,-0.26802965024485537,-0.4079852283978699,-0.0995745136342958,-0.44167625571998176,1.0,-0.4587759907945088,0.0
2018-10-09,-0.2676139252361457,-0.40804367022557597,-0.09857911214578148,-0.44216103395681144,1.0,-0.45947392363062267,0.0
2018-10-10,-0.26676870200311475,-0.41316255840180444,-0.09524193115299931,-0.4438000107405618,1.0,-0.46616723054615755,0.0
2018-10-11,-0.23888376990917468,-0.4117941292615506,-0.056943530340924045,-0.4413847571409767,1.0,-0.48361195208634983,0.0
2018-10-12,-0.23898464923770105,-0.4088384764499397,-0.053570493005710686,-0.43794205480169746,1.0,-0.48024833656415356,0.0
2018-10-15,-0.22915140734540126,-0.42481950402846075,-0.03960447839280109,-0.43870984618604164,1.0,-0.48357225070628856,0.0
2018-10-16,-0.22847127759757246,-0.42761849952914094,-0.03753793031285968,-0.4387621638589515,1.0,-0.4834676153604688,0.0
2018-10-17,-0.22164627825005181,-0.41120671781049134,-0.03125647936968692,-0.4386014928467758,1.0,-0.48903690648973663,0.0
2018-10-18,-0.22199756331492856,-0.4119034657956814,-0.030795551753635585,-0.4382922466754802,1.0,-0.48917748917748916,0.0
2018-10-19,-0.21573532066324555,-0.4053482554991103,-0.02465251811547487,-0.44152763093426856,1.0,-0.4914515588333892,0.0
2018-10-22,-0.21483890954151177,-0.4097222222222222,-0.028991119372160267,-0.4388424204874019,1.0,-0.48918318876497313,0.0
2018-10-23,-0.21574396696347914,-0.4093173312685508,-0.031204026325977543,-0.4367273196541489,1.0,-0.4879597367402245,0.0
2018-10-24,-0.21540803426300986,-0.40904048092056033,-0.029799530431641682,-0.43718878196031885,1.0,-0.4886090972419309,0.0
2018-10-25,-0.20255349392085692,-0.39023275883950553,-0.02754016803309897,-0.44026194887935627,1.0,-0.4776759651750133,0.0
2018-10-26,-0.19990894835348272,-0.38727300318680763,-0.024710405179827,-0.44180282260104203,1.0,-0.4755172239364662,0.0
2018-10-29,-0.19324170974656413,-0.39099735216240067,-0.01876182070356828,-0.43926364897238684,1.0,-0.4794603454797629,0.0
2018-10-30,-0.18009706283807692,-0.3956574490672868,-0.008341337647237247,-0.445301046458723,1.0,-0.4982559021283049,0.0
2018-10-31,-0.1795008505344403,-0.4033056592276639,-0.006855053697920634,-0.4479142864396882,1.0,-0.5013075380201589,0.0
2018-11-01,-0.14089762725822225,-0.45378043131401513,-0.0,-0.462864789747285,1.0,-0.5159297956662721,0.0
2018-11-02,-0.1408675505213026,-0.45462736516926244,-0.0,-0.4627365169262453,1.0,-0.5161024584888659,0.0
2018-11-05,-0.13729629534279023,-0.46505161805215867,-0.0,-0.4639960868110084,1.0,-0.5081481862883918,0.0
2018-11-06,-0.13327312604825184,-0.4628822087472584,-0.0,-0.4691781705586376,1.0,-0.5149787124242033,0.0
2018-11-07,-0.1326833294642627,-0.46354045758208884,-0.0,-0.46823492996982125,1.0,-0.5149475096081921,0.0
2018-11-08,-0.1267714307759574,-0.46310537280419745,-0.0,-0.46611455466680385,1.0,-0.5159589516730537,0.0
2018-11-09,-0.1262827602170726,-0.46313109230729665,-0.0,-0.46683470075358147,1.0,-0.5157274761451609,0.0
2018-11-12,-0.12575710912637308,-0.45752489477466385,-0.0,-0.46856072271840676,1.0,-0.5146288882044965,0.0
2018-11-13,-0.12067683630303808,-0.4575567234969875,-0.0,-0.4696064607101654,1.0,-0.5159338546340213,0.0
2018-11-14,-0.12160603030536113,-0.456939209804374,-0.0,-0.46978437556085434,1.0,-0.5155757249442351,0.0
2018-11-15,-0.12096836172665557,-0.4570001280901755,-0.0,-0.4705776866914308,1.0,-0.5132317151274497,0.0
2018-11-16,-0.12015146863166513,-0.45407327806775144,-0.0,-0.4698853750895507,1.0,-0.5145072152287381,0.0
2018-11-19,-0.11754911754911755,-0.45580060964676344,-0.0,-0.4723737800660877,1.0,-0.5158175158175158,0.0
2018-11-20,-0.12769955468609231,-0.4613760971968391,-0.0,-0.4738860717135577,1.0,-0.5111071070040413,0.0
2018-11-21,-0.13408207122390503,-0.4583503888661482,-0.0,-0.47485161686451083,1.0,-0.4910458452722063,0.0
2018-11-23,-0.133833662047591,-0.4629235931456674,-0.0,-0.47360467201147516,1.0,-0.4910478727491611,0.0
