Date,BHE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3908549953022236,-1.3205673124245,-0.0,-0.8352646414030692,-0.9274305400205808,0.0
2018-09-25,1.0,-0.4019207467576179,-1.322622627114841,-0.0,-0.8374545617735494,-0.9257730108154199,0.0
2018-09-26,1.0,-0.40126211404101875,-1.3258508000901512,-0.0,-0.8430020283975659,-0.9374352039666441,0.0
2018-09-27,1.0,-0.40144306651634726,-1.326989853438557,-0.0,-0.8433821871476888,-0.9377677564825253,0.0
2018-09-28,1.0,-0.3990045248868778,-1.3367873303167421,-0.0,-0.8473755656108597,-0.9416742081447963,0.0
2018-10-01,1.0,-0.40305682797405784,-1.3370674407002587,-0.0,-0.8514218331897139,-0.9438069753730328,0.0
2018-10-02,1.0,-0.41213665104853753,-1.3158804530773782,-0.0,-0.8644407041805031,-0.9564663603693764,0.0
2018-10-03,1.0,-0.411221752375756,-1.3047787932523984,-0.0,-0.8679579866321103,-0.9629427545127995,0.0
2018-10-04,1.0,-0.41264937071198143,-1.3011949656958517,-0.0,-0.8689172611204506,-0.9608342041891953,0.0
2018-10-05,1.0,-0.3901634901996206,-1.2910306205401498,-0.0,-0.8694336554963417,-0.9656760906873815,0.0
2018-10-08,1.0,-0.38546404286936553,-1.2852253793848787,-0.0,-0.869590669608682,-0.9628045210969515,0.0
2018-10-09,1.0,-0.3860115294541524,-1.2858944334354172,-0.0,-0.8694829760403532,-0.9623491262835526,0.0
2018-10-10,1.0,-0.38870372038555084,-1.2849292856499415,-0.0,-0.8714530222502478,-0.9589676605711197,0.0
2018-10-11,1.0,-0.27129996085765234,-1.27260470578002,-0.0,-0.8312529900404471,-0.973992084547471,0.0
2018-10-12,1.0,-0.27974069462928774,-1.2681921607349846,-0.0,-0.8021723264500064,-0.9430300948782896,0.0
2018-10-15,1.0,-0.2550889497092029,-1.2854088265480672,-0.0,-0.7946886760177899,-0.9412846390694493,0.0
2018-10-16,1.0,-0.24962560438149844,-1.295665568439519,-0.0,-0.7935047708698815,-0.9400111248983783,0.0
