Date,HSBC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.163116380124693,-0.3405677309654261,-0.06718779520120914,-0.39755337237861327,-0.3931843944832798,0.0
2018-09-25,1.0,-0.16310431969013484,-0.3406863323964951,-0.06709808459885218,-0.3976287758909804,-0.3932831062091117,0.0
2018-09-26,1.0,-0.1637729430940401,-0.3415774927361633,-0.0685753431129379,-0.3973023409633147,-0.39097158245340513,0.0
2018-09-27,1.0,-0.1663990554899646,-0.33574970484061395,-0.07031877213695396,-0.3977095631641086,-0.39109799291617475,0.0
2018-09-28,1.0,-0.16585987862759452,-0.33630073909655483,-0.07060379229733878,-0.39755366124347685,-0.39103638810833785,0.0
2018-10-01,1.0,-0.17128804619003493,-0.337871551785587,-0.06919001116734383,-0.40347375674198677,-0.394254758001283,0.0
2018-10-02,1.0,-0.17208771888141794,-0.3313930005464611,-0.07158640024709545,-0.4049276533060895,-0.39592292522987005,0.0
2018-10-03,1.0,-0.1729258889047551,-0.3367366366795183,-0.07227854728925699,-0.4041363225284402,-0.3938550145175877,0.0
2018-10-04,1.0,-0.17173814467435145,-0.34254552397317484,-0.07205078637741343,-0.40261568936302233,-0.3976277415813465,0.0
2018-10-05,1.0,-0.16220843141450889,-0.33623415840407067,-0.06384192881089949,-0.40946810281284923,-0.4059728463751575,0.0
2018-10-08,1.0,-0.16155929304446978,-0.3352575066514633,-0.0629988597491448,-0.40994393766628656,-0.4057392626377803,0.0
2018-10-09,1.0,-0.16232269714177103,-0.335289505571527,-0.06479127563021217,-0.40913302763192283,-0.40440495141248306,0.0
2018-10-10,1.0,-0.16276363290898724,-0.3344575337260118,-0.06545696370891127,-0.40939103173095187,-0.4030020900627018,0.0
2018-10-11,1.0,-0.13286761975492017,-0.33204140363906426,-0.028314147790568144,-0.40756126995915337,-0.4200473449684367,0.0
2018-10-12,1.0,-0.1317967039299297,-0.3277861011870462,-0.026022818946640543,-0.4037340094502708,-0.4156044715915639,0.0
