Date,IWF,IWM,MTUM,MTW,SPY,VLUE,VXX
2018-09-24,-0.6711895312667597,-1.2486860452644,-0.16963423790625334,1.0,-1.1286066716722085,-1.1449640673602919,0.0
2018-09-25,-0.6702830442021591,-1.2526451474300446,-0.16665771523712336,1.0,-1.1319619743273002,-1.1493098447822119,0.0
2018-09-26,-0.6698199408761085,-1.2528352593388874,-0.1638269282450954,1.0,-1.1339424885783391,-1.154420854608976,0.0
2018-09-27,-0.6698021930767576,-1.253063857235003,-0.16399698989464628,1.0,-1.1338959363577725,-1.1544291550204255,0.0
2018-09-28,-0.6685118503788896,-1.2537217176331488,-0.16477669694201105,1.0,-1.1333369162143279,-1.1540280539581877,0.0
2018-10-01,-0.6692105121728381,-1.2527543397646046,-0.16504541301660663,1.0,-1.1335518890740044,-1.1538130810985112,0.0
2018-10-02,-0.6727800785241758,-1.2301941590921313,-0.17382886032377776,1.0,-1.1404291937826063,-1.161135911364492,0.0
2018-10-03,-0.6722580645161291,-1.2183333333333333,-0.17231182795698927,1.0,-1.144731182795699,-1.1687096774193548,0.0
2018-10-04,-0.6712328767123288,-1.2295329522165892,-0.17285082515370512,1.0,-1.1434041635206558,-1.176086722036458,0.0
2018-10-05,-0.6525665143778555,-1.2196721311475411,-0.15178715399086268,1.0,-1.1572695511959152,-1.193603869927439,0.0
2018-10-08,-0.6511652883685963,-1.2181290946192675,-0.14955429062399314,1.0,-1.1578777789711094,-1.1932123295027388,0.0
2018-10-09,-0.6481780070944856,-1.2205202622809845,-0.14022358379017522,1.0,-1.164140599806514,-1.201547887778136,0.0
2018-10-10,-0.647612896280747,-1.2247699015016955,-0.13741320846116584,1.0,-1.1658862156197858,-1.2067387911082406,0.0
2018-10-11,-0.5809304516196556,-1.2171751530692343,-0.0459992673609294,1.0,-1.1545868438955464,-1.2344445025904023,0.0
2018-10-12,-0.5931501888354287,-1.2080293858968392,-0.03626674944384086,1.0,-1.129960163484919,-1.206166899477469,0.0
2018-10-15,-0.5472652380207519,-1.2976171854632672,-0.0,1.0,-1.1399447312164346,-1.229156890348819,0.0
2018-10-16,-0.5406561310175768,-1.3093934178271527,-0.0,1.0,-1.1382151984561624,-1.227403118969384,0.0
