Date,IWF,IWM,MTUM,SPY,VFC,VLUE,VXX
2018-09-24,-0.32633304466163554,-0.6350674254608438,-0.13819126561920078,-0.5008660150934059,1.0,-0.49245329704317703,0.0
2018-09-25,-0.32571605511689117,-0.6370335965319709,-0.13639882334726736,-0.5026165041028022,1.0,-0.49472054497600243,0.0
2018-09-26,-0.3254978475641859,-0.6369351791631825,-0.13561894143516368,-0.5029886339000897,1.0,-0.49595837591749514,0.0
2018-09-27,-0.3341311781162574,-0.6271992539633199,-0.13950885918557665,-0.5079266397264532,1.0,-0.49968915138327635,0.0
2018-09-28,-0.33445252751352356,-0.6269974507243673,-0.13974382888764533,-0.5079587141702419,1.0,-0.49972020145495244,0.0
2018-10-01,-0.3344422335530407,-0.6270675289143142,-0.1399390623056834,-0.507897027732869,1.0,-0.4997201840567094,0.0
2018-10-02,-0.3348254530759427,-0.6234884516149088,-0.1413783456122354,-0.5084398022941342,1.0,-0.500419658677609,0.0
2018-10-03,-0.334545115585384,-0.6202460850111856,-0.1410949540144171,-0.5091971165796669,1.0,-0.5020196370867511,0.0
2018-10-04,-0.33507284192215697,-0.6188923057807598,-0.14145932345540954,-0.5096449538719597,1.0,-0.5011959121548163,0.0
2018-10-05,-0.33518737182275804,-0.621776148157355,-0.13886644708221987,-0.5103473991672364,1.0,-0.5011497110185819,0.0
2018-10-08,-0.333509120238243,-0.6187802456880507,-0.13531455515572652,-0.5137113785829508,1.0,-0.50080655168135,0.0
2018-10-09,-0.3311270625524378,-0.6212982815947299,-0.12715577514682577,-0.5195301575463783,1.0,-0.508281283987446,0.0
2018-10-10,-0.33210114314115313,-0.620060884691849,-0.12838593439363818,-0.5200049701789264,1.0,-0.5058088966202784,0.0
2018-10-11,-0.3326382621144689,-0.6247237869969812,-0.12424138682269459,-0.5236998537238181,1.0,-0.5069247766954033,0.0
2018-10-12,-0.340044880268052,-0.6172573852632873,-0.12302111831791215,-0.5065014908856168,1.0,-0.4871353478220774,0.0
2018-10-15,-0.339110127826942,-0.6186393805309734,-0.12088249754178958,-0.5068215339233039,1.0,-0.4872787610619469,0.0
2018-10-16,-0.3374830935694086,-0.626121972211976,-0.11545555145702693,-0.5073773515308004,1.0,-0.48742776343292754,0.0
2018-10-17,-0.3266654543250288,-0.5998969509607807,-0.10714069224707522,-0.5045159726010789,1.0,-0.49263502454991814,0.0
2018-10-18,-0.32677618816682835,-0.6001758001939864,-0.10690470417070806,-0.5044556256062076,1.0,-0.4926951988360815,0.0
