Date,IWF,IWM,MTUM,PFN,SPY,VLUE,VXX
2018-09-24,-0.11412809858145866,-0.3222524717008167,-0.0,1.0,-0.18057744662559105,-0.17412953145149734,0.0
2018-09-25,-0.1153308981521272,-0.32171250537172325,-0.0,1.0,-0.18022131499785132,-0.17330969775103855,0.0
2018-09-26,-0.11512015184614835,-0.3215807757046163,-0.0,1.0,-0.1802456756079218,-0.17369193854528528,0.0
2018-09-27,-0.11658494685229591,-0.31865359149636735,-0.0,1.0,-0.18046956086038438,-0.1737589921620558,0.0
2018-09-28,-0.11456390761727157,-0.3222636637498207,-0.0,1.0,-0.18146607373404103,-0.17483144455601782,0.0
2018-10-01,-0.11421338025640106,-0.32405645132330235,-0.0,1.0,-0.18168923043774915,-0.17554853305562537,0.0
2018-10-02,-0.11628700776085081,-0.3167217591261857,-0.0,1.0,-0.18478729519977002,-0.17869718309859153,0.0
2018-10-03,-0.11589647802582662,-0.31266725336302736,-0.0,1.0,-0.18619228075216868,-0.18125325526679717,0.0
2018-10-04,-0.1181256510650526,-0.3094579546679119,-0.0,1.0,-0.1891590933582384,-0.17931678580408777,0.0
2018-10-05,-0.11850841617916234,-0.31096795032839253,-0.0,1.0,-0.18768617880343108,-0.17734989053583605,0.0
2018-10-08,-0.12014121546165207,-0.314222414352102,-0.0,1.0,-0.187957058971865,-0.17889693432760548,0.0
2018-10-09,-0.12010157037890794,-0.3142018441146809,-0.0,1.0,-0.187833165249964,-0.1787386543725688,0.0
2018-10-10,-0.1212328520505527,-0.3135419292118245,-0.0,1.0,-0.18845641450329456,-0.1770964605912217,0.0
2018-10-11,-0.11657285803627268,-0.31221299026177074,-0.0,1.0,-0.18454391137317966,-0.17348342714196371,0.0
2018-10-12,-0.11332737030411448,-0.3144364937388193,-0.0,1.0,-0.18615384615384614,-0.17499105545617172,0.0
2018-10-15,-0.12462432738855797,-0.30752065074594637,-0.0,1.0,-0.19077869958788488,-0.17670559864667879,0.0
2018-10-16,-0.11954325708925607,-0.3177718450104626,-0.0,1.0,-0.19039974024099865,-0.1761671116242153,0.0
2018-10-17,-0.11601942617515816,-0.3108188025304206,-0.0,1.0,-0.18868837476030895,-0.1765559756993602,0.0
2018-10-18,-0.11601526799634429,-0.3109151837714818,-0.0,1.0,-0.18857409099869182,-0.17649588731788612,0.0
2018-10-19,-0.11043915974457943,-0.30568648725565184,-0.0,1.0,-0.18779459632521656,-0.1747567634869533,0.0
2018-10-22,-0.11023341873042983,-0.3007401081696555,-0.0,1.0,-0.19072018218047254,-0.1774124679760888,0.0
2018-10-23,-0.11050824542365645,-0.3007133581200078,-0.0,1.0,-0.19045416540657856,-0.1772721612438404,0.0
2018-10-24,-0.109890305260725,-0.2974736430387398,-0.0,1.0,-0.1912279766031966,-0.17928067274699094,0.0
2018-10-25,-0.09646687259223267,-0.2783639329469337,-0.0,1.0,-0.1944955402075452,-0.16600145767535487,0.0
2018-10-26,-0.08832193491705284,-0.2732002273940981,-0.0,1.0,-0.19841857740874091,-0.1627418215645403,0.0
2018-10-29,-0.08918602246881246,-0.2727789647804811,-0.0,1.0,-0.19941071059342477,-0.16167551175132677,0.0
2018-10-30,-0.09170373435398779,-0.27299058653149894,-0.0,1.0,-0.19952760249646564,-0.1598393158856591,0.0
2018-10-31,-0.09406458472672395,-0.26420400953507917,-0.0,1.0,-0.19883040935672514,-0.15784328857333949,0.0
2018-11-01,-0.09757479990381643,-0.26216893957610526,-0.0,1.0,-0.1995122118786713,-0.1583078561368555,0.0
