Date,IWF,IWM,MTUM,PEG,SPY,VLUE,VXX
2018-09-24,-0.29371627231216274,-0.4538190120381901,-0.0,1.0,-0.5020755500207554,-0.34480074719800746,0.0
2018-09-25,-0.29482092377914365,-0.4531497186130346,-0.0,1.0,-0.5015690240929485,-0.3438885863222594,0.0
2018-09-26,-0.2933614935335836,-0.45510012515644555,-0.0,1.0,-0.5055538172715894,-0.3534365874009178,0.0
2018-09-27,-0.2929216474395782,-0.45732630370099703,-0.0,1.0,-0.5058986271336848,-0.35389152790102835,0.0
2018-09-28,-0.2966705057062088,-0.457465186891425,-0.0,1.0,-0.5078002303423725,-0.3555910375876872,0.0
2018-10-01,-0.2993430676347775,-0.47700736721721326,-0.0,1.0,-0.5168488523630947,-0.3664459161147903,0.0
2018-10-02,-0.2997579594116552,-0.47604862090060374,-0.0,1.0,-0.5170625315849668,-0.3668909753437774,0.0
2018-10-03,-0.2992226599936109,-0.46682994356298585,-0.0,1.0,-0.5216164412735599,-0.374454264721542,0.0
2018-10-04,-0.3109552976574253,-0.4633032452181388,-0.0,1.0,-0.539033956587148,-0.37314635718891037,0.0
2018-10-05,-0.29495652173913045,-0.4532976588628762,-0.0,1.0,-0.5463010033444816,-0.38100334448160533,0.0
2018-10-08,-0.29209125678675546,-0.4503998502233277,-0.0,1.0,-0.5511514081681779,-0.3809409184519511,0.0
2018-10-09,-0.2857258021174826,-0.4536196055248024,-0.0,1.0,-0.5577202128231311,-0.3900951254904068,0.0
2018-10-10,-0.2897442799461642,-0.45362045760430686,-0.0,1.0,-0.5612651413189771,-0.3871332436069987,0.0
2018-10-11,-0.22278030659760373,-0.4448281274525192,-0.0,1.0,-0.5468529273269502,-0.4015591482237221,0.0
2018-10-12,-0.22216772927905837,-0.434965540383573,-0.0,1.0,-0.5367956428589866,-0.38731576366123743,0.0
2018-10-15,-0.20435420365938392,-0.4492910265318202,-0.0,1.0,-0.5332098098252657,-0.38657711212331763,0.0
2018-10-16,-0.20403489359512106,-0.44980829108875225,-0.0,1.0,-0.5330022387483595,-0.386428553048043,0.0
2018-10-17,-0.18823886026068506,-0.41873800141457007,-0.0,1.0,-0.5281145801758108,-0.3909012832171365,0.0
2018-10-18,-0.18827838827838828,-0.41904761904761906,-0.0,1.0,-0.5280030314513073,-0.3909056460780599,0.0
2018-10-19,-0.17437579825198468,-0.4066264305927725,-0.0,1.0,-0.5325436377751622,-0.3907490420976184,0.0
2018-10-22,-0.17503087742293247,-0.3965669346910997,-0.0,1.0,-0.5457616010889017,-0.4032213344087919,0.0
2018-10-23,-0.17517328292375553,-0.39652173913043476,-0.0,1.0,-0.5456332703213611,-0.40315059861373664,0.0
2018-10-24,-0.1737084476207252,-0.3931402400664335,-0.0,1.0,-0.5460378972797503,-0.40353305317194693,0.0
2018-10-25,-0.13904224226224676,-0.36858934325897424,-0.0,1.0,-0.5957632834553221,-0.394669131423147,0.0
