Date,IWF,IWM,MAG,MTUM,SPY,VLUE,VXX
2018-09-24,-0.8132997285769679,-1.8672612123562105,1.0,-0.0,-1.4486881220111156,-1.333139459738917,0.0
2018-09-25,-0.817729855371901,-1.8638300619834711,1.0,-0.0,-1.4462164256198349,-1.328770661157025,0.0
2018-09-26,-0.8172716703268311,-1.8640356543082288,1.0,-0.0,-1.4469706756233043,-1.3308358093269603,0.0
2018-09-27,-0.8184581554779459,-1.8678049411460353,1.0,-0.0,-1.448518949683094,-1.3326865864700554,0.0
2018-09-28,-0.8189872599107548,-1.8671667852292568,1.0,-0.0,-1.4482959322253122,-1.3326004009571235,0.0
2018-10-01,-0.8371187112108808,-1.9182622474580748,1.0,-0.0,-1.480720982437607,-1.3663013336854615,0.0
2018-10-02,-0.844191885820008,-1.8972512224131095,1.0,-0.0,-1.4902206951235628,-1.3759746266684287,0.0
2018-10-03,-0.8476102211041969,-1.9044750430292599,1.0,-0.0,-1.4915927446047927,-1.3762081292201773,0.0
2018-10-04,-0.8665822953440351,-1.900286418437354,1.0,-0.0,-1.5178178911609936,-1.3762072870179176,0.0
2018-10-05,-0.8252963900359664,-1.887904622352471,1.0,-0.0,-1.541960836552551,-1.405288397495671,0.0
2018-10-08,-0.8160196104412349,-1.8736584073141647,1.0,-0.0,-1.5384921160726117,-1.3969126805353123,0.0
2018-10-09,-0.809679572763685,-1.8881174899866489,1.0,-0.0,-1.557543391188251,-1.4201602136181577,0.0
2018-10-10,-0.8119755655501107,-1.9016580519567698,1.0,-0.0,-1.565550110760556,-1.4335101027052426,0.0
2018-10-11,-0.6268795741849634,-1.9461077844311379,1.0,-0.0,-1.5603459747172324,-1.5200266134397873,0.0
2018-10-12,-0.6965286319529862,-2.0296569632362993,1.0,-0.0,-1.582410824108241,-1.5248052480524805,0.0
2018-10-15,-0.6431918505942276,-2.064719864176571,1.0,-0.0,-1.5652971137521223,-1.517962648556876,0.0
2018-10-16,-0.6338491031083117,-2.110297138162399,1.0,-0.0,-1.575174585786663,-1.5271806107079284,0.0
2018-10-17,-0.5928864759518342,-2.07816523978562,1.0,-0.0,-1.6466903320108583,-1.6426533027075938,0.0
2018-10-18,-0.5916533128962587,-2.0767087020135166,1.0,-0.0,-1.6533825681042291,-1.6454399777050095,0.0
2018-10-19,-0.5414539936542971,-2.0449027452062354,1.0,-0.0,-1.6631259484066767,-1.6480204166091876,0.0
2018-10-22,-0.5439701100117622,-2.028852141423926,1.0,-0.0,-1.681242648585069,-1.6649138587144539,0.0
2018-10-23,-0.543305991936605,-2.038509662171556,1.0,-0.0,-1.693938551369387,-1.6755178645905744,0.0
2018-10-24,-0.536253985858866,-2.027242478857618,1.0,-0.0,-1.692153056980452,-1.676209621516706,0.0
2018-10-25,-0.41867236024844723,-1.8453674948240164,1.0,-0.0,-1.659484989648033,-1.5464544513457557,0.0
2018-10-26,-0.3744187569585435,-1.8649551378610258,1.0,-0.0,-1.739734101774838,-1.5701748641037396,0.0
2018-10-29,-0.31937783538561243,-1.8764095917044719,1.0,-0.0,-1.7102397926117954,-1.574854180168503,0.0
2018-10-30,-0.30871788233771275,-1.873988738592971,1.0,-0.0,-1.708238948935344,-1.581127435117468,0.0
2018-10-31,-0.3174653819156404,-1.8100312679471637,1.0,-0.0,-1.694084614893753,-1.5596324420904857,0.0
2018-11-01,-0.27670026795967845,-1.8453489855812173,1.0,-0.0,-1.6949087661094808,-1.5629705244353709,0.0
2018-11-02,-0.2800825980852262,-1.7698516988924347,1.0,-0.0,-1.678305487766723,-1.529190914210625,0.0
2018-11-05,-0.27195840120285675,-1.797769703044731,1.0,-0.0,-1.6830597669464977,-1.5120912166395186,0.0
2018-11-06,-0.29489853973070357,-1.8307731209305265,1.0,-0.0,-1.688033377583918,-1.5078070674505342,0.0
2018-11-07,-0.2944310541671953,-1.8411137891665608,1.0,-0.0,-1.6926297095014589,-1.5145883546873018,0.0
2018-11-08,-0.2210131332082552,-1.841025641025641,1.0,-0.0,-1.6659161976235148,-1.525891181988743,0.0
2018-11-09,-0.22084010501312662,-1.8397299662457807,1.0,-0.0,-1.6655206900862607,-1.524753094136767,0.0
2018-11-12,-0.21657820022219482,-1.799345759782743,1.0,-0.0,-1.6526971978768055,-1.5034563634119245,0.0
2018-11-13,-0.17594883243830325,-1.7630483316237255,1.0,-0.0,-1.624027031919387,-1.4708863814638267,0.0
2018-11-14,-0.17596903912438774,-1.7680957852089254,1.0,-0.0,-1.627864788051037,-1.475116405635847,0.0
2018-11-15,-0.2241011984021305,-1.9800266311584553,1.0,-0.0,-1.8556591211717712,-1.5980692410119839,0.0
2018-11-16,-0.2284081849588095,-1.9720302949774118,1.0,-0.0,-1.8484586765878288,-1.594671804411374,0.0
2018-11-19,-0.22510387347540547,-1.992561318858062,1.0,-0.0,-1.8711298753518297,-1.61271947460126,0.0
2018-11-20,-0.13342122610415294,-1.956690837178642,1.0,-0.0,-1.8631509558338826,-1.638694792353329,0.0
2018-11-21,-0.14304249108011677,-1.9325332468374958,1.0,-0.0,-1.8494972429451833,-1.5620499513460915,0.0
2018-11-23,-0.14450045237172032,-1.9119813881349363,1.0,-0.0,-1.8481969755719274,-1.5577743311360992,0.0
2018-11-26,-0.1714304929719551,-1.9682561033021724,1.0,-0.0,-1.9418252740601252,-1.6438899724258527,0.0
2018-11-27,-0.14369736666221092,-1.9784788129929154,1.0,-0.0,-1.9306910840796685,-1.630731185670365,0.0
2018-11-28,-0.14583611816602057,-1.9741344740008022,1.0,-0.0,-1.9318941318005611,-1.6317337254377757,0.0
2018-11-29,-0.06941814144844251,-1.9254228433357279,1.0,-0.0,-1.9060928622738849,-1.6294651603212957,0.0
2018-11-30,-0.06895651038265639,-1.9266031082669455,1.0,-0.0,-1.908906882591093,-1.6255060728744941,0.0
2018-12-03,-0.06529814271749755,-1.9243401759530792,1.0,-0.0,-1.905246008471815,-1.6218963831867057,0.0
