Date,ABR,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.289514649469061,-0.6411575026407961,-0.0,-0.46441874687274143,-0.38472229943848335,0.0
2018-09-25,1.0,-0.28726907406373836,-0.6458112407211029,-0.0,-0.467991293185243,-0.38954624100016744,0.0
2018-09-26,1.0,-0.28724116760618407,-0.6458391471786572,-0.0,-0.467991293185243,-0.3895183345426132,0.0
2018-09-27,1.0,-0.28591482074173896,-0.6575984727252309,-0.0,-0.4712091861085375,-0.3927959796737696,0.0
2018-09-28,1.0,-0.28727139927521983,-0.6571059358934742,-0.0,-0.4716408686125235,-0.39320729274938904,0.0
2018-10-01,1.0,-0.2869929912460945,-0.6605961662960566,-0.0,-0.4723731246657472,-0.39479832240267965,0.0
2018-10-02,1.0,-0.2865996225245781,-0.6650609876334544,-0.0,-0.47139356038198255,-0.3939265894813938,0.0
2018-10-03,1.0,-0.2859355202027312,-0.6583133887089961,-0.0,-0.47351823173307045,-0.39794453048007883,0.0
2018-10-04,1.0,-0.2867034451700068,-0.6566933123170458,-0.0,-0.4741893717631165,-0.39709524881783387,0.0
2018-10-05,1.0,-0.2775520497660212,-0.652030151035391,-0.0,-0.47471067895872443,-0.3978199344299045,0.0
2018-10-08,1.0,-0.2749769314654811,-0.6487431143919693,-0.0,-0.4760506668903616,-0.3964432514050834,0.0
2018-10-09,1.0,-0.26970919482265926,-0.6499131506695803,-0.0,-0.4797725107861266,-0.4021964475822267,0.0
2018-10-10,1.0,-0.27730666291026906,-0.6527679954923229,-0.0,-0.48758980138047614,-0.3996055782504578,0.0
2018-10-11,1.0,-0.22463570376030126,-0.6396605359384381,-0.0,-0.46542596736342295,-0.3991158653058997,0.0
2018-10-12,1.0,-0.22698891161588974,-0.6326569060178706,-0.0,-0.4505059748089138,-0.3812035741199268,0.0
2018-10-15,1.0,-0.21577153286630701,-0.6410607402635746,-0.0,-0.4473790160238344,-0.37987492283329305,0.0
2018-10-16,1.0,-0.21272883448757182,-0.6460514307188491,-0.0,-0.4465023890052075,-0.3789928598271327,0.0
2018-10-17,1.0,-0.19865310973194242,-0.6187508253004094,-0.0,-0.4413046348870989,-0.3822527399973591,0.0
2018-10-18,1.0,-0.19815157116451015,-0.6178505413255876,-0.0,-0.44230261420649597,-0.3823343015579615,0.0
