Date,GLIF,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-01-21,1.0,-0.05162303098103607,-0.007921185110337237,-0.4578408906371232,-0.28700312156041935,-0.0,0.0
2020-01-22,1.0,-0.051753072161971954,-0.008842052077882237,-0.45632206723568575,-0.2876012775863002,-0.0,0.0
2020-01-23,1.0,-0.052016027145074535,-0.009006244811031296,-0.45538389344114355,-0.2884525141681406,-0.0,0.0
2020-01-24,1.0,-0.05259162871394491,-0.008150798814429263,-0.45684233355020604,-0.2896877033181522,-0.0,0.0
2020-01-27,1.0,-0.04773669972948603,-0.0056266907123534715,-0.46082957619477005,-0.28923354373309285,-0.0,0.0
2020-01-28,1.0,-0.048778726553896694,-0.004152149188525626,-0.45960680952466915,-0.2927265177910566,-0.0,0.0
2020-01-29,1.0,-0.04893993570989995,-0.0037201574746270815,-0.45974645140318554,-0.29347708310759557,-0.0,0.0
2020-01-30,1.0,-0.04808004912762345,-0.004226420546906043,-0.4604089152187263,-0.29344724198966876,-0.0,0.0
2020-01-31,1.0,-0.050038824782852084,-0.004785380212001373,-0.4581504956931578,-0.2928472109359482,-0.0,0.0
2020-02-03,1.0,-0.05111798116327558,-0.0019411891580990727,-0.4555144151268963,-0.2888237831619815,-0.0,0.0
2020-02-04,1.0,-0.04902753084424331,-0.0008440637178312949,-0.45507605552861735,-0.29095055941669806,-0.0,0.0
2020-02-05,1.0,-0.04047060508926813,-0.000859552674462332,-0.45910857224719304,-0.290296008452268,-0.0,0.0
2020-02-06,1.0,-0.03863453095600752,-0.0022757817399874565,-0.4569483021234656,-0.2940955111549144,-0.0,0.0
2020-02-07,1.0,-0.03600358422939068,-0.00539426523297491,-0.4567562724014336,-0.2939605734767025,-0.0,0.0
2020-02-10,1.0,-0.035776317438716496,-0.003187279531577345,-0.4571418339391552,-0.2944831414400057,-0.0,0.0
2020-02-11,1.0,-0.03310618661801792,-0.0043461930568224495,-0.455044624492497,-0.2960598093398437,-0.0,0.0
