Date,IWF,IWM,LXFR,MTUM,SPY,VLUE,VXX
2018-09-24,-0.7260744350908285,-1.5156734603455917,1.0,-0.011962782454585734,-1.1510301284891449,-1.133639787328312,0.0
2018-09-25,-0.7259263368094075,-1.5192478366984692,1.0,-0.010206345684490793,-1.1540936321278012,-1.1374528511204793,0.0
2018-09-26,-0.7262619524127196,-1.5214587502779628,1.0,-0.006281965754947742,-1.1586057371581053,-1.146597731821214,0.0
2018-09-27,-0.7322550163970875,-1.5085876271469068,1.0,-0.010449669279083987,-1.1599132899783227,-1.1471291201156135,0.0
2018-09-28,-0.7290329780704201,-1.5212320741030074,1.0,-0.012555102951844204,-1.164946152558451,-1.152335249149043,0.0
2018-10-01,-0.7292003794431113,-1.5207856704424976,1.0,-0.013057307069917973,-1.1648345516433234,-1.1522236482339154,0.0
2018-10-02,-0.7294990516568113,-1.5160660493138458,1.0,-0.015508200379337275,-1.164844360147272,-1.1525158986946336,0.0
2018-10-03,-0.7302411252511721,-1.5184751060504575,1.0,-0.016856441169903997,-1.1644898414824738,-1.151596338468408,0.0
2018-10-04,-0.7304537083542609,-1.51721636252023,1.0,-0.017913946090741675,-1.1641832691556449,-1.1509012779731012,0.0
2018-10-05,-0.7074010327022375,-1.5055799233801568,1.0,-0.0,-1.1743934262395204,-1.1647881849980568,0.0
2018-10-08,-0.7014850936495622,-1.4987254793305993,1.0,-0.0,-1.1785437216003547,-1.1626399202039233,0.0
2018-10-09,-0.7079331593848887,-1.502914561705435,1.0,-0.0,-1.1794814855937379,-1.1611613834452894,0.0
2018-10-10,-0.7091332815447786,-1.5014426811674622,1.0,-0.0,-1.1800022195094884,-1.1581955387859284,0.0
2018-10-11,-0.5784653069918526,-1.4671707758666594,1.0,-0.0,-1.1231162468715052,-1.1563981042654028,0.0
2018-10-12,-0.5866498872633842,-1.454145036967123,1.0,-0.0,-1.0869907188925596,-1.1158303182843061,0.0
2018-10-15,-0.5362021857923498,-1.512767969735183,1.0,-0.0,-1.0822299285414039,-1.1230559058427911,0.0
2018-10-16,-0.525845665961945,-1.5468816067653275,1.0,-0.0,-1.08615221987315,-1.1265327695560252,0.0
2018-10-17,-0.4868054839707247,-1.4751056592103908,1.0,-0.0,-1.0659210390681373,-1.1263271827646635,0.0
2018-10-18,-0.48598371637637844,-1.4737709986602079,1.0,-0.0,-1.0669895908481912,-1.1263011439760897,0.0
2018-10-19,-0.4560436756977397,-1.4535945711515892,1.0,-0.0,-1.0680136741670494,-1.1246492167967754,0.0
