Date,CCI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3267802289863167,-0.5132086009494555,-0.0,-0.530605975984362,-0.4219212510471936,0.0
2018-09-25,1.0,-0.3250853719979846,-0.5161507025695572,-0.0,-0.5328052398813189,-0.4250125958685551,0.0
2018-09-26,1.0,-0.32441967910844793,-0.515862571052558,-0.0,-0.5331391930109485,-0.4266793604569764,0.0
2018-09-27,1.0,-0.3240963855421687,-0.5174558699915943,-0.0,-0.533370692070608,-0.4269823479966377,0.0
2018-09-28,1.0,-0.3241705895539117,-0.5175128894866622,-0.0,-0.5333165209594262,-0.42706231786594934,0.0
2018-10-01,1.0,-0.3250360240725567,-0.5292854519255219,-0.0,-0.5378747209900263,-0.43316475009182603,0.0
2018-10-02,1.0,-0.32436561147415766,-0.5362527935726612,-0.0,-0.5365073976633002,-0.43183682706724374,0.0
2018-10-03,1.0,-0.32544697248746207,-0.5411271356926303,-0.0,-0.5362536480321877,-0.4305669679539852,0.0
2018-10-04,1.0,-0.32826351714957375,-0.5365508256153171,-0.0,-0.5397230011045968,-0.4277905231257258,0.0
2018-10-05,1.0,-0.3162862778247394,-0.5282333051563821,-0.0,-0.5423499577345732,-0.43082558467173854,0.0
2018-10-08,1.0,-0.31330894766460327,-0.524732695554305,-0.0,-0.5456387169386607,-0.4300225098480585,0.0
2018-10-09,1.0,-0.30712107522023946,-0.5271063925909194,-0.0,-0.5512197876665914,-0.4381353060763497,0.0
2018-10-10,1.0,-0.310174328257,-0.5264600344700929,-0.0,-0.553612296216766,-0.4351425423106264,0.0
2018-10-11,1.0,-0.2646511118413846,-0.5080786504545952,-0.0,-0.5339303319093001,-0.4318654836236171,0.0
2018-10-12,1.0,-0.26156404175866116,-0.5052743478616404,-0.0,-0.5318232616458146,-0.42709951754027314,0.0
2018-10-15,1.0,-0.23854484109708313,-0.5268012625163256,-0.0,-0.5279440574662604,-0.4276501959077057,0.0
2018-10-16,1.0,-0.23404487039860597,-0.5349597037682422,-0.0,-0.5270093661511653,-0.4267044216946199,0.0
2018-10-17,1.0,-0.21955596025603255,-0.5065748948820269,-0.0,-0.5218939982324111,-0.430113286376175,0.0
2018-10-18,1.0,-0.2192261346900522,-0.505984736912572,-0.0,-0.5224260275806667,-0.4300977373142322,0.0
2018-10-19,1.0,-0.20594327597195664,-0.49458253664754614,-0.0,-0.5255736137667304,-0.4295198640322923,0.0
2018-10-22,1.0,-0.20582534583012507,-0.4883572737169105,-0.0,-0.5285293258635796,-0.43238722353503434,0.0
2018-10-23,1.0,-0.20386026479502314,-0.48936566172169943,-0.0,-0.5311851970011167,-0.43417344605731917,0.0
2018-10-24,1.0,-0.2024489362267258,-0.48511248638742066,-0.0,-0.5323381763127838,-0.43621344524422956,0.0
2018-10-25,1.0,-0.17110393802453197,-0.44707553260167854,-0.0,-0.5510652033570046,-0.41306649451258876,0.0
