Date,GMHI,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-11-21,1.0,-0.0,-0.0,-0.18880106196826163,-0.23910879140771138,-0.0805677909853376,0.0
2019-11-22,1.0,-0.0,-0.0,-0.18730115649643403,-0.23950181692073402,-0.08099998492181963,0.0
2019-11-25,1.0,-0.0,-0.0,-0.1894989580501948,-0.24123403098668117,-0.07933919241339736,0.0
2019-11-26,1.0,-0.0,-0.0,-0.18891049703767357,-0.24108663862632476,-0.07756320383519516,0.0
2019-11-27,1.0,-0.0,-0.0,-0.18600373876861848,-0.24102997045166735,-0.08053428209612254,0.0
2019-11-29,1.0,-0.0,-0.0,-0.18615658255705284,-0.2404359229447409,-0.08074824394802689,0.0
2019-12-02,1.0,-0.0,-0.0,-0.18528778548952893,-0.24057150599960855,-0.07967359720570302,0.0
2019-12-03,1.0,-0.0,-0.0,-0.17946605141727093,-0.23955773955773954,-0.07913345718223767,0.0
2019-12-04,1.0,-0.0,-0.0,-0.18025462478706553,-0.23818774095215323,-0.07583455365948417,0.0
2019-12-05,1.0,-0.0,-0.0,-0.18030070024038103,-0.23752930110336387,-0.07521985159084463,0.0
2019-12-06,1.0,-0.0,-0.0,-0.18139402730630616,-0.2380553603206173,-0.07595220648711698,0.0
2019-12-09,1.0,-0.0,-0.0,-0.18164690401782377,-0.23771999342075753,-0.07593043946349268,0.0
2019-12-10,1.0,-0.0,-0.0,-0.18010596224162376,-0.23756436086859187,-0.07477053951197671,0.0
2019-12-11,1.0,-0.0,-0.0,-0.18000298462915984,-0.23753171168482315,-0.07477988359946276,0.0
2019-12-12,1.0,-0.0,-0.0,-0.18014804644360208,-0.23747127122944217,-0.07476942363370444,0.0
2019-12-13,1.0,-0.0,-0.0,-0.1829402820428729,-0.23624817387674787,-0.0715393100980889,0.0
2019-12-16,1.0,-0.0,-0.0,-0.18287137127435923,-0.2361150456992053,-0.07201538713861844,0.0
2019-12-17,1.0,-0.0,-0.0,-0.1829775188832442,-0.23599958285535508,-0.07081030347272918,0.0
2019-12-18,1.0,-0.0,-0.0,-0.18294917830057958,-0.23609517707883246,-0.070906029768911,0.0
2019-12-19,1.0,-0.0,-0.0,-0.18285561051188845,-0.23608545378702106,-0.07083904415708242,0.0
2019-12-20,1.0,-0.0,-0.0,-0.1819413832132007,-0.23629892178471437,-0.07100732709834992,0.0
2019-12-23,1.0,-0.0,-0.0,-0.18010832688530445,-0.23860186893637284,-0.06928159038152491,0.0
2019-12-24,1.0,-0.0,-0.0,-0.1797283021113872,-0.2389780826402012,-0.06923385956819975,0.0
2019-12-26,1.0,-0.0,-0.0,-0.17982678055894522,-0.23898032679544035,-0.06933242060775618,0.0
2019-12-27,1.0,-0.0,-0.0,-0.180268110874708,-0.23758015800984958,-0.07001830057579861,0.0
2019-12-30,1.0,-0.0,-0.0,-0.1799402132690849,-0.2376002022635673,-0.06969169678311693,0.0
2019-12-31,1.0,-0.0,-0.0,-0.17874690139381613,-0.23678546512490908,-0.06882987724324244,0.0
2020-01-02,1.0,-0.0,-0.0,-0.17877393498589877,-0.23685616743357576,-0.06871010835683539,0.0
2020-01-03,1.0,-0.0,-0.0,-0.1808717317474677,-0.23236292989663204,-0.06980675970279851,0.0
2020-01-06,1.0,-0.0,-0.0,-0.18771558424254983,-0.22696116892922175,-0.0656264341441028,0.0
2020-01-07,1.0,-0.0,-0.0018478228474354008,-0.18807558191517895,-0.2414985247220815,-0.058757786189014394,0.0
2020-01-08,1.0,-0.0,-0.0014304020025628038,-0.1881574634204488,-0.24072473701463185,-0.05970438358613703,0.0
