Date,FIS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2772458797751739,-0.38970658283319043,-0.19281699533199964,-0.3216395160522054,-0.20024768981613797,0.0
2018-09-25,1.0,-0.2767199675904964,-0.39065367109119936,-0.1917165121654791,-0.3224983914400782,-0.20146319376593666,0.0
2018-09-26,1.0,-0.27655568531185204,-0.3905240830334374,-0.19118663457184393,-0.32271979789794797,-0.20226888152720512,0.0
2018-09-27,1.0,-0.2771928152841965,-0.38848920863309355,-0.19174329410643673,-0.32262137310019534,-0.20215350898089476,0.0
2018-09-28,1.0,-0.2746524217203634,-0.3918632103593828,-0.19211599456275488,-0.32315837168816924,-0.20299048482102403,0.0
2018-10-01,1.0,-0.27454207212364057,-0.39210074413279905,-0.19218660560961648,-0.32310150734592635,-0.20313394390383513,0.0
2018-10-02,1.0,-0.27456106687134224,-0.41576321596469346,-0.1854072723783939,-0.32171639643096994,-0.20109373500911445,0.0
2018-10-03,1.0,-0.274301474997002,-0.4092577047607627,-0.18429068233601154,-0.3245712915217652,-0.20589998800815446,0.0
2018-10-04,1.0,-0.2746522781774581,-0.40846522781774586,-0.1844124700239808,-0.32498800959232615,-0.2055635491606715,0.0
2018-10-05,1.0,-0.26782301223241595,-0.4037652905198777,-0.17866016819571867,-0.3292717889908257,-0.20962347094801223,0.0
2018-10-08,1.0,-0.2667605768312482,-0.40187183650081176,-0.17515041543310095,-0.33375513322509787,-0.21000859516760575,0.0
2018-10-09,1.0,-0.2681109226837366,-0.4020827859650799,-0.1779444431174911,-0.33250531444813336,-0.20789643394558963,0.0
2018-10-10,1.0,-0.269374985073201,-0.4009696448615987,-0.17943206515249216,-0.3332378018198753,-0.2052494566645172,0.0
2018-10-11,1.0,-0.2686663172440082,-0.4019631200266832,-0.17732405775003574,-0.333563634630962,-0.20091008719683615,0.0
2018-10-12,1.0,-0.27100130039011705,-0.3985577491429247,-0.1774914292469559,-0.3267762146825866,-0.19054261733065372,0.0
2018-10-15,1.0,-0.2670869041716835,-0.4044431853058526,-0.17229737705692094,-0.3266048114833439,-0.19045258162759404,0.0
2018-10-16,1.0,-0.26855374146445193,-0.4003260638423552,-0.17579094109585802,-0.32698532712709405,-0.19112539281241878,0.0
2018-10-17,1.0,-0.26871632479440405,-0.40093581623972024,-0.1757254939030154,-0.3271103128840155,-0.19068437470460348,0.0
2018-10-18,1.0,-0.2682292897311091,-0.4001464959122915,-0.17612589197107886,-0.32772553281981004,-0.19061008458957518,0.0
2018-10-19,1.0,-0.2630132481443202,-0.39420276237902846,-0.1724137931034483,-0.3301230855961665,-0.18920886967960163,0.0
2018-10-22,1.0,-0.2638872577803876,-0.3917557251908397,-0.16986494421608925,-0.3321197886083382,-0.1911450381679389,0.0
2018-10-23,1.0,-0.26459399802752076,-0.39141971539942705,-0.17162917390691776,-0.3304372328934392,-0.19013290752829567,0.0
2018-10-24,1.0,-0.26464997301166365,-0.3910492595808594,-0.17080096688648472,-0.3306423224050128,-0.18966933420947643,0.0
2018-10-25,1.0,-0.25260974766678185,-0.3725544417559627,-0.17052655835925798,-0.3334255098513654,-0.17529669316741558,0.0
