Date,BOH,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.0995164709525284,-0.552699902341424,-0.07453016697234595,-0.2987399661767859,-0.35642998356477623,0.0
2018-09-25,1.0,-0.09952121197684666,-0.5527262332960148,-0.07446225673518973,-0.2988018389271337,-0.3565184250017865,0.0
2018-09-26,1.0,-0.09915405695222208,-0.5525557011795543,-0.0732753485047063,-0.2994161801501251,-0.35853687596806866,0.0
2018-09-27,1.0,-0.09843421806377697,-0.556687989306855,-0.07232194004200879,-0.30014798548787475,-0.35927057475653995,0.0
2018-09-28,1.0,-0.09577774589967962,-0.5608712284225122,-0.07280160665614689,-0.3011045761009898,-0.3603261129441018,0.0
2018-10-01,1.0,-0.09574366331898612,-0.5610712577714012,-0.07295552367288378,-0.30105212816834054,-0.3603778096604496,0.0
2018-10-02,1.0,-0.0959067964881223,-0.5635750340900936,-0.07234276691945168,-0.30063874069998325,-0.3598000047845746,0.0
2018-10-03,1.0,-0.09578030810448761,-0.5568845086594584,-0.07126112333747966,-0.30358338914936367,-0.3646301789302459,0.0
2018-10-04,1.0,-0.09425576114788153,-0.5729745398328421,-0.07019662785641818,-0.30250253635441327,-0.37564616648147253,0.0
2018-10-05,1.0,-0.08442433577204467,-0.5694792067770504,-0.0627647285329226,-0.307205429341548,-0.38277339237581826,0.0
2018-10-08,1.0,-0.0831470934563718,-0.5677312378343305,-0.06060606060606061,-0.3091101338524019,-0.38250066085117634,0.0
2018-10-09,1.0,-0.08045034836905421,-0.5711805974107379,-0.05072446298126763,-0.316569830516647,-0.3919332674365341,0.0
2018-10-10,1.0,-0.08170202507232402,-0.5701542912246865,-0.05229026036644166,-0.3174059787849566,-0.3892478302796528,0.0
2018-10-11,1.0,-0.05154031230834553,-0.5733594376562722,-0.019153653818936644,-0.3117894041609662,-0.4029815539934896,0.0
2018-10-12,1.0,-0.047576512622819804,-0.5754078322598843,-0.01612524093836679,-0.30952940623383945,-0.4019557143528748,0.0
2018-10-15,1.0,-0.018629423600426086,-0.6229612971949343,-0.0,-0.3129364421825068,-0.4126168777370103,0.0
2018-10-16,1.0,-0.01734952306563469,-0.6249615375511847,-0.0,-0.31248076877559233,-0.4121280977064546,0.0
2018-10-17,1.0,-0.002689303587297133,-0.6007904214021795,-0.0,-0.31256723258968244,-0.42250128618867216,0.0
2018-10-18,1.0,-0.0018948254889117617,-0.5993496771778796,-0.0,-0.31496210349022175,-0.42310751380181527,0.0
2018-10-19,1.0,-0.0,-0.5948191593352884,-0.0,-0.31138574686961784,-0.42121677605548574,0.0
2018-10-22,1.0,-0.0,-0.5945021181509241,-0.0,-0.3117871607467064,-0.42134909920394764,0.0
2018-10-23,1.0,-0.0,-0.5959022521259696,-0.0,-0.31606859172039997,-0.4242360527053547,0.0
2018-10-24,1.0,-0.0,-0.5934626690182245,-0.0,-0.3232451499118166,-0.43482657260435037,0.0
2018-10-25,1.0,-0.0,-0.5706940281300439,-0.0,-0.31775420797786486,-0.41729305971869957,0.0
2018-10-26,1.0,-0.0,-0.5764858720363755,-0.0,-0.32097619820906603,-0.4224237925114833,0.0
2018-10-29,1.0,-0.0,-0.5787442516118596,-0.0,-0.3098930048760197,-0.42227254870242414,0.0
2018-10-30,1.0,-0.0,-0.5774860244485166,-0.0,-0.30616316021433043,-0.4359212266010995,0.0
2018-10-31,1.0,-0.0,-0.5664713211203912,-0.0,-0.3065617645701628,-0.43419777582944946,0.0
2018-11-01,1.0,-0.0,-0.5694889467739334,-0.0,-0.303404716350476,-0.4322629722689657,0.0
2018-11-02,1.0,-0.0,-0.5548517396493161,-0.0,-0.30964839805379607,-0.4305517304691086,0.0
2018-11-05,1.0,-0.0,-0.5625172128890114,-0.0,-0.30935004131093363,-0.423161663453594,0.0
2018-11-06,1.0,-0.0,-0.5630851845052323,-0.0,-0.30920690288232056,-0.42254910960161557,0.0
2018-11-07,1.0,-0.0,-0.5630751577739529,-0.0,-0.3092598967297762,-0.42255880665519213,0.0
2018-11-08,1.0,-0.0,-0.5614779336298323,-0.0,-0.2957463792906831,-0.42353746151214505,0.0
2018-11-09,1.0,-0.0,-0.5614607331037157,-0.0,-0.29588741132729635,-0.4236217239570265,0.0
2018-11-12,1.0,-0.0,-0.5489866017606515,-0.0,-0.30308682696026024,-0.42267009394690747,0.0
2018-11-13,1.0,-0.0,-0.5449204627621114,-0.0,-0.2966151482284888,-0.4180676066522053,0.0
2018-11-14,1.0,-0.0,-0.5445998779633439,-0.0,-0.2972948541209971,-0.41804334561233025,0.0
2018-11-15,1.0,-0.0,-0.5447806730095596,-0.0,-0.2968202671246808,-0.4183371375624308,0.0
2018-11-16,1.0,-0.0,-0.5406673735983575,-0.0,-0.29573810437019155,-0.4197820544638224,0.0
2018-11-19,1.0,-0.0,-0.5405856607859947,-0.0,-0.29565040833822137,-0.4197987637052746,0.0
2018-11-20,1.0,-0.0,-0.52993870815653,-0.0,-0.28742057879257316,-0.4277631844817135,0.0
2018-11-21,1.0,-0.0,-0.528995883300519,-0.0,-0.28530517272239125,-0.42303561839985676,0.0
2018-11-23,1.0,-0.0,-0.5325463668130096,-0.0,-0.284405519218708,-0.42301317086282586,0.0
2018-11-26,1.0,-0.0,-0.5377806659794738,-0.0,-0.2823017971586071,-0.4207636803657061,0.0
