Date,IWF,IWM,MTUM,PCRX,SPY,VLUE,VXX
2018-09-24,-1.173070355191257,-2.524504781420765,-0.2798838797814207,1.0,-1.8133538251366121,-1.7473531420765027,0.0
2018-09-25,-1.1761945392491469,-2.519709897610922,-0.2859215017064846,1.0,-1.8093003412969282,-1.7412116040955632,0.0
2018-09-26,-1.179783950617284,-2.5301783264746227,-0.27889231824417016,1.0,-1.8223593964334706,-1.762088477366255,0.0
2018-09-27,-1.1875214261227287,-2.512255742200891,-0.28453890983887553,1.0,-1.8237058621871787,-1.7624271511827219,0.0
2018-09-28,-1.183783783783784,-2.5195195195195197,-0.28657228657228656,1.0,-1.8254826254826255,-1.7647361647361648,0.0
2018-10-01,-1.1837610505536005,-2.5205561754355847,-0.287786456098189,1.0,-1.8255085400394815,-1.7652562011844475,0.0
2018-10-02,-1.184771399106222,-2.5334307322103813,-0.28643863870745956,1.0,-1.8249398418700584,-1.7645238913716053,0.0
2018-10-03,-1.1828169255857865,-2.519011243670071,-0.28495408119474724,1.0,-1.8266243240923525,-1.7695476783108746,0.0
2018-10-04,-1.1886792452830188,-2.505746140651801,-0.28696397941680957,1.0,-1.83336192109777,-1.7616638078902231,0.0
2018-10-05,-1.1607522764020082,-2.491022040677389,-0.25538252063654154,1.0,-1.8360139562590416,-1.7666581567526167,0.0
2018-10-08,-1.1553158967391304,-2.4827615489130435,-0.24431046195652173,1.0,-1.8440896739130435,-1.7652853260869565,0.0
2018-10-09,-1.153689394582661,-2.483654580962894,-0.24004415385921712,1.0,-1.845970960346438,-1.7677676827715036,0.0
2018-10-10,-1.1798882681564247,-2.506832831972497,-0.2540610227761066,1.0,-1.877868500214869,-1.7761065749892566,0.0
2018-10-11,-1.0314217737304128,-2.485027483796866,-0.060792517843957665,1.0,-1.8275494298137667,-1.7993272622856673,0.0
2018-10-12,-1.033550044144795,-2.4543703346978085,-0.039730315434625574,1.0,-1.7676378521550686,-1.7310378039971104,0.0
