Date,AMOM,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-01-17,1.0,-0.2925284837861525,-0.040249780893952675,-0.6291191936897459,-0.22916301489921123,-0.0,0.0
2020-01-21,1.0,-0.2924745317121262,-0.04123124109979187,-0.6282396757585715,-0.22885310548800525,-0.0,0.0
2020-01-22,1.0,-0.2928507263206328,-0.04237418110909051,-0.6264104642755417,-0.22937709515567145,-0.0,0.0
2020-01-23,1.0,-0.29267544532328393,-0.042308450735084685,-0.6269143971429197,-0.22913608378431677,-0.0,0.0
2020-01-24,1.0,-0.2925477134780989,-0.04272848784977102,-0.6266625764182572,-0.2292657273703355,-0.0,0.0
2020-01-27,1.0,-0.29190302021507264,-0.04180993889485096,-0.6289450053658643,-0.22746884513458462,-0.0,0.0
2020-01-28,1.0,-0.28584538740549753,-0.043766114582878116,-0.6351221430756456,-0.22027269151772055,-0.0,0.0
2020-01-29,1.0,-0.28447899379858504,-0.043890296095728885,-0.6360599178967595,-0.21916761289195563,-0.0,0.0
2020-01-30,1.0,-0.27977972509342014,-0.046502480277965955,-0.6397368938615852,-0.21924783112257162,-0.0,0.0
2020-01-31,1.0,-0.2768093436276547,-0.04597449749568032,-0.6435773495767809,-0.2208175674197852,-0.0,0.0
2020-02-03,1.0,-0.27757774140752867,-0.044429896344789964,-0.6418767048554282,-0.21833060556464812,-0.0,0.0
2020-02-04,1.0,-0.2760801762306702,-0.04362145303060045,-0.6415843311740713,-0.21978669109468035,-0.0,0.0
2020-02-05,1.0,-0.27407859462522616,-0.04356923345175563,-0.6426407445347747,-0.21928467121466402,-0.0,0.0
2020-02-06,1.0,-0.2741063644289451,-0.04357018308631212,-0.6426329555361814,-0.21928945074106365,-0.0,0.0
2020-02-07,1.0,-0.27432046559278067,-0.04352943740872333,-0.6424134097696013,-0.21947816988905117,-0.0,0.0
2020-02-10,1.0,-0.2739102005231038,-0.04357018308631212,-0.6431996512641673,-0.21891891891891893,-0.0,0.0
2020-02-11,1.0,-0.27168989547038325,-0.044403310104529616,-0.6413763066202091,-0.2202308362369338,-0.0,0.0
2020-02-12,1.0,-0.27107200418173105,-0.04538920590669513,-0.6413730016988283,-0.22015071655704144,-0.0,0.0
