Date,IWF,IWM,MTUM,NPO,SPY,VLUE,VXX
2018-09-24,-0.30564007421150274,-0.9888682745825603,-0.0,1.0,-0.6823747680890538,-0.7337291280148422,0.0
2018-09-25,-0.3039988107625985,-0.9914151925078044,-0.0,1.0,-0.6843689609038205,-0.7365839155641445,0.0
2018-09-26,-0.30541926851025875,-0.9927891763306571,-0.0,1.0,-0.6844335414808207,-0.7343146000594708,0.0
2018-09-27,-0.3076094626211609,-0.9875589556950273,-0.0,1.0,-0.6844802614476176,-0.7340958888847625,0.0
2018-09-28,-0.3064839572192513,-0.9886734997029115,-0.0,1.0,-0.6843805704099821,-0.7341057635175281,0.0
2018-10-01,-0.3083612040133779,-0.9875139353400222,-0.0,1.0,-0.6858045336306205,-0.734410999628391,0.0
2018-10-02,-0.3072046539379475,-1.0075328162291168,-0.0,1.0,-0.6831369331742243,-0.7312425417661097,0.0
2018-10-03,-0.30683090705487115,-0.994923478910041,-0.0,1.0,-0.6895483389324374,-0.7414706980216499,0.0
2018-10-04,-0.3062927599428614,-1.011051800616495,-0.0,1.0,-0.6891587098714382,-0.7526125855198857,0.0
2018-10-05,-0.2831652734565356,-1.0022116429883419,-0.0,1.0,-0.6976046781872024,-0.7656033287101248,0.0
2018-10-08,-0.27920302610389125,-0.9983895734242162,-0.0,1.0,-0.7024456012883412,-0.7651773341822402,0.0
2018-10-09,-0.27545515846257584,-0.9984266127219599,-0.0,1.0,-0.704090806922904,-0.7682250693039634,0.0
2018-10-10,-0.27447526236881564,-0.999737631184408,-0.0,1.0,-0.704160419790105,-0.769752623688156,0.0
2018-10-11,-0.21919110656037447,-0.9879324215607402,-0.0,1.0,-0.680940539749872,-0.7687778834198786,0.0
2018-10-12,-0.2122785361603253,-0.98605866976474,-0.0,1.0,-0.6718341562590763,-0.7603833865814695,0.0
2018-10-15,-0.18257938234014787,-1.0140640858344208,-0.0,1.0,-0.6663404378715383,-0.7617804842685225,0.0
2018-10-16,-0.18055303881419202,-1.0171057876997789,-0.0,1.0,-0.6655311129634327,-0.7609538651107164,0.0
2018-10-17,-0.1626727616870826,-0.9856076568693976,-0.0,1.0,-0.6587264740544981,-0.7643298453626657,0.0
2018-10-18,-0.1636038612799428,-0.9888451912763675,-0.0,1.0,-0.657776188773686,-0.7650697175545227,0.0
2018-10-19,-0.14836394642413045,-0.9827335062351228,-0.0,1.0,-0.6570860127189398,-0.7645930294525172,0.0
2018-10-22,-0.1487623850278774,-0.9776270464150004,-0.0,1.0,-0.6588657267658653,-0.766007315600696,0.0
2018-10-23,-0.14990768356767506,-0.9775244993608863,-0.0,1.0,-0.6577900866354212,-0.7654097429342424,0.0
2018-10-24,-0.15511443757457427,-1.010485591351195,-0.0,1.0,-0.6736450084969448,-0.7765122753733232,0.0
2018-10-25,-0.12212613372706181,-0.9707164451944034,-0.0,1.0,-0.6738381494762005,-0.7487520213738312,0.0
2018-10-26,-0.1062874251497006,-0.957457178665924,-0.0,1.0,-0.678039270296616,-0.7396602144548113,0.0
2018-10-29,-0.08569844405170322,-0.9659008212911945,-0.0,1.0,-0.6691270748865094,-0.7446026960529508,0.0
2018-10-30,-0.09277957045210089,-0.9669685298913986,-0.0,1.0,-0.6699628742930502,-0.7400159605842961,0.0
2018-10-31,-0.09314660103303637,-0.9649530280445107,-0.0,1.0,-0.6692897008354421,-0.7392103164973828,0.0
2018-11-01,-0.10994107186443043,-0.9582970117507585,-0.0,1.0,-0.6751630112625964,-0.743505701035601,0.0
2018-11-02,-0.11608525702485435,-1.0671509698355337,-0.0,1.0,-0.7070580426285125,-0.7972933107161296,0.0
2018-11-05,-0.10583274247117215,-1.1228495727133634,-0.0,1.0,-0.7255662947344852,-0.777512408105385,0.0
2018-11-06,-0.11452691345112248,-1.1306264241156476,-0.0,1.0,-0.7209293638638826,-0.7693026035635575,0.0
2018-11-07,-0.11655912364945978,-1.1344912965186074,-0.0,1.0,-0.7270408163265306,-0.7734468787515005,0.0
2018-11-08,-0.09022248679217203,-1.1355755636580103,-0.0,1.0,-0.7171664558374878,-0.7775876181263486,0.0
2018-11-09,-0.09032402068375432,-1.1351884230497378,-0.0,1.0,-0.7172724229009338,-0.7773148320374986,0.0
2018-11-12,-0.08920536942698844,-1.1346818874800133,-0.0,1.0,-0.717472948350872,-0.777079537426096,0.0
2018-11-13,-0.060743527329055094,-1.1345061591797596,-0.0,1.0,-0.7186324408054879,-0.7742125839049937,0.0
2018-11-14,-0.06200206550604897,-1.1337046326349953,-0.0,1.0,-0.718906757155503,-0.7737902035998819,0.0
2018-11-15,-0.06046185627858934,-1.1347941567065074,-0.0,1.0,-0.7191603954552163,-0.774531503615169,0.0
2018-11-16,-0.05674333026678933,-1.1247102115915364,-0.0,1.0,-0.7180864765409384,-0.7803127874885004,0.0
2018-11-19,-0.05407396493296007,-1.1267865036098423,-0.0,1.0,-0.7207529099749521,-0.7818992190953292,0.0
2018-11-20,-0.030988704708816196,-1.1242482030218572,-0.0,1.0,-0.7213950418072467,-0.7906703828663636,0.0
2018-11-21,-0.03506729719898145,-1.1201891596944344,-0.0,1.0,-0.7188795925791197,-0.7635503819570754,0.0
2018-11-23,-0.036929339924396634,-1.105481244547834,-0.0,1.0,-0.7263739459145101,-0.765993021227101,0.0
2018-11-26,-0.03662923798103129,-1.106253860968785,-0.0,1.0,-0.7256804389694392,-0.7652894363894037,0.0
2018-11-27,-0.028948796815632352,-1.1079428261262891,-0.0,1.0,-0.7209335986973041,-0.7607381943187986,0.0
2018-11-28,-0.030324962003329237,-1.1043280017369907,-0.0,1.0,-0.7224433668669032,-0.7616342187160744,0.0
2018-11-29,-0.017347891674448675,-1.0949644422096114,-0.0,1.0,-0.7178722792902809,-0.7615113856763163,0.0
2018-11-30,-0.016455286889663346,-1.095570006826429,-0.0,1.0,-0.7179606941400496,-0.7628354830596773,0.0
2018-12-03,-0.01788155717061236,-1.0964236885658776,-0.0,1.0,-0.7193638914873713,-0.764229689861121,0.0
2018-12-04,-0.008327948883624094,-1.1020532701557901,-0.0,1.0,-0.7160241223346975,-0.7632277981190323,0.0
2018-12-06,-0.0,-1.073117368903945,-0.0,1.0,-0.7096125344060977,-0.7460653539417037,0.0
2018-12-07,-0.0,-1.073402265589159,-0.0,1.0,-0.7093552599075413,-0.7461622613544129,0.0
2018-12-10,-0.0,-1.0751014411641249,-0.0,1.0,-0.6997341541905694,-0.7231355813628095,0.0
2018-12-11,-0.0,-1.0751443064544342,-0.0,1.0,-0.6988630400559734,-0.7243659261850621,0.0
2018-12-12,-0.0,-1.075867380877359,-0.0,1.0,-0.6983160032209502,-0.7268494205790708,0.0
2018-12-13,-0.0,-1.083632145117064,-0.0,1.0,-0.6990086479645644,-0.7327919566898685,0.0
2018-12-14,-0.0,-1.093477035784728,-0.0,1.0,-0.6948083967314737,-0.7337982530290222,0.0
2018-12-17,-0.0,-1.0901530039303762,-0.0,1.0,-0.6768669286917463,-0.7422445255474452,0.0
2018-12-18,-0.0,-1.0795284104782168,-0.0,1.0,-0.6678293627262897,-0.7407652865464439,0.0
2018-12-19,-0.0,-1.079464192276834,-0.0,1.0,-0.6678759549307567,-0.7409913838211184,0.0
2018-12-20,-0.0,-1.0711579240101508,-0.0,1.0,-0.6682309590850628,-0.7368164911182954,0.0
2018-12-21,-0.0,-1.0778436882089706,-0.0,1.0,-0.6768307489506366,-0.7143303153293786,0.0
2018-12-24,-0.0,-1.0580609571093642,-0.0,1.0,-0.6648048545028271,-0.7249344917942352,0.0
2018-12-26,-0.0,-1.0598179007043464,-0.0,1.0,-0.6563133482219551,-0.7197045181240337,0.0
