Date,FPF,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.11985955107818445,-0.2808243101641635,-0.0,-0.23521517730757213,-0.20243763442836923,0.0
2018-09-25,1.0,-0.12021174913609294,-0.28062274832732886,-0.0,-0.23507462686567165,-0.20217263436512023,0.0
2018-09-26,1.0,-0.11941067191494842,-0.2802619235933563,-0.0,-0.2354737248698659,-0.20418636305111557,0.0
2018-09-27,1.0,-0.12243659303672914,-0.2755145206084125,-0.0,-0.23646797005756742,-0.2048150668554928,0.0
2018-09-28,1.0,-0.12195794934054413,-0.2761253058146166,-0.0,-0.23650276842705517,-0.20491878667476043,0.0
2018-10-01,1.0,-0.12166691219799648,-0.27767751915144373,-0.0,-0.23663081909251624,-0.20550972304066,0.0
2018-10-02,1.0,-0.12077874146521496,-0.2853478501568555,-0.0,-0.2352279018269053,-0.2040044288614135,0.0
2018-10-03,1.0,-0.12073069471353445,-0.2844173816772765,-0.0,-0.23548297813451424,-0.20453916412953224,0.0
2018-10-04,1.0,-0.12626374847239197,-0.279968892345295,-0.0,-0.24345443098914937,-0.20197755804910567,0.0
2018-10-05,1.0,-0.13066840197080967,-0.2856372594589569,-0.0,-0.24317188807288273,-0.19977688946732358,0.0
2018-10-08,1.0,-0.12986723609692694,-0.2845232568935104,-0.0,-0.24326432086157274,-0.19918299136570422,0.0
2018-10-09,1.0,-0.13092408260288219,-0.28480166394295053,-0.0,-0.24296166988560394,-0.1983917694250483,0.0
2018-10-10,1.0,-0.13083435446140138,-0.28467193940069063,-0.0,-0.24289851843600313,-0.19817310905647767,0.0
2018-10-11,1.0,-0.10408539228435199,-0.2748157780667534,-0.0,-0.23027741655830083,-0.19691879786158073,0.0
2018-10-12,1.0,-0.10588528945069443,-0.2692506552086862,-0.0,-0.22127333345219205,-0.1864715006507515,0.0
2018-10-15,1.0,-0.09593813883210381,-0.27718425028886323,-0.0,-0.218665007554884,-0.18583237045595946,0.0
2018-10-16,1.0,-0.0915307358073937,-0.28581095519623906,-0.0,-0.21817793290120382,-0.1852339910250018,0.0
2018-10-17,1.0,-0.08521916770864521,-0.2732684077981086,-0.0,-0.21582163675748026,-0.18678125495306697,0.0
2018-10-18,1.0,-0.08458868509611149,-0.2721074052539775,-0.0,-0.21787620910196098,-0.18730729249255598,0.0
2018-10-19,1.0,-0.07868565935506422,-0.26629380407235864,-0.0,-0.21735558856943107,-0.1854758367560954,0.0
2018-10-22,1.0,-0.0790868538441354,-0.26804863115542726,-0.0,-0.21696842473541503,-0.18521822793667456,0.0
2018-10-23,1.0,-0.08215342072562437,-0.2686175332971629,-0.0,-0.2150445420655617,-0.18438139909340706,0.0
2018-10-24,1.0,-0.08135593220338982,-0.26603180150270833,-0.0,-0.21500961034422506,-0.18493796959636555,0.0
2018-10-25,1.0,-0.06707628416788645,-0.24548115872961843,-0.0,-0.2184872519317834,-0.170967083092215,0.0
2018-10-26,1.0,-0.06486413135665096,-0.24315568070020696,-0.0,-0.21876378193167556,-0.16945415069376127,0.0
2018-10-29,1.0,-0.06490225665892407,-0.242603550295858,-0.0,-0.21946050423017585,-0.16849493904816806,0.0
2018-10-30,1.0,-0.06144588524451224,-0.24264768200694975,-0.0,-0.21961183151114502,-0.17135350453428258,0.0
