Date,IWF,IWM,M,MTUM,SPY,VLUE,VXX
2018-09-24,-0.6056595653109533,-1.5337852377878203,1.0,-0.14229610501398754,-0.987411233053583,-1.110662793199914,0.0
2018-09-25,-0.6053610916347555,-1.5397767110727578,1.0,-0.13877352893587186,-0.9926109702820777,-1.1169300469230354,0.0
2018-09-26,-0.6050089059210881,-1.5402385707346036,1.0,-0.13634155556755007,-0.9944405462298267,-1.1214983537539807,0.0
2018-09-27,-0.6142949826989619,-1.5272491349480968,1.0,-0.1416522491349481,-0.9988646193771625,-1.1245674740484428,0.0
2018-09-28,-0.611038961038961,-1.532034632034632,1.0,-0.14280303030303032,-0.9997835497835499,-1.125595238095238,0.0
2018-10-01,-0.6114718614718615,-1.5312770562770563,1.0,-0.1431818181818182,-0.9998376623376624,-1.1254329004329005,0.0
2018-10-02,-0.6127130105490939,-1.5202055720854748,1.0,-0.1474168244522586,-1.0018393291858263,-1.1275628888287803,0.0
2018-10-03,-0.6220171462895211,-1.552449079888604,1.0,-0.15218697100420467,-1.0073172063561404,-1.1266859607928796,0.0
2018-10-04,-0.624181580096028,-1.5462134439109558,1.0,-0.1532082060235705,-1.009602793539939,-1.1228721082496727,0.0
2018-10-05,-0.6058203930937126,-1.539526550114019,1.0,-0.1332935172114236,-1.0165055923553046,-1.134270822021935,0.0
2018-10-08,-0.6025905050942988,-1.5346845870366357,1.0,-0.1265445480164752,-1.0218946455668763,-1.133752438760026,0.0
2018-10-09,-0.5999349134891794,-1.537126430547269,1.0,-0.11829473341649942,-1.0273905733036828,-1.141129250962738,0.0
2018-10-10,-0.6005421523448089,-1.535917592843589,1.0,-0.11905665492003253,-1.0275413391162918,-1.1385199240986716,0.0
2018-10-11,-0.5112377334599557,-1.5559776300517043,1.0,-0.0,-1.01920438957476,-1.1895114487707081,0.0
2018-10-12,-0.5133520365752285,-1.5446280133000831,1.0,-0.0,-0.9836346633416458,-1.1537302576891104,0.0
2018-10-15,-0.5082844232067729,-1.5484859502415207,1.0,-0.0,-0.9828598140549525,-1.154313613462837,0.0
2018-10-16,-0.5049849413230866,-1.553172707446256,1.0,-0.0,-0.9815141759268875,-1.1529234603801017,0.0
2018-10-17,-0.46566996057549537,-1.490809482361374,1.0,-0.0,-0.9828477804515897,-1.1807383134504121,0.0
2018-10-18,-0.47680505882962737,-1.5194111854040326,1.0,-0.0,-0.9912403462395688,-1.1957186544342508,0.0
2018-10-19,-0.4463683964954119,-1.5116387578412567,1.0,-0.0,-1.0122867955829746,-1.2140598268443155,0.0
2018-10-22,-0.44652849740932643,-1.5016062176165803,1.0,-0.0,-1.016062176165803,-1.2171502590673575,0.0
2018-10-23,-0.4564235660524267,-1.5053205294575656,1.0,-0.0,-1.012613547884765,-1.216402803010641,0.0
2018-10-24,-0.4524907988181017,-1.5017883987351617,1.0,-0.0,-1.0117153076564203,-1.2177699445337204,0.0
2018-10-25,-0.38601335408404036,-1.4287865856719715,1.0,-0.0,-1.0335358200712887,-1.1719965861740047,0.0
