Date,IWF,IWM,MTUM,SJM,SPY,VLUE,VXX
2018-09-24,-0.3285817580828427,-0.7171091140722377,-0.0,1.0,-0.6793375340013084,-0.7181076335089349,0.0
2018-09-25,-0.3278778899493505,-0.718189022499397,-0.0,1.0,-0.6801502256830789,-0.7193260517520588,0.0
2018-09-26,-0.3279699558985667,-0.7183365490628446,-0.0,1.0,-0.6801267916207276,-0.7189567254685777,0.0
2018-09-27,-0.32703488372093026,-0.7289936323366556,-0.0,1.0,-0.6829665005537099,-0.7217261904761906,0.0
2018-09-28,-0.32506568575932737,-0.7517954107549484,-0.0,1.0,-0.6941320721667543,-0.7322473287791208,0.0
2018-10-01,-0.3251699250227735,-0.7520846471866022,-0.0,1.0,-0.6940648868334384,-0.7322892579356737,0.0
2018-10-02,-0.3268880481995236,-0.7459716967913689,-0.0,1.0,-0.6958806221101302,-0.7341319882303489,0.0
2018-10-03,-0.3262781651890528,-0.7350807723306585,-0.0,1.0,-0.7007043487402319,-0.7421593019588604,0.0
2018-10-04,-0.33499666162982744,-0.7282215272165021,-0.0,1.0,-0.7125838985135468,-0.7382366377341252,0.0
2018-10-05,-0.3142367186953174,-0.716770490655841,-0.0,1.0,-0.7196752292293693,-0.7490025897669209,0.0
2018-10-08,-0.31100512029178645,-0.7152626779827452,-0.0,1.0,-0.729431156624816,-0.7513502139299993,0.0
2018-10-09,-0.3044839106734658,-0.71753121153508,-0.0,1.0,-0.7350800070335854,-0.7596975558290838,0.0
2018-10-10,-0.30322079389744316,-0.7239016810283938,-0.0,1.0,-0.737392287046193,-0.7670574939963272,0.0
2018-10-11,-0.20496097137901126,-0.7296790980052038,-0.0,1.0,-0.7262792714657416,-0.808256721595837,0.0
2018-10-12,-0.20703431791019294,-0.7167491890046099,-0.0,1.0,-0.7049342666894315,-0.7859996585282568,0.0
2018-10-15,-0.1909787234042553,-0.7268085106382979,-0.0,1.0,-0.7009361702127659,-0.7854978723404255,0.0
2018-10-16,-0.18485189351331083,-0.7391348808671643,-0.0,1.0,-0.7001056686096055,-0.7845382963493199,0.0
