Date,IWF,IWM,MAA,MTUM,SPY,VLUE,VXX
2018-09-24,-0.294974307557338,-0.40636671262062907,1.0,-0.0,-0.46233863892718385,-0.34290011279608973,0.0
2018-09-25,-0.2913851992409867,-0.4163440860215054,1.0,-0.0,-0.4698292220113852,-0.35251106894370654,0.0
2018-09-26,-0.29232559904860705,-0.41722122415930774,1.0,-0.0,-0.46985147136965155,-0.3509020520735811,0.0
2018-09-27,-0.2911488714177023,-0.4224448389551103,1.0,-0.0,-0.4706822216586356,-0.3518894242962212,0.0
2018-09-28,-0.28885559759287,-0.4261229464489754,1.0,-0.0,-0.4713455044054541,-0.3528172053931899,0.0
2018-10-01,-0.28843852636402983,-0.4305827838175013,1.0,-0.0,-0.4722101993533111,-0.35478778929144283,0.0
2018-10-02,-0.28780388359410836,-0.4359359869527547,1.0,-0.0,-0.47094949289027066,-0.3536262168085215,0.0
2018-10-03,-0.28719176686366416,-0.4298705930303648,1.0,-0.0,-0.47292133686570204,-0.3574230690849806,0.0
2018-10-04,-0.29346882500127663,-0.4240412602767707,1.0,-0.0,-0.4816933054179645,-0.35405709033345245,0.0
2018-10-05,-0.2848752955533521,-0.41774082831210435,1.0,-0.0,-0.4838939313045026,-0.3558589479571861,0.0
2018-10-08,-0.28244701104201037,-0.41469729661124505,1.0,-0.0,-0.48625460083766975,-0.3549942886153065,0.0
2018-10-09,-0.27551124483655465,-0.41748686827477177,1.0,-0.0,-0.4926309347748484,-0.3642460094854404,0.0
2018-10-10,-0.27659249063240804,-0.41663480410899545,1.0,-0.0,-0.49330886288904185,-0.36246845606790545,0.0
2018-10-11,-0.23631488791241528,-0.40341600258186244,1.0,-0.0,-0.479580943869318,-0.3632730071249472,0.0
2018-10-12,-0.233752102087249,-0.4009298644771985,1.0,-0.0,-0.47883074488079924,-0.35953111089128503,0.0
2018-10-15,-0.2131746580415782,-0.42025085180978716,1.0,-0.0,-0.47550738235148887,-0.36008098365512814,0.0
2018-10-16,-0.20438626993194578,-0.4420297054294372,1.0,-0.0,-0.47647906214296365,-0.36081168347325027,0.0
2018-10-17,-0.19581398776623188,-0.42518485764119196,1.0,-0.0,-0.4732846930503353,-0.36229641093669396,0.0
2018-10-18,-0.1956228046473926,-0.4248728844783965,1.0,-0.0,-0.4735575151678907,-0.36226081403060595,0.0
2018-10-19,-0.18351219512195124,-0.4149024390243903,1.0,-0.0,-0.47795121951219516,-0.36265853658536584,0.0
2018-10-22,-0.18340419293358745,-0.40541465083321115,1.0,-0.0,-0.4851683526364658,-0.3694717294629331,0.0
2018-10-23,-0.17747381392483058,-0.41205175600739374,1.0,-0.0,-0.4969316081330869,-0.3781392483056069,0.0
2018-10-24,-0.17625615763546795,-0.4078571428571428,1.0,-0.0,-0.4984482758620689,-0.3804926108374384,0.0
2018-10-25,-0.14589973920602725,-0.37720950449145174,1.0,-0.0,-0.5276006954505941,-0.3640490679030233,0.0
