Date,BYSI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-2.6410526315789475,-5.236491228070176,-0.6201754385964912,-4.127368421052632,-3.9187719298245614,0.0
2018-09-25,1.0,-2.6647286821705425,-5.2514094432699086,-0.640063424947146,-4.1390063424947146,-3.9228329809725158,0.0
2018-09-26,1.0,-2.6762678918536844,-5.271956176002827,-0.6478176356246687,-4.150556635447959,-3.924191553277964,0.0
2018-09-27,1.0,-2.6992028343666963,-5.252967227635075,-0.6605845881310894,-4.165810451727192,-3.9362267493356953,0.0
2018-09-28,1.0,-2.7238471200430645,-5.3344697649380945,-0.6745020635205454,-4.221065853220886,-3.9899515521263234,0.0
2018-10-01,1.0,-2.724793684965913,-5.330821672048798,-0.6754574811625405,-4.220667384284177,-3.988697524219591,0.0
2018-10-02,1.0,-2.7663703972428806,-5.3257754398694,-0.7066932704516597,-4.28713948848177,-4.053147106838383,0.0
2018-10-03,1.0,-2.7531154054542166,-5.287520317861658,-0.7030883149720064,-4.272530251038468,-4.0437059779664075,0.0
2018-10-04,1.0,-2.7682442196531793,-5.264992774566474,-0.708092485549133,-4.290643063583815,-4.031611271676301,0.0
2018-10-05,1.0,-2.687365783822477,-5.207945597709378,-0.6252684323550465,-4.311381531853973,-4.063528990694345,0.0
2018-10-08,1.0,-2.682835153033828,-5.202971183103633,-0.6028279935564703,-4.3391802398424915,-4.071057812779667,0.0
2018-10-09,1.0,-2.69545699407434,-5.220147243670318,-0.6121386245286407,-4.350332196085473,-4.078649667803915,0.0
2018-10-10,1.0,-2.7021735225435606,-5.218070774205138,-0.6175678103107599,-4.355667325309862,-4.069696425363751,0.0
2018-10-11,1.0,-2.1488058787507653,-4.533680342927128,-0.29332516840171463,-3.7325474586650333,-3.6007348438456823,0.0
2018-10-12,1.0,-2.176869722557298,-4.506483715319662,-0.2530156815440289,-3.6474668275030155,-3.4945717732207475,0.0
2018-10-15,1.0,-2.1077781127524875,-4.641845040699427,-0.13913174555321076,-3.6597829363883028,-3.525474826650588,0.0
2018-10-16,1.0,-2.100798553563357,-4.6617447642006935,-0.12294711466023807,-3.658128672593039,-3.523579930691578,0.0
2018-10-17,1.0,-2.1399562636676044,-4.7421118400499855,-0.00921587004061231,-3.8995626366760394,-3.8292721024679794,0.0
2018-10-18,1.0,-2.1366120218579234,-4.735987509758002,-0.010772833723653397,-3.901327088212334,-3.827946916471507,0.0
