Date,FN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.8266620054768979,-1.5180329779176134,-0.2734953096777953,-1.0925828817805745,-1.1156557711355823,0.0
2018-09-25,1.0,-0.8304976110010488,-1.51544109078196,-0.27922153595152077,-1.0903158140076914,-1.1113506584314183,0.0
2018-09-26,1.0,-0.830351419080366,-1.5154729296579055,-0.27839617693338775,-1.0908561104959498,-1.1127688093711756,0.0
2018-09-27,1.0,-0.8337603353907069,-1.505007569581926,-0.28129730988703855,-1.0906603004541748,-1.1120880400605566,0.0
2018-09-28,1.0,-0.8325668044478081,-1.5052686732258251,-0.28188857192757755,-1.0902369447517029,-1.11177737672469,0.0
2018-10-01,1.0,-0.833818562943985,-1.5040759287294747,-0.2820542680796553,-1.0910096657738442,-1.111855129847444,0.0
2018-10-02,1.0,-0.8341304094249388,-1.5179633733815467,-0.27959874023095765,-1.0900501574711303,-1.1105214044091916,0.0
2018-10-03,1.0,-0.8348709564404998,-1.5034450543033984,-0.27741445754992405,-1.099147495036786,-1.1241387364241504,0.0
2018-10-04,1.0,-0.8354149643982725,-1.5008170888292285,-0.2779852924010739,-1.099509746702463,-1.1225633243842654,0.0
2018-10-05,1.0,-0.8186781275409455,-1.4923336043675224,-0.25810198629341385,-1.106167963758857,-1.1325357184341969,0.0
2018-10-08,1.0,-0.8174644618508847,-1.4906295329271833,-0.25662895271250363,-1.1058311575282855,-1.131534667827096,0.0
2018-10-09,1.0,-0.8177439944296159,-1.4910641754671,-0.25670186839967507,-1.1057792735290704,-1.1312521759312986,0.0
2018-10-10,1.0,-0.8176279447603575,-1.4914703493095045,-0.25612162005338285,-1.1059533480329582,-1.131368225600557,0.0
2018-10-11,1.0,-0.7358543733092876,-1.504057709648332,-0.129226780883679,-1.0942853922452662,-1.1723399458972048,0.0
2018-10-12,1.0,-0.7507239919803965,-1.4983849409668077,-0.11817776787703274,-1.0640454444196927,-1.1377812430385388,0.0
2018-10-15,1.0,-0.7357725834212426,-1.5194048081727833,-0.0947754150241519,-1.0622397423796568,-1.1399144966964634,0.0
2018-10-16,1.0,-0.7343325006938661,-1.5237302248126563,-0.09136830419095197,-1.061948376353039,-1.1394948653899528,0.0
2018-10-17,1.0,-0.7067587406883803,-1.4651731825349354,-0.06514055788157251,-1.0526888151813387,-1.1476809308901095,0.0
2018-10-18,1.0,-0.7052872062663185,-1.462848128807659,-0.06657963446475196,-1.056135770234987,-1.1486074847693646,0.0
2018-10-19,1.0,-0.6875134901791495,-1.4489531620979925,-0.04451759119361105,-1.0627023526872437,-1.1524390243902438,0.0
2018-10-22,1.0,-0.687641662169455,-1.448677819751754,-0.047004856988667035,-1.0617916891527255,-1.151538046411225,0.0
2018-10-23,1.0,-0.687800140290293,-1.4482814439108616,-0.04769869961689959,-1.0610262774510333,-1.1509739383801867,0.0
