Date,IWF,IWM,MTUM,NEO,SPY,VLUE,VXX
2018-09-24,-0.5738741737600456,-1.3238860621047124,-0.0,1.0,-0.9455513814256502,-0.911978696086357,0.0
2018-09-25,-0.5889887210858344,-1.3287612311221564,-0.0,1.0,-0.9500573504110112,-0.9113936149875741,0.0
2018-09-26,-0.5977723366460224,-1.340486821258822,-0.0,1.0,-0.9555427528926017,-0.9071966969129578,0.0
2018-09-27,-0.6015344042196116,-1.331191560776792,-0.0,1.0,-0.9555502277631264,-0.906784943658595,0.0
2018-09-28,-0.6100862193535956,-1.3335099465343674,-0.0,1.0,-0.9613698762102019,-0.9117576224651993,0.0
2018-10-01,-0.611748265227448,-1.3323535080956053,-0.0,1.0,-0.9626060138781803,-0.9121048573631457,0.0
2018-10-02,-0.6113233089977276,-1.352076584634724,-0.0,1.0,-0.9611758448967751,-0.9103128172895615,0.0
2018-10-03,-0.6158962905418527,-1.367207224703826,-0.0,1.0,-0.9630510778791999,-0.9091571178869683,0.0
2018-10-04,-0.6208201892744479,-1.3589905362776025,-0.0,1.0,-0.9689881096821159,-0.9043921378306236,0.0
2018-10-05,-0.5983112183353438,-1.3474065138721352,-0.0,1.0,-0.9707117008443908,-0.9086610373944511,0.0
2018-10-08,-0.5940146266358738,-1.3416089299461122,-0.0,1.0,-0.9703618167821401,-0.9054080061585835,0.0
2018-10-09,-0.592081208505725,-1.3415760608101608,-0.0,1.0,-0.9708457615702878,-0.9064274030597518,0.0
2018-10-10,-0.5912222382810618,-1.34475116828058,-0.0,1.0,-0.9718167365226189,-0.9098617333911452,0.0
2018-10-11,-0.4712124738189434,-1.3302769373981846,-0.0,1.0,-0.93032348149872,-0.9225971608098673,0.0
2018-10-12,-0.47714063429591325,-1.3173767790947781,-0.0,1.0,-0.896892590728113,-0.8849938217930529,0.0
2018-10-15,-0.44778365560014594,-1.3407971543232395,-0.0,1.0,-0.8888635534476468,-0.8829350601970084,0.0
2018-10-16,-0.4679055611915522,-1.336392142396016,-0.0,1.0,-0.9068984598358388,-0.9000737803190999,0.0
2018-10-17,-0.4388200855663139,-1.2784507993695116,-0.0,1.0,-0.8888988966448998,-0.8973204233280793,0.0
