Date,IWF,IWM,MTUM,SPY,SWIR,VLUE,VXX
2018-09-24,-0.8053425824510161,-1.5470366313739807,-0.10301813313861506,-1.321589387854448,1.0,-1.3079591091639284,0.0
2018-09-25,-0.8058140242048288,-1.5451559934318557,-0.10460378276470231,-1.3200754120294351,1.0,-1.3060268807395246,0.0
2018-09-26,-0.8056840311587148,-1.545703505355404,-0.10266553067185978,-1.3217502434274586,1.0,-1.3098831548198637,0.0
2018-09-27,-0.8061516017263388,-1.5399671752477055,-0.10406662208984256,-1.320162908029907,1.0,-1.3082487386784998,0.0
2018-09-28,-0.8032956341967652,-1.5431715918764444,-0.10525355709595038,-1.3201386355344764,1.0,-1.3086464793870851,0.0
2018-10-01,-0.8036116008998602,-1.5424697513224297,-0.10567276706998237,-1.3199975679455218,1.0,-1.308384507812975,0.0
2018-10-02,-0.8041030011566325,-1.5526876483837586,-0.1044012905582273,-1.3191087843185,1.0,-1.307238083642783,0.0
2018-10-03,-0.8042366691015338,-1.5519844168492818,-0.10518626734842951,-1.3187850012174336,1.0,-1.307036766496226,0.0
2018-10-04,-0.8042643923240939,-1.5543100822418519,-0.10648796832165702,-1.3182455071580872,1.0,-1.3086810843740482,0.0
2018-10-05,-0.7854375983537102,-1.542367752088125,-0.08449340273574628,-1.3235685752330226,1.0,-1.316608158818545,0.0
2018-10-08,-0.780927679594668,-1.5347125882140058,-0.07913625671029616,-1.323964050907775,1.0,-1.3130466252488087,0.0
2018-10-09,-0.7857358718646116,-1.5382895134481716,-0.08564521003324267,-1.3237836204291324,1.0,-1.3106678754910848,0.0
2018-10-10,-0.7869743837602706,-1.5363098115031417,-0.08699855002416626,-1.3243716771387142,1.0,-1.306911551474142,0.0
2018-10-11,-0.6744603275652526,-1.5089414896695412,-0.0,-1.2840442155217318,1.0,-1.3199259216389838,0.0
2018-10-12,-0.6885939823818785,-1.5008580253975516,-0.0,-1.2503718110056057,1.0,-1.2803454982267475,0.0
2018-10-15,-0.654439824571396,-1.5240075183687416,-0.0,-1.2401890983653243,1.0,-1.2770974540069489,0.0
2018-10-16,-0.6487610367416691,-1.533694104243805,-0.0,-1.2384505838792366,1.0,-1.2754770720592423,0.0
2018-10-17,-0.6049170320217548,-1.4541872467950496,-0.0,-1.2159942283145568,1.0,-1.274599034352628,0.0
2018-10-18,-0.6042614582177339,-1.4532793252691154,-0.0,-1.216679613805349,1.0,-1.274553323715459,0.0
2018-10-19,-0.5726998077451251,-1.4294424608624006,-0.0,-1.217852238396045,1.0,-1.2730019225487506,0.0
2018-10-22,-0.5736489455184535,-1.4281085237258349,-0.0,-1.2175966608084359,1.0,-1.272737258347979,0.0
2018-10-23,-0.5860472805422384,-1.4349479252769055,-0.0,-1.2156830330082107,1.0,-1.2738744696093018,0.0
2018-10-24,-0.582828505341998,-1.428240995704373,-0.0,-1.217590042956273,1.0,-1.278554906928076,0.0
2018-10-25,-0.5108206783427695,-1.3366844806603526,-0.0,-1.225302926080745,1.0,-1.2184242552516007,0.0
2018-10-26,-0.47434060393780186,-1.3374197314652658,-0.0,-1.2708167489253306,1.0,-1.224380406517009,0.0
