Date,IWF,IWM,MTUM,NAV,SPY,VLUE,VXX
2018-09-24,-0.6215779421127381,-1.273568735001714,-0.08741858073363044,1.0,-0.9459816837259415,-0.9687545913120134,0.0
2018-09-25,-0.6234274805423663,-1.2712320720544323,-0.0908022908610309,1.0,-0.9439032747564736,-0.9655881345146605,0.0
2018-09-26,-0.6234595178474985,-1.2737271075759808,-0.08484312859036677,1.0,-0.9497225904649679,-0.9781018313939216,0.0
2018-09-27,-0.6233689205219455,-1.295423092131277,-0.08194938710952947,1.0,-0.9568999604586793,-0.9850731514432582,0.0
2018-09-28,-0.6216082637275737,-1.2965452478624029,-0.08283497256956457,1.0,-0.9565561211881579,-0.9849256165669945,0.0
2018-10-01,-0.6221706039339726,-1.2954927350004941,-0.08307798754571513,1.0,-0.9567065335573787,-0.984679252742908,0.0
2018-10-02,-0.6224177127606998,-1.2945537214589307,-0.08426410991400612,1.0,-0.9564594247306515,-0.9844815656815261,0.0
2018-10-03,-0.6217217365535634,-1.2853756112016594,-0.08327159579196917,1.0,-0.9591050526003851,-0.9895293129846396,0.0
2018-10-04,-0.6206862405307718,-1.2936574738822597,-0.083923354953706,1.0,-0.9577164925483982,-0.9952468188344803,0.0
2018-10-05,-0.6082581027083025,-1.2892309210201767,-0.0676335651916531,1.0,-0.9641852893295841,-1.003897193034384,0.0
2018-10-08,-0.6055831815272512,-1.2849195017478212,-0.06262616316281817,1.0,-0.9674560582935355,-1.0029048298951306,0.0
2018-10-09,-0.603683458905796,-1.2859112621263602,-0.05732013591372433,1.0,-0.9704535381888019,-1.0070419067316687,0.0
2018-10-10,-0.6038107429471714,-1.2856580178228545,-0.05711190980257003,1.0,-0.9707055290236817,-1.0061050662202746,0.0
2018-10-11,-0.5294539886108054,-1.2802316121931379,-0.0,1.0,-0.9495142843470356,-1.0261281523663686,0.0
2018-10-12,-0.5340484854212939,-1.2711592079769387,-0.0,1.0,-0.9227824771986202,-0.9976844194508766,0.0
2018-10-15,-0.4972161932622441,-1.3065490233084835,-0.0,1.0,-0.9154477682362934,-0.9990563366990659,0.0
2018-10-16,-0.48484704766421627,-1.339957315627223,-0.0,1.0,-0.9173820251363528,-1.0004742708086316,0.0
2018-10-17,-0.45609289744905096,-1.289604999300471,-0.0,1.0,-0.9088280557757776,-1.0090006062584527,0.0
2018-10-18,-0.4557451967916434,-1.289311695579183,-0.0,1.0,-0.909205372132065,-1.0090468196232045,0.0
2018-10-19,-0.44131433610247367,-1.284587181510187,-0.0,1.0,-0.9074581148187684,-1.007704088736251,0.0
2018-10-22,-0.4413457076566125,-1.2731322505800464,-0.0,1.0,-0.9131786542923434,-1.0127610208816706,0.0
2018-10-23,-0.44518164524660137,-1.2732334245812649,-0.0,1.0,-0.9101749176448755,-1.0111353407878254,0.0
2018-10-24,-0.4427020506634499,-1.2747981813120535,-0.0,1.0,-0.9103646654913241,-1.0116451702700193,0.0
2018-10-25,-0.4301627320650928,-1.2537245014898006,-0.0,1.0,-0.9040110016044006,-0.9961035984414393,0.0
2018-10-26,-0.412282692569561,-1.2368934682946757,-0.0,1.0,-0.9056783623076574,-0.9842040760746221,0.0
2018-10-29,-0.37967696692756636,-1.2555761661312943,-0.0,1.0,-0.8925032800977243,-0.9965615527303986,0.0
2018-10-30,-0.3679949341896965,-1.255823420326564,-0.0,1.0,-0.893075218236917,-1.0061965715319552,0.0
2018-10-31,-0.3684471713434991,-1.2489398177388793,-0.0,1.0,-0.8906884417576468,-1.0033384462690607,0.0
2018-11-01,-0.3607030193780983,-1.2538080216313656,-0.0,1.0,-0.8894096439837765,-1.0026588553402433,0.0
2018-11-02,-0.36518465399784866,-1.2254392255288633,-0.0,1.0,-0.8949892434564359,-0.9962352097525995,0.0
2018-11-05,-0.3697897951850521,-1.2172116421128278,-0.0,1.0,-0.8970086237872799,-1.0075458138699245,0.0
2018-11-06,-0.38447677823325377,-1.2328032794270014,-0.0,1.0,-0.8916617865669625,-0.9957205279517095,0.0
2018-11-07,-0.383533865080438,-1.2353656887927538,-0.0,1.0,-0.8907665269703935,-0.9966653147672481,0.0
2018-11-08,-0.33030084669428933,-1.2576112412177987,-0.0,1.0,-0.8892091515042335,-1.0265717888668708,0.0
2018-11-09,-0.3315009237146848,-1.2580543414590186,-0.0,1.0,-0.889154237822737,-1.0272157887622224,0.0
2018-11-12,-0.329967689822294,-1.2398581942200682,-0.0,1.0,-0.8944085442469932,-1.023290253096392,0.0
2018-11-13,-0.2876736809185543,-1.243979806102846,-0.0,1.0,-0.9076978063709065,-1.0283250681320646,0.0
2018-11-14,-0.28787134241679696,-1.2437346437346437,-0.0,1.0,-0.9075720348447621,-1.0281438463256645,0.0
2018-11-15,-0.2878225481865748,-1.2507937927641877,-0.0,1.0,-0.918921336255087,-1.014489512991369,0.0
2018-11-16,-0.28455465857901074,-1.240890236831542,-0.0,1.0,-0.9165960483475314,-1.0180634226840908,0.0
2018-11-19,-0.29546268122427066,-1.2423930553069626,-0.0,1.0,-0.9165025953105423,-1.0203150170037587,0.0
2018-11-20,-0.23324277379414776,-1.2346234356210752,-0.0,1.0,-0.9276265977820335,-1.058255021600677,0.0
2018-11-21,-0.23286156567890315,-1.229013710747457,-0.0,1.0,-0.9223352498894295,-1.0385670057496683,0.0
2018-11-23,-0.23293492695883136,-1.2333333333333334,-0.0,1.0,-0.9216024789729969,-1.0388224878264718,0.0
2018-11-26,-0.23155329049412807,-1.245557278971859,-0.0,1.0,-0.9189895856414803,-1.0354974518058941,0.0
2018-11-27,-0.2251623448336794,-1.2459689888236076,-0.0,1.0,-0.9146530017228433,-1.0317621592967265,0.0
2018-11-28,-0.22301871764237355,-1.2613389973007656,-0.0,1.0,-0.9107925129430506,-1.0298685782556751,0.0
2018-11-29,-0.20028048032255236,-1.2474362345516699,-0.0,1.0,-0.9044175650801999,-1.0304145849767727,0.0
