Date,EBIZ,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-07-31,1.0,-0.0994356287804014,-0.29165084908764205,-0.17781489636322226,-0.49763369017791614,-0.46427757953078735,0.0
2019-08-01,1.0,-0.09982853396540421,-0.29608149679761964,-0.16561601694487874,-0.5007564677996873,-0.459251601190176,0.0
2019-08-02,1.0,-0.10092366546699216,-0.29111821407897714,-0.16950645559107036,-0.5007172878967104,-0.4545340145471019,0.0
2019-08-05,1.0,-0.10080084884925346,-0.29234772503347395,-0.17623727357704064,-0.499002096859763,-0.45797438294217213,0.0
2019-08-06,1.0,-0.10813682825624937,-0.29369497014472223,-0.18181358162129338,-0.4901831798400972,-0.4562544276895051,0.0
2019-08-07,1.0,-0.10724491086104439,-0.29396889619420913,-0.18014919711720823,-0.4908332279681375,-0.45656846630421033,0.0
2019-08-08,1.0,-0.10158939056489168,-0.2947965175136667,-0.18022372949989873,-0.49455861510427207,-0.4597337517716137,0.0
2019-08-09,1.0,-0.09944228407695457,-0.30080843225542364,-0.19284690953745395,-0.508212239050348,-0.45702005730659023,0.0
2019-08-12,1.0,-0.09777970821942307,-0.2967372697309589,-0.2000562099184956,-0.5140141546794756,-0.4464345026699711,0.0
2019-08-13,1.0,-0.09319390468398446,-0.29604724892616074,-0.19950398854571486,-0.5198660257721416,-0.4481233381059521,0.0
2019-08-14,1.0,-0.09130856880077666,-0.29697000664248124,-0.1986101885442747,-0.520336211741863,-0.447575494353891,0.0
2019-08-15,1.0,-0.1007818628071152,-0.30611573593785585,-0.1934161584980137,-0.5042129500771741,-0.42579894233445514,0.0
2019-08-16,1.0,-0.10016449449576109,-0.3093508794128812,-0.19174996836644312,-0.5009996203973175,-0.4284195874984183,0.0
2019-08-19,1.0,-0.10236976403415694,-0.30599767571118186,-0.19023798696377142,-0.501440048506897,-0.42635541407710575,0.0
2019-08-20,1.0,-0.10166797042569836,-0.3074516137172273,-0.1904665775063716,-0.5003658936637311,-0.42345252214287515,0.0
2019-08-21,1.0,-0.10530427113518963,-0.3110243164923775,-0.1912057452437949,-0.49676200075595317,-0.4155474360589644,0.0
2019-08-22,1.0,-0.10437015406303493,-0.3119524720571947,-0.18991038163326956,-0.49831336219917427,-0.4128234820259793,0.0
2019-08-23,1.0,-0.10945877592311584,-0.31800708143651996,-0.1958017197774406,-0.5017703591299949,-0.40402124430956,0.0
2019-08-26,1.0,-0.11853351327035537,-0.30694257010046483,-0.18306092867496376,-0.49780076973059434,-0.3928125156195331,0.0
2019-08-27,1.0,-0.11887954902596594,-0.30485645157267216,-0.17749619615375023,-0.4958718914469582,-0.39722132149360206,0.0
2019-08-28,1.0,-0.12226268269566519,-0.2941088442160922,-0.1848655659200878,-0.49952611363296257,-0.39337556741657104,0.0
2019-08-29,1.0,-0.12921712263915883,-0.2898290726067674,-0.18659989036726965,-0.4987790900483381,-0.3872527034434644,0.0
2019-08-30,1.0,-0.1311817797558368,-0.2860588279171536,-0.1861557970113628,-0.49954001839926404,-0.38347547179193914,0.0
2019-09-03,1.0,-0.13333664892823396,-0.2886059581240364,-0.1869498184711792,-0.5006216740438654,-0.37720694285572187,0.0
2019-09-04,1.0,-0.13248607242339833,-0.29078790290489454,-0.1857839235972941,-0.5023627138877835,-0.37567150815758055,0.0
2019-09-05,1.0,-0.1389178197688836,-0.3028567177503348,-0.17956157317859445,-0.5025293855081089,-0.35589941972920697,0.0
2019-09-06,1.0,-0.13865609099072135,-0.30589643819215806,-0.1762446373341315,-0.5022198942432405,-0.3712461338920483,0.0
2019-09-09,1.0,-0.13849531031730192,-0.30475454001197366,-0.17643683895430054,-0.5021951706246258,-0.3726052684094991,0.0
