Date,DKS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.7432651534048391,-1.7122100274382637,-0.21832127712646546,-1.2777500623596907,-1.2844849089548516,0.0
2018-09-25,1.0,-0.7439184541304483,-1.7187167781877304,-0.21599649803014195,-1.2834719529735477,-1.2914139203301858,0.0
2018-09-26,1.0,-0.744356200362704,-1.7192795947720594,-0.21705959602276279,-1.283159277093365,-1.289662935401163,0.0
2018-09-27,1.0,-0.7450649675162418,-1.713455772113943,-0.21845327336331835,-1.2817966016991504,-1.288168415792104,0.0
2018-09-28,1.0,-0.742338961851157,-1.718886804252658,-0.2198874296435272,-1.2830519074421516,-1.2897435897435898,0.0
2018-10-01,1.0,-0.744290808984546,-1.7177000563098292,-0.22017143214665583,-1.2843646374272664,-1.2901833197772634,0.0
2018-10-02,1.0,-0.7449177456683554,-1.712016013010571,-0.22274347907674985,-1.2847313442171764,-1.2906736723587915,0.0
2018-10-03,1.0,-0.7471336382432178,-1.7186266524653844,-0.2250485558548963,-1.284881899630349,-1.2895182006139967,0.0
2018-10-04,1.0,-0.7526470772507988,-1.7099179249420462,-0.2264895683227868,-1.2915857402418394,-1.284631288766368,0.0
2018-10-05,1.0,-0.7317924116877452,-1.70082860880942,-0.20385022740016195,-1.2987975827051272,-1.2948725936078749,0.0
2018-10-08,1.0,-0.7276455601814453,-1.6944634313055367,-0.19735288634810166,-1.3016839619710434,-1.2927359721618097,0.0
2018-10-09,1.0,-0.7253683098153788,-1.6961521725616955,-0.19083732206129173,-1.3056505252688506,-1.2981910859700379,0.0
2018-10-10,1.0,-0.7269732753262897,-1.694530764449969,-0.19260410192666255,-1.3066500932256062,-1.2943443132380361,0.0
2018-10-11,1.0,-0.6307365868444983,-1.7257350712337072,-0.041952106698999694,-1.3099120945741134,-1.3541679296756592,0.0
2018-10-12,1.0,-0.6435251798561151,-1.7236211031175057,-0.026858513189448437,-1.2817146282973622,-1.319484412470024,0.0
2018-10-15,1.0,-0.6127547666009205,-1.7616400693323773,-0.0,-1.278823740362202,-1.3237104775566315,0.0
2018-10-16,1.0,-0.6058267528116774,-1.7761426178511606,-0.0,-1.2776980138789182,-1.3226250299114621,0.0
2018-10-17,1.0,-0.5603124265914964,-1.7064247122386658,-0.0,-1.2684989429175477,-1.337444209537233,0.0
2018-10-18,1.0,-0.5603782450370022,-1.707036297427464,-0.0,-1.268354281686832,-1.3376013156349114,0.0
2018-10-19,1.0,-0.5296607678287966,-1.7015697571873716,-0.0,-1.2914927391381035,-1.3565171379857723,0.0
2018-10-22,1.0,-0.5310681323849273,-1.7001939921227438,-0.0,-1.291164540591382,-1.356181294456528,0.0
2018-10-23,1.0,-0.5326163610719323,-1.6997531734837799,-0.0,-1.2894922425952045,-1.3550188058298072,0.0
2018-10-24,1.0,-0.5287484583308862,-1.6941328478299171,-0.0,-1.291067128677982,-1.359135490691255,0.0
2018-10-25,1.0,-0.45355501333484655,-1.6120978267037396,-0.0,-1.3039777563411452,-1.3048289167565112,0.0
2018-10-26,1.0,-0.4186571799649895,-1.5994127279914168,-0.0,-1.3296064148173246,-1.2991699136032526,0.0
