Date,IWF,IWM,MTUM,SDY,SPY,SUN,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,-0.0,-0.28548418907369666,-0.0,-0.3257839721254356,-0.0,1.0,-0.6059101965682729,-0.0,-0.06929195976595885,-0.24146998882387746,-0.0,-0.0,-0.0,-0.0,-0.2138255210045362,-0.0,-0.5453947800933535,-0.0,-0.0
2019-01-03,-0.0,-0.29420821594706154,-0.0,-0.3096376859070956,-0.0,1.0,-0.5765904474873879,-0.0,-0.0766559654065387,-0.2523750245692197,-0.0,-0.0,-0.0,-0.0,-0.22459542684924327,-0.0,-0.5418004324182665,-0.0,-0.0
2019-01-04,-0.0,-0.31450161928751347,-0.0,-0.3216003140436389,-0.0,1.0,-0.5280185809153063,-0.0,-0.018482776669174653,-0.27001210376525236,-0.0058556053518270135,-0.0,-0.0,-0.0,-0.2467859596323072,-0.0,-0.5659982335045307,-0.0,-0.0
2019-01-07,-0.0,-0.23645461499235088,-0.0,-0.39740566037735847,-0.0,1.0,-0.6300994390617032,-0.0,-0.0,-0.2082164711881693,-0.0,-0.0,-0.0,-0.0,-0.2082164711881693,-0.0,-0.5067567567567568,-0.0,-0.0
2019-01-08,-0.0,-0.25775762993232026,-0.0,-0.39027582684203804,-0.0,1.0,-0.6282403269058868,-0.0,-0.0,-0.20300727876388708,-0.0,-0.0,-0.0,-0.0,-0.2061039458562125,-0.0,-0.5070552930660196,-0.0,-0.0
2019-01-09,-0.0,-0.2413978835308282,-0.0,-0.37976047145301306,-0.0,1.0,-0.6641214118243457,-0.0,-0.0,-0.18877130726823396,-0.003960458779545022,-0.0,-0.0,-0.0,-0.21104492744439515,-0.0,-0.4793105633356568,-0.0,-0.0
2019-01-10,-0.0,-0.2512825384761543,-0.0,-0.38172145164354926,-0.0,1.0,-0.6647982772816518,-0.0,-0.0,-0.17933371334473366,-0.01469377414655773,-0.0,-0.0,-0.0,-0.19342580277408322,-0.0,-0.4815061118500221,-0.0,-0.0
2019-01-11,-0.0,-0.24268692472575967,-0.0,-0.37552011095700416,-0.0,1.0,-0.6555604589585171,-0.0,-0.0,-0.1866095069978565,-0.019007691337788422,-0.0,-0.0,-0.0,-0.210124826629681,-0.0,-0.46267809860042863,-0.0,-0.0
2019-01-14,-0.0,-0.23406878239979773,-0.0,-0.38361360475407763,-0.0,1.0,-0.6496080414717411,-0.0,-0.0,-0.1962637501580478,-0.02260083449235049,-0.0,-0.0,-0.0,-0.1988873435326843,-0.0,-0.4759135162473132,-0.0,-0.0
2019-01-15,-0.0,-0.15593134460700486,-0.0,-0.47336753435936413,-0.0,1.0,-0.678447020077269,-0.0,-0.0,-0.19915764139590855,-0.03264931281271771,-0.0,-0.0,-0.0,-0.2562543542972956,-0.0,-0.37095446196719234,-0.0,-0.0
