Date,IWF,IWM,MTUM,NGVT,SPY,VLUE,VXX
2018-09-24,-0.38392692718500243,-1.0137011528120512,-0.14106294427461236,1.0,-0.5944900740304225,-0.5498876652793636,0.0
2018-09-25,-0.38264569842738205,-1.022053654024052,-0.13491211840888068,1.0,-0.6018131359851989,-0.5588899167437559,0.0
2018-09-26,-0.38485757676778903,-1.025113901544616,-0.13871911693891914,1.0,-0.6016964847946068,-0.5537652331740563,0.0
2018-09-27,-0.3844699777613047,-1.0273165307635288,-0.13832468495181616,1.0,-0.6020756115641216,-0.5542624166048926,0.0
2018-09-28,-0.3822940609475792,-1.0293245347371545,-0.1389856899236302,1.0,-0.6020983168977534,-0.5545339956995625,0.0
2018-10-01,-0.38297556816075334,-1.0283987691395098,-0.13906499091684277,1.0,-0.6024543061580099,-0.5545174804434063,0.0
2018-10-02,-0.38672904830864063,-1.0059782406891686,-0.14737662916341765,1.0,-0.6102632653819019,-0.5628457910957633,0.0
2018-10-03,-0.4152355107578988,-1.099864314789688,-0.154099631711572,1.0,-0.6356658267106028,-0.5718550106609808,0.0
2018-10-04,-0.4137971330632596,-1.1123402929261452,-0.15401994390775942,1.0,-0.634270800872546,-0.5809052664381428,0.0
2018-10-05,-0.39965834530418914,-1.1082812439336878,-0.13980665450168886,1.0,-0.6432037892611717,-0.5914508677252786,0.0
2018-10-08,-0.3984720390909796,-1.1069960443651594,-0.13809819281780814,1.0,-0.6438377414100676,-0.5906693554642054,0.0
2018-10-09,-0.40152191637224827,-1.1083977171254416,-0.1437667430213146,1.0,-0.6418837597546297,-0.5869084132468843,0.0
2018-10-10,-0.4013433763006678,-1.108984314334524,-0.14326758813480353,1.0,-0.6419863332815654,-0.5870865041155459,0.0
2018-10-11,-0.3893065032188428,-1.1144905747658147,-0.1268262595890675,1.0,-0.6383716896033307,-0.5859064800894337,0.0
2018-10-12,-0.3880625622939508,-1.1175726443302922,-0.12063942344552633,1.0,-0.6312198113930845,-0.575979452579928,0.0
2018-10-15,-0.3868296983402966,-1.1210088543064125,-0.11771244585840776,1.0,-0.6317221817624287,-0.5757982291387174,0.0
2018-10-16,-0.3851874568734187,-1.127769684888446,-0.11266579774591735,1.0,-0.6320248409108334,-0.5757877788852258,0.0
2018-10-17,-0.3776518895901453,-1.1113983727473198,-0.10744430081362635,1.0,-0.6285833776899096,-0.5769143030948218,0.0
2018-10-18,-0.3767487834549878,-1.1101733576642336,-0.10808242092457421,1.0,-0.6297521289537713,-0.5769084549878345,0.0
2018-10-19,-0.364295971581891,-1.103884815962512,-0.09575995767515683,1.0,-0.6362330889577508,-0.5788300204066208,0.0
2018-10-22,-0.36673467845537666,-1.0972946421824228,-0.08954885513489004,1.0,-0.6414645205168896,-0.5833900098239251,0.0
2018-10-23,-0.3670948243294296,-1.097015489233094,-0.09055534567434832,1.0,-0.6404231205137892,-0.5827351718927087,0.0
2018-10-24,-0.36660246969525323,-1.0979570257920774,-0.08757222159284014,1.0,-0.6411011668743628,-0.5830595521317171,0.0
2018-10-25,-0.3413761298653385,-1.0654122855561703,-0.08326876959970485,1.0,-0.6425382770706511,-0.5567607452499538,0.0
2018-10-26,-0.35146225007460463,-1.0754625484929872,-0.0917636526410027,1.0,-0.6446210086541331,-0.5669203222918532,0.0
2018-10-29,-0.34384998883845524,-1.0824466106109083,-0.08430686807054096,1.0,-0.641416772081256,-0.5684946796636654,0.0
2018-10-30,-0.33638392857142857,-1.0837053571428572,-0.07905505952380953,1.0,-0.643452380952381,-0.5776041666666667,0.0
