Date,FFWM,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-26,1.0,-0.29244381416283877,-0.7841045719394519,-0.12929679070197614,-0.4753830502204273,-0.40167093134383575,0.0
2018-09-27,1.0,-0.29264533629246037,-0.7833364157573517,-0.12958510572714382,-0.47527895937365144,-0.401578201097343,0.0
2018-09-28,1.0,-0.2904240555127217,-0.7858442559753277,-0.13011565150346954,-0.4755589822667695,-0.40212798766383967,0.0
2018-10-01,1.0,-0.29000802320557917,-0.7871381842868603,-0.13046966611121397,-0.47552922298339806,-0.4026723446275381,0.0
2018-10-02,1.0,-0.29054054054054057,-0.8084242499380114,-0.12478303992065459,-0.4746156707165881,-0.4011281924125961,0.0
2018-10-03,1.0,-0.2911251046933648,-0.8113968421379162,-0.12535285541458574,-0.4741756366907591,-0.4000062040512455,0.0
2018-10-04,1.0,-0.2909045194543969,-0.8346533408762334,-0.12439499654283737,-0.47589414796655977,-0.41702809730341317,0.0
2018-10-05,1.0,-0.277718616887998,-0.8301490854422451,-0.11200200451014783,-0.48480957153595594,-0.4273678276121272,0.0
2018-10-08,1.0,-0.2771778257739381,-0.8298431777631704,-0.11130935612107555,-0.48489686042507907,-0.426957147776004,0.0
2018-10-09,1.0,-0.27454998266132846,-0.838403581223795,-0.0955203177705621,-0.4995744144257747,-0.44446896377793893,0.0
2018-10-10,1.0,-0.2754002269002899,-0.8373881255514938,-0.09665322072355981,-0.4999684860708434,-0.4419513424933821,0.0
2018-10-11,1.0,-0.22561652281134403,-0.8563810110974106,-0.02339704069050555,-0.5012946979038224,-0.475924784217016,0.0
2018-10-12,1.0,-0.22582218293760858,-0.8534853241488616,-0.0197811576091926,-0.48821969581517266,-0.4606053217105063,0.0
2018-10-15,1.0,-0.1994379448330635,-0.8963252588813881,-0.0,-0.4901487613403794,-0.46870513486269355,0.0
2018-10-16,1.0,-0.1875484210852521,-0.9386408007685395,-0.0,-0.49750534568781185,-0.4752548885927671,0.0
2018-10-17,1.0,-0.1652824427480916,-0.9018320610687023,-0.0,-0.49688549618320615,-0.48940458015267174,0.0
2018-10-18,1.0,-0.16543994136151238,-0.9026967596127417,-0.0,-0.4965030693583361,-0.4894786671960419,0.0
2018-10-19,1.0,-0.15596609036492357,-0.900975357783112,-0.0,-0.4948801312631035,-0.4866761872930023,0.0
2018-10-22,1.0,-0.15673342856274503,-0.9010728504999546,-0.0,-0.4947573169619791,-0.48667294775552383,0.0
2018-10-23,1.0,-0.14929306709661416,-0.9195708793253132,-0.0,-0.5227892843854646,-0.5089296787796106,0.0
2018-10-24,1.0,-0.1819642429836256,-0.993334017023895,-0.0,-0.6248931733497418,-0.6182613749017194,0.0
2018-10-25,1.0,-0.14438502673796794,-0.9463920248233975,-0.0,-0.6271538918597742,-0.5830527497194165,0.0
2018-10-26,1.0,-0.14647831540035647,-0.9444847844742227,-0.0,-0.6266420225757475,-0.5829427684995708,0.0
2018-10-29,1.0,-0.11912359772345954,-0.9611474816593741,-0.0,-0.6166397999802612,-0.5928545580155936,0.0
