Date,IWF,IWM,LAD,MTUM,SPY,VLUE,VXX
2018-09-24,-0.27363254352201705,-0.9491860588297609,1.0,-0.0,-0.5961368692397331,-0.7122779759172287,0.0
2018-09-25,-0.2712524794559365,-0.9538466987815244,1.0,-0.0,-0.5998158118447151,-0.7172003400396713,0.0
2018-09-26,-0.2693703308431163,-0.9554606901458554,1.0,-0.0,-0.6041977943792244,-0.7283884738527213,0.0
2018-09-27,-0.2727143466515,-0.9487771932319066,1.0,-0.0,-0.604720602872174,-0.7284586947248685,0.0
2018-09-28,-0.27060957393840246,-0.9516679706949286,1.0,-0.0,-0.6051639519169216,-0.7289636531759016,0.0
2018-10-01,-0.271860547847741,-0.9505869797225186,1.0,-0.0,-0.6060120953397368,-0.7289932408395589,0.0
2018-10-02,-0.27270463519618654,-0.9488812208743906,1.0,-0.0,-0.6064529899327664,-0.7292874675393973,0.0
2018-10-03,-0.2879305333527104,-0.9990190379305334,1.0,-0.0,-0.6168434820520273,-0.7293997965412005,0.0
2018-10-04,-0.2878440783971492,-1.001199956365223,1.0,-0.0,-0.6161957746991019,-0.7309916003054434,0.0
2018-10-05,-0.2613495591343001,-0.9945347227282664,1.0,-0.0,-0.6333892006121111,-0.7542082634992349,0.0
2018-10-08,-0.25799061852296284,-0.9908003345332898,1.0,-0.0,-0.6346678302607178,-0.7527362641358497,0.0
2018-10-09,-0.2494881544311202,-0.995722433460076,1.0,-0.0,-0.6444866920152091,-0.7663424978063761,0.0
2018-10-10,-0.2478839177750907,-0.9997435051848597,1.0,-0.0,-0.6453409548935547,-0.7712432670111026,0.0
2018-10-11,-0.1609580496845707,-0.9951170830808711,1.0,-0.0,-0.6188473464732509,-0.7892504544320491,0.0
2018-10-12,-0.1630778974034199,-0.9899021884455704,1.0,-0.0,-0.597072690169587,-0.7683484624586588,0.0
2018-10-15,-0.12477096546863987,-1.032522903453136,1.0,-0.0,-0.5927766032417195,-0.7735377026074701,0.0
2018-10-16,-0.12444945562171875,-1.0330150452767697,1.0,-0.0,-0.5926147774919841,-0.7733695077692823,0.0
2018-10-17,-0.10830237161012533,-1.003854300496545,1.0,-0.0,-0.5850550366332163,-0.7751310809403104,0.0
2018-10-18,-0.10878326731985268,-1.0058369814467374,1.0,-0.0,-0.5842887916058647,-0.7755194218608852,0.0
2018-10-19,-0.0932840971838763,-0.9999654886802871,1.0,-0.0,-0.5824475427940364,-0.7754003313086691,0.0
2018-10-22,-0.09375648205766438,-0.9872778814907004,1.0,-0.0,-0.5921316462697918,-0.7838968402129571,0.0
2018-10-23,-0.09720685840707965,-0.9875207411504424,1.0,-0.0,-0.5896017699115045,-0.7825636061946903,0.0
2018-10-24,-0.09962905935050391,-0.9895716685330346,1.0,-0.0,-0.6062430011198208,-0.8039963605823068,0.0
2018-10-25,-0.11730703842230535,-1.1784682080924858,1.0,-0.0,-0.9609826589595376,-0.9934971098265897,0.0
2018-10-26,-0.1132664248966855,-1.165218858058531,1.0,-0.0,-0.954836805262714,-0.9835961879058784,0.0
2018-10-29,-0.08016275850497084,-1.1796635764923027,1.0,-0.0,-0.9419019254163346,-0.9930366206636184,0.0
2018-10-30,-0.0777875623768189,-1.1793097664276428,1.0,-0.0,-0.9416698117163586,-0.9946743825219105,0.0
2018-10-31,-0.08205298563242255,-1.1498214434017107,1.0,-0.0,-0.9354704758740968,-0.9851341250726684,0.0
2018-11-01,-0.05031629765273847,-1.1814965873147993,1.0,-0.0,-0.9393624105210587,-0.9905943066422508,0.0
2018-11-02,-0.05647058823529412,-1.1430753353973169,1.0,-0.0,-0.9465841073271415,-0.9817956656346749,0.0
2018-11-05,-0.05457920792079208,-1.1473597359735972,1.0,-0.0,-0.9462458745874587,-0.9772277227722772,0.0
2018-11-06,-0.07028170767124424,-1.166203377172966,1.0,-0.0,-0.9440318632535369,-0.9683441895199768,0.0
2018-11-07,-0.0697558337839524,-1.1721226238509213,1.0,-0.0,-0.9458009234224866,-0.971881369327399,0.0
2018-11-08,-0.0261823279594277,-1.1780810621366429,1.0,-0.0,-0.9346472601327671,-0.9842906032243434,0.0
2018-11-09,-0.02533525892304518,-1.178956055291933,1.0,-0.0,-0.9373220548793068,-0.9846915617907983,0.0
2018-11-12,-0.02336659685433863,-1.1662354728758573,1.0,-0.0,-0.9371278386924561,-0.9799186891708759,0.0
2018-11-13,-0.0,-1.1655014514084794,1.0,-0.0,-0.9436199354021015,-0.9793123185739401,0.0
2018-11-14,-0.0,-1.1649155799027022,1.0,-0.0,-0.9441151220309881,-0.9791096030415763,0.0
