Date,APO,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3936985612866746,-0.6025632971037255,-0.14776653892065086,-0.5622290632656908,-0.43503800967519,0.0
2018-09-25,1.0,-0.39398222305976943,-0.6021545902823581,-0.14834008605797921,-0.5618266905367632,-0.43452997895662554,0.0
2018-09-26,1.0,-0.3949418787307571,-0.6034244423499842,-0.15036129437637447,-0.5614514608859567,-0.4315111530003141,0.0
2018-09-27,1.0,-0.3942425672487022,-0.6077709611451942,-0.14944156048450527,-0.5622778039955953,-0.43240522258927166,0.0
2018-09-28,1.0,-0.390187654008972,-0.6175206924875214,-0.15015479876160992,-0.5653945788841852,-0.43590067605989763,0.0
2018-10-01,1.0,-0.39271139793109994,-0.6166840656733416,-0.14966309196165892,-0.5676505014077378,-0.43677833665496185,0.0
2018-10-02,1.0,-0.40031222123104376,-0.5875493819293998,-0.1617497132662164,-0.5833120937938066,-0.4530075187969925,0.0
2018-10-03,1.0,-0.39991720799898106,-0.5823143548592536,-0.1611259712138581,-0.584893644121768,-0.45608839638262644,0.0
2018-10-04,1.0,-0.3983375959079284,-0.5918797953964194,-0.16083759590792837,-0.5832480818414322,-0.46262787723785165,0.0
2018-10-05,1.0,-0.40037130693639766,-0.5958195960436605,-0.15870170609135428,-0.584712397170385,-0.46131685925546556,0.0
2018-10-08,1.0,-0.4058734209931185,-0.6077924595354246,-0.16140600264917776,-0.587729783865861,-0.4678383355409814,0.0
2018-10-09,1.0,-0.4119459126430818,-0.6111741625863355,-0.17114692434903855,-0.5856869548299232,-0.4626933428450988,0.0
2018-10-10,1.0,-0.41188105969713673,-0.6113687214241708,-0.17079023314634068,-0.5858166607218133,-0.4627906222640164,0.0
2018-10-11,1.0,-0.38807109019807334,-0.6055066289384161,-0.13941436428957493,-0.5796903316058881,-0.46666454710202526,0.0
2018-10-12,1.0,-0.39227911077523775,-0.5991876062724353,-0.1370363373008376,-0.5687385855532465,-0.45157125763587136,0.0
2018-10-15,1.0,-0.38393109735013986,-0.612296859774306,-0.12494892025272686,-0.569075535158583,-0.4531480841165561,0.0
2018-10-16,1.0,-0.38188852541519885,-0.6222320080523402,-0.1178598389531958,-0.5699861600402618,-0.45351031706089584,0.0
