Date,IWF,IWM,MTUM,SPY,VLUE,VXX,XENT
2018-09-24,-0.8077601410934743,-1.7207734945830182,-0.10235575711766187,-1.3972033257747543,-1.270660115898211,0.0,1.0
2018-09-25,-0.8085856360546357,-1.7182602127525648,-0.10473972430288914,-1.3950399697866178,-1.2678290426134573,0.0,1.0
2018-09-26,-0.8084476897897519,-1.7183683746695204,-0.10417978093919174,-1.3953166309958454,-1.268475387133325,0.0,1.0
2018-09-27,-0.8089280100597296,-1.7124174787802577,-0.10556428795976108,-1.3935869223514619,-1.266771455517133,0.0,1.0
2018-09-28,-0.8069524767412624,-1.7133517726929848,-0.10661302489313552,-1.39288408348001,-1.266469700779482,0.0,1.0
2018-10-01,-0.8067924528301887,-1.7149056603773587,-0.10761006289308175,-1.3928930817610063,-1.2671698113207546,0.0,1.0
2018-10-02,-0.8082992769569318,-1.7002829298962592,-0.1132977051241748,-1.395284501729016,-1.2701666142722414,0.0,1.0
2018-10-03,-0.8234392952891613,-1.6936039831482192,-0.10991957104557641,-1.4362951614962338,-1.3199923400995788,0.0,1.0
2018-10-04,-0.8355094726062468,-1.6845238095238095,-0.11207117255504354,-1.4527009728622633,-1.315604198668715,0.0,1.0
2018-10-05,-0.8240805660016571,-1.680158072534897,-0.09548091019185416,-1.4562432277391804,-1.3179297597042514,0.0,1.0
2018-10-08,-0.8205829938900202,-1.674643584521385,-0.08662169042769857,-1.4647403258655805,-1.3180371690427697,0.0,1.0
2018-10-09,-0.8179037910162472,-1.6778591908251035,-0.07722204523733674,-1.4716151640649888,-1.3268556865243708,0.0,1.0
2018-10-10,-0.8354568854568855,-1.6915057915057914,-0.08667953667953666,-1.4924066924066923,-1.3289575289575288,0.0,1.0
2018-10-11,-0.7034593209481103,-1.7537475976937862,-0.0,-1.5174247277386292,-1.4315182575272263,0.0,1.0
2018-10-12,-0.7258228491549117,-1.7540983606557379,-0.0,-1.4855127716355319,-1.388677087304613,0.0,1.0
2018-10-15,-0.681260280905985,-1.7867898266481084,-0.0,-1.4736808806782233,-1.3849803871947362,0.0,1.0
2018-10-16,-0.6835675401949614,-1.7850993796683123,-0.0,-1.4749968350424103,-1.3862514242309152,0.0,1.0
2018-10-17,-0.6335524256651017,-1.7093583724569639,-0.0,-1.4858215962441315,-1.4310485133020345,0.0,1.0
2018-10-18,-0.6327003822773705,-1.707777151093564,-0.0,-1.4925111236447957,-1.433853481230808,0.0,1.0
2018-10-19,-0.5935024752475248,-1.6759282178217823,-0.0,-1.491460396039604,-1.4272277227722774,0.0,1.0
