Date,EHC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2458316388775925,-0.7964619764131761,-0.07633765177482135,-0.3951373961540696,-0.3910126067507117,0.0
2018-09-25,1.0,-0.24716164813147887,-0.7950288916635211,-0.07857371003803827,-0.39388483986178463,-0.3890356862858968,0.0
2018-09-26,1.0,-0.24712543554006972,-0.7950638792102207,-0.07851335656213705,-0.3938734030197445,-0.3890243902439024,0.0
2018-09-27,1.0,-0.2487886964342705,-0.7901470972234312,-0.07990251544956045,-0.3937389386949836,-0.3887486581367685,0.0
2018-09-28,1.0,-0.24672007430628123,-0.7923197492163009,-0.08043074422384767,-0.39396841983048875,-0.3891501219087426,0.0
2018-10-01,1.0,-0.24620264214630738,-0.7966594890298551,-0.08095210382354652,-0.3948961182564162,-0.39114240819414536,0.0
2018-10-02,1.0,-0.24821662541854714,-0.7823555102635027,-0.08606784102489445,-0.39921385936817594,-0.3957781336439074,0.0
2018-10-03,1.0,-0.2488269751989042,-0.7855914667910122,-0.08667268965115263,-0.3987410019526127,-0.3944860548480168,0.0
2018-10-04,1.0,-0.2537914139057396,-0.7791355576294913,-0.08723168455436303,-0.405506299580028,-0.390807279514699,0.0
2018-10-05,1.0,-0.2480955980694307,-0.7788567773448857,-0.0815258475315462,-0.40666976798278764,-0.3923358725359074,0.0
2018-10-08,1.0,-0.24676645836360994,-0.7770382211887807,-0.07670396744659207,-0.4127597732887661,-0.39328585961342827,0.0
2018-10-09,1.0,-0.2471586780222655,-0.7772868645176292,-0.07760951079847687,-0.4122314914397,-0.39240763886870333,0.0
2018-10-10,1.0,-0.24838709677419354,-0.7761987794245858,-0.07904678872420808,-0.4129032258064516,-0.3895960476605638,0.0
2018-10-11,1.0,-0.21522503117560365,-0.7785681895476704,-0.03899784604920077,-0.4029588482031516,-0.398395873483732,0.0
2018-10-12,1.0,-0.21890756302521008,-0.7758823529411766,-0.03700280112044818,-0.38789915966386557,-0.3814285714285715,0.0
