Date,IWF,IWM,JBLU,MTUM,SPY,VLUE,VXX
2018-09-24,-0.2697140957446808,-0.8799867021276595,1.0,-0.0,-0.5369015957446809,-0.6378324468085106,0.0
2018-09-25,-0.2675248449276329,-0.8844460748349229,1.0,-0.0,-0.5404188621356633,-0.6425331821516708,0.0
2018-09-26,-0.2663551401869159,-0.8841455273698265,1.0,-0.0,-0.5412883845126837,-0.6459946595460614,0.0
2018-09-27,-0.2679827925434355,-0.8799146296728582,1.0,-0.0,-0.541167839397072,-0.64571314236169,0.0
2018-09-28,-0.27092724297973225,-0.8792280209689807,1.0,-0.0,-0.5423887275034225,-0.6464990483822498,0.0
2018-10-01,-0.27154639863759306,-0.8785187163989714,1.0,-0.0,-0.5426920893578655,-0.6464420476174575,0.0
2018-10-02,-0.27052638628448966,-0.8935507634610231,1.0,-0.0,-0.5406174658451648,-0.6438186445218322,0.0
2018-10-03,-0.269928384980925,-0.8873234723244764,1.0,-0.0,-0.5422327822769561,-0.647011578876916,0.0
2018-10-04,-0.2828167115902965,-0.8813342318059298,1.0,-0.0,-0.5607816711590297,-0.6443059299191375,0.0
2018-10-05,-0.2641819584689188,-0.873192659934919,1.0,-0.0,-0.5648294139353885,-0.652487503774028,0.0
2018-10-08,-0.26410282224235715,-0.8740561763817579,1.0,-0.0,-0.5648511695023323,-0.6528406993523272,0.0
2018-10-09,-0.2654828639522003,-0.8747608338088684,1.0,-0.0,-0.5645329126246181,-0.6519418616360646,0.0
2018-10-10,-0.2646231053541758,-0.8886100844325387,1.0,-0.0,-0.5707843070767353,-0.6668475128005154,0.0
2018-10-11,-0.21878617496279146,-0.8765338184223581,1.0,-0.0,-0.5476434595667273,-0.6644617165536629,0.0
2018-10-12,-0.21714267041369842,-0.8705966930265995,1.0,-0.0,-0.5310437226325077,-0.6489771910332658,0.0
2018-10-15,-0.20517083985393844,-0.8792383933229003,1.0,-0.0,-0.5274843505477308,-0.6483763693270735,0.0
2018-10-16,-0.1997128780710627,-0.889327547391432,1.0,-0.0,-0.5264772096968906,-0.6472315573101896,0.0
2018-10-17,-0.18332797944105364,-0.858849983938323,1.0,-0.0,-0.51969161580469,-0.6504657886283328,0.0
2018-10-18,-0.1825832771192702,-0.8575053804889019,1.0,-0.0,-0.521377405158845,-0.6507661173749639,0.0
2018-10-19,-0.1739533990526181,-0.8563564204327232,1.0,-0.0,-0.5197477915759826,-0.6505249007809499,0.0
2018-10-22,-0.1742142398973701,-0.8440987812700448,1.0,-0.0,-0.5296023091725465,-0.6592687620269403,0.0
2018-10-23,-0.17814414472207077,-0.8445328286878147,1.0,-0.0,-0.5268948263142701,-0.6579529781569747,0.0
2018-10-24,-0.17615184840809262,-0.8402641957100261,1.0,-0.0,-0.528166981948764,-0.6617076533393184,0.0
2018-10-25,-0.15553049525420543,-0.8121103906274472,1.0,-0.0,-0.5233530683206465,-0.6415437145631676,0.0
2018-10-26,-0.15509910585881326,-0.808885137247546,1.0,-0.0,-0.5229475395485526,-0.6394047395735635,0.0
2018-10-29,-0.1388387578567428,-0.8151098388200885,1.0,-0.0,-0.5144688530711307,-0.6431638558715539,0.0
2018-10-30,-0.1370084619213539,-0.8150199104031857,1.0,-0.0,-0.5144350423096068,-0.6445370831259333,0.0
