Date,IWF,IWM,MTUM,SAVE,SPY,VLUE,VXX
2018-09-24,-0.5670518677774792,-1.1951536325360568,-0.0,1.0,-0.8460987189823526,-0.8707336737436173,0.0
2018-09-25,-0.5651053440636586,-1.2112306718509813,-0.0,1.0,-0.8589384211954065,-0.8858847997106429,0.0
2018-09-26,-0.5676030216673452,-1.213868910299905,-0.0,1.0,-0.8594110462749356,-0.8825711313158728,0.0
2018-09-27,-0.5757479744715521,-1.2028244240257095,-0.0,1.0,-0.8628524872131444,-0.8848956683112299,0.0
2018-09-28,-0.5757671766090341,-1.2027247216438852,-0.0,1.0,-0.8627681723544854,-0.8848556169095683,0.0
2018-10-01,-0.5793053414346604,-1.2022762310691937,-0.0,1.0,-0.8662374172485716,-0.886460506030652,0.0
2018-10-02,-0.5786281127428624,-1.2332390768950103,-0.0,1.0,-0.8648180242634316,-0.8841557967709568,0.0
2018-10-03,-0.5803416461130904,-1.2394720014615876,-0.0,1.0,-0.8648944916415456,-0.8827532657349045,0.0
2018-10-04,-0.5828579252430286,-1.2339920587832596,-0.0,1.0,-0.8675551093058281,-0.8795125735931724,0.0
2018-10-05,-0.5607485125130581,-1.2231911704591907,-0.0,1.0,-0.8710996048507971,-0.8868601535177362,0.0
2018-10-08,-0.5560290117860381,-1.2176337262012693,-0.0,1.0,-0.8744333635539437,-0.885040797824116,0.0
2018-10-09,-0.5585540638606676,-1.219067489114659,-0.0,1.0,-0.8741835994194485,-0.8837536284470247,0.0
2018-10-10,-0.559686267398105,-1.2179806864034095,-0.0,1.0,-0.8747336446479577,-0.8813075214217709,0.0
2018-10-11,-0.43899144529491224,-1.2497973885637101,-0.0,1.0,-0.8692030616839261,-0.9444844664565512,0.0
2018-10-12,-0.48173952641165757,-1.2823770491803281,-0.0,1.0,-0.8614298724954463,-0.9281876138433517,0.0
2018-10-15,-0.45669041245065567,-1.3009664685330549,-0.0,1.0,-0.8537138708652843,-0.9260402014610463,0.0
2018-10-16,-0.44491466948801695,-1.3540641243847464,-0.0,1.0,-0.864943189659138,-0.9361056166336997,0.0
2018-10-17,-0.4130258899676375,-1.2937792161093131,-0.0,1.0,-0.8495145631067961,-0.9385113268608415,0.0
2018-10-18,-0.41206120612061203,-1.2920792079207921,-0.0,1.0,-0.8554455445544554,-0.9408190819081909,0.0
2018-10-19,-0.3902449888641425,-1.2764810690423163,-0.0,1.0,-0.8515367483296213,-0.9360801781737194,0.0
2018-10-22,-0.3915395966551894,-1.2615480928319098,-0.0,1.0,-0.8677279434780665,-0.9508563251799848,0.0
2018-10-23,-0.39605598533291597,-1.261950543308143,-0.0,1.0,-0.864508339668202,-0.949201806555471,0.0
2018-10-24,-0.3929448537620004,-1.258584505469971,-0.0,1.0,-0.863808885912034,-0.9499888367939271,0.0
2018-10-25,-0.35172709718944434,-1.1921046985625403,-0.0,1.0,-0.8462132589573053,-0.9009225488092684,0.0
2018-10-26,-0.39384340843185367,-1.242114655364711,-0.0,1.0,-0.8803033682801695,-0.9450368057104618,0.0
2018-10-29,-0.36850973262980535,-1.2505209949895801,-0.0,1.0,-0.8661818826763623,-0.9487429610251407,0.0
2018-10-30,-0.36395869343615656,-1.2500997207818108,-0.0,1.0,-0.8659752692461109,-0.9520010636883393,0.0
2018-10-31,-0.36985277960887714,-1.219292463194902,-0.0,1.0,-0.8617886178861789,-0.9437046802900461,0.0
2018-11-01,-0.33440571151557885,-1.2552553875986074,-0.0,1.0,-0.8669075845048697,-0.9504649420475079,0.0
