Date,IWF,IWM,MTUM,REVG,SPY,VLUE,VXX
2018-09-24,-0.8239111527396802,-2.0266274168729512,-0.11621061082491471,1.0,-1.3720479025891485,-1.3515755670034122,0.0
2018-09-25,-0.8283936575901519,-2.0233491670569346,-0.12303472268682679,1.0,-1.3691710711179501,-1.3463571285207734,0.0
2018-09-26,-0.8364337414597849,-2.042413583169857,-0.11411756747615505,1.0,-1.3916661029560984,-1.3798281810187378,0.0
2018-09-27,-0.8464977645305514,-2.027977238856524,-0.12017341823601137,1.0,-1.3963555073838234,-1.383145915187644,0.0
2018-09-28,-0.8448357602438199,-2.0283779207585506,-0.1212326447680325,1.0,-1.3955976972570268,-1.3827294277006434,0.0
2018-10-01,-0.8456890699253226,-2.035166327223354,-0.12335369993211134,1.0,-1.3980991174473865,-1.386490156143924,0.0
2018-10-02,-0.879333380212362,-2.178960691934463,-0.11124393502566628,1.0,-1.4399128050066803,-1.4224034877997327,0.0
2018-10-03,-0.8845392877331827,-2.1625211984171844,-0.10853589598643301,1.0,-1.4605709440361785,-1.4499010740531373,0.0
2018-10-04,-0.8850534059560021,-2.165240149961095,-0.11063167574450027,1.0,-1.4602107943693854,-1.4525005305227416,0.0
2018-10-05,-0.856468432919955,-2.1564261555806086,-0.07687429537767757,1.0,-1.4796364148816237,-1.4768179255918827,0.0
2018-10-08,-0.8524094266619768,-2.1505451987337323,-0.06725290186422793,1.0,-1.4879352796341894,-1.476679563841013,0.0
2018-10-09,-0.8505205402363534,-2.1513787281935848,-0.06253517163759144,1.0,-1.490081598199212,-1.4797411367473268,0.0
2018-10-10,-0.8564026121521862,-2.1756814310051107,-0.05714082907438955,1.0,-1.5053946621237932,-1.5036201022146507,0.0
2018-10-11,-0.700480151484412,-2.1353891932102522,-0.0,1.0,-1.4318658280922432,-1.4948941637925204,0.0
2018-10-12,-0.721271885691286,-2.140470919702153,-0.0,1.0,-1.3955188837458912,-1.4509290937143624,0.0
2018-10-15,-0.6769518466573166,-2.173445535296868,-0.0,1.0,-1.3818206104321111,-1.4464703132304815,0.0
2018-10-16,-0.6677823147466364,-2.197135015730638,-0.0,1.0,-1.3821540933128054,-1.4467501171430484,0.0
2018-10-17,-0.6130280766203097,-2.108173707688271,-0.0,1.0,-1.3714248228811337,-1.467331409078982,0.0
2018-10-18,-0.6118218198517351,-2.1059502722561176,-0.0,1.0,-1.3745325723282817,-1.4680837105556648,0.0
2018-10-19,-0.5746925566343042,-2.079870550161812,-0.0,1.0,-1.3628478964401294,-1.4550809061488674,0.0
2018-10-22,-0.5748561081290824,-2.0678393584686026,-0.0,1.0,-1.3662937334281835,-1.4580611782965789,0.0
2018-10-23,-0.5734161651459263,-2.0691775059858926,-0.0,1.0,-1.3687309907461334,-1.4599106969520481,0.0
