Date,IWF,IWM,MTUM,SPY,STRL,VLUE,VXX
2018-09-24,-0.5623664902015417,-1.3155475062691557,-0.12724064270456023,-0.846939723228383,1.0,-0.7917711525958949,0.0
2018-09-25,-0.5666573764399851,-1.3130806391675955,-0.13331475287997027,-0.8446674098848012,1.0,-0.7873931623931624,0.0
2018-09-26,-0.5678781650004672,-1.31855554517425,-0.12580584882743157,-0.8541063253293468,1.0,-0.8052882369429132,0.0
2018-09-27,-0.5694749124854143,-1.312392065344224,-0.12742123687281215,-0.8535355892648775,1.0,-0.8045740956826138,0.0
2018-09-28,-0.5707082496848592,-1.311545823801298,-0.12787711844623934,-0.8537746860264251,1.0,-0.804846164620197,0.0
2018-10-01,-0.5718513646826702,-1.3248931272607696,-0.12975055198008173,-0.8590219382721849,1.0,-0.8121858411236904,0.0
2018-10-02,-0.5802965088474414,-1.4018651362984218,-0.11501673840267813,-0.8674318507890961,1.0,-0.817790530846485,0.0
2018-10-03,-0.5811458133742096,-1.3865683081050009,-0.11242575205978157,-0.8773711438972983,1.0,-0.8326786740754935,0.0
2018-10-04,-0.5821803035380859,-1.3832048642696415,-0.11322832383779385,-0.8782496289558098,1.0,-0.8308517259539426,0.0
2018-10-05,-0.566618979494516,-1.3783500238435862,-0.09523128278493086,-0.887029089175012,1.0,-0.8414401525989509,0.0
2018-10-08,-0.565358231707317,-1.37719131097561,-0.09332126524390244,-0.8872903963414634,1.0,-0.8405583079268293,0.0
2018-10-09,-0.5669351379688319,-1.3781156174045657,-0.0960301196206453,-0.8862412429109279,1.0,-0.8384883000524235,0.0
2018-10-10,-0.5691816405319098,-1.3766741337400505,-0.0983747199847481,-0.88770792621896,1.0,-0.8342309708784138,0.0
2018-10-11,-0.4963955164876052,-1.3970047904748617,-0.0,-0.8830752058043813,1.0,-0.8744709548393097,0.0
2018-10-12,-0.5014688331956302,-1.3908014321123656,-0.0,-0.8552281281556964,1.0,-0.8426053428807492,0.0
2018-10-15,-0.46892603618044426,-1.4210670941149532,-0.0,-0.8477215479734371,1.0,-0.8421341882299062,0.0
2018-10-16,-0.4559895346664175,-1.49252476172678,-0.0,-0.8651186694075873,1.0,-0.8583442347224817,0.0
2018-10-17,-0.42272497355957145,-1.4381753805122546,-0.0,-0.861774037798317,1.0,-0.8756610107141215,0.0
2018-10-18,-0.4238364866731114,-1.4419739446669428,-0.0,-0.8610228789762003,1.0,-0.8765824241587258,0.0
2018-10-19,-0.4101988454137267,-1.4403921927975807,-0.0,-0.8582882800329881,1.0,-0.8728122422798497,0.0
2018-10-22,-0.4172479098341725,-1.467596655734676,-0.0,-0.8595778095985959,1.0,-0.8746824333687468,0.0
2018-10-23,-0.4212276569211584,-1.4678305851923699,-0.0,-0.856634797468939,1.0,-0.873077456006651,0.0
2018-10-24,-0.4239697930262913,-1.4914227111691218,-0.0,-0.8665858661197092,1.0,-0.87959164646653,0.0
2018-10-25,-0.3751802451333814,-1.4315969718817592,-0.0,-0.8656272530641672,1.0,-0.8337238644556596,0.0
2018-10-26,-0.3576235682132192,-1.4130677006729955,-0.0,-0.8652226233453669,1.0,-0.8209653697018318,0.0
2018-10-29,-0.31948468773681626,-1.4433201087683325,-0.0,-0.8545000668657781,1.0,-0.8404136762804797,0.0
2018-10-30,-0.3062352364398092,-1.4437759058697686,-0.0,-0.8553728216784775,1.0,-0.8515398671836698,0.0
2018-10-31,-0.30915203255628787,-1.4208431016941656,-0.0,-0.8499137435307649,1.0,-0.8434998009466095,0.0
2018-11-01,-0.2618664521319389,-1.480244927147582,-0.0,-0.8659604898542952,1.0,-0.8614016268883526,0.0
2018-11-02,-0.2657339551410171,-1.452009771263602,-0.0,-0.8697757050854986,1.0,-0.8540528536531201,0.0
2018-11-05,-0.2579266120413252,-1.4820537940862129,-0.0,-0.8759351620947631,1.0,-0.8372372639828999,0.0
2018-11-06,-0.26017273617665393,-1.482815421600926,-0.0,-0.8741429970617043,1.0,-0.8348321609829935,0.0
2018-11-07,-0.25946523112515013,-1.4824932152867376,-0.0,-0.8729367798193709,1.0,-0.8340970770120568,0.0
2018-11-08,-0.2791064981949459,-1.4964801444043323,-0.0,-0.8935920577617329,1.0,-0.843456678700361,0.0
2018-11-09,-0.27994944479552225,-1.4964340525413018,-0.0,-0.8935632391441727,1.0,-0.8439108061749571,0.0
2018-11-12,-0.2788094060518862,-1.4736747448406098,-0.0,-0.9035115327548221,1.0,-0.8402050267523943,0.0
2018-11-13,-0.23751005451783003,-1.478595048708553,-0.0,-0.913218339440522,1.0,-0.8393511484493699,0.0
